Sample ID	Sample Composite Start	Sample Composite End	Sample Received Date	Sample Flow (MGD)	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)
O01-0176	12/06/2022 06:00 AM	12/07/2022 06:00 AM	12/14/2022	2.08	SARS-CoV-2 N1	35644.31034	SARS-CoV-2 N2	23759.50299
L01-0284	12/06/2022 09:00 AM	12/07/2022 09:00 AM	12/14/2022	0.349	SARS-CoV-2 N1	19737.11707	SARS-CoV-2 N2	22204.91018
M04-0129	12/07/2022 12:00 AM	12/08/2022 12:00 AM	12/14/2022	0.382	Flu A	2098.89400284737	Flu B	0
C01-0321	12/05/2022 07:00 AM	12/06/2022 07:00 AM	12/13/2022	6.114	Flu A	42916.0018265249	Flu B	0
M03-0151	12/07/2022 11:00 AM	12/08/2022 11:00 AM	12/14/2022	0.604	SARS-CoV-2 N1	79004.28861	SARS-CoV-2 N2	87185.65553
B01-0285	11/24/2022 07:00 AM	11/25/2022 07:00 AM	12/09/2022	6.12	Flu A	28219.7562977671	Flu B	0
R01-0202	12/07/2022 09:00 AM	12/08/2022 09:00 AM	12/14/2022	0.195	SARS-CoV-2 N1	1083863.282	SARS-CoV-2 N2	1170018.232
A02-0921	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	4888.23937252163	Flu B	0
A02-0928	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	12277.6381485164	Flu B	0
H01-0426	12/07/2022 08:00 AM	12/08/2022 08:00 AM	12/09/2022	2	Flu A	77503.8492679595	Flu B	0
O01-0194	12/08/2022 06:00 AM	12/09/2022 06:00 AM	12/14/2022	2.07	SARS-CoV-2 N1	61459.2158	SARS-CoV-2 N2	52348.45966
M04-0145	12/01/2022 12:00 AM	12/02/2022 12:00 AM	12/14/2022	0.108	Flu A	2349.38005451113	Flu B	0
B01-0298	11/30/2022 07:00 AM	12/01/2022 07:00 AM	12/09/2022	11.916	Flu A	6461.05161868034	Flu B	0
A02-0931	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	NA	Flu A	2115.42028002441	Flu B	0
A04-0229	12/12/2022 08:00 AM	12/13/2022 08:00 AM	12/14/2022	0.579	Flu A	44313.3578449488	Flu B	0
A02-0938	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	15497.0481432974	Flu B	2213.51318294182
B01-0291	12/04/2022 07:00 AM	12/05/2022 07:00 AM	12/14/2022	7.1	Flu A	55713.533833623	Flu B	0
R02-0158	11/30/2022 06:00 AM	12/01/2022 06:00 AM	12/14/2022	2.505	SARS-CoV-2 N1	54963.37362	SARS-CoV-2 N2	52763.45573
R02-0211	12/06/2022 06:00 AM	12/07/2022 06:00 AM	12/14/2022	2.8799	SARS-CoV-2 N1	28396.2461	SARS-CoV-2 N2	32766.60673
L01-0282	12/10/2022 09:00 AM	12/11/2022 09:00 AM	12/14/2022	0.257	SARS-CoV-2 N1	69476.62532	SARS-CoV-2 N2	79411.26242
