assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	subject_1	subject_1_category	subject_1_target	subject_1_target_macromolecule	subject_1_fluorophore	subject_1_calculated_copies_per_reaction	subject_1_copies_per_reaction	subject_1_result	subject_2	subject_2_category	subject_2_target	subject_2_target_macromolecule	subject_2_fluorophore	subject_2_calculated_copies_per_reaction	subject_2_copies_per_reaction	subject_2_result	subject_3	subject_3_category	subject_3_target	subject_3_target_macromolecule	subject_3_fluorophore	subject_3_copies_per_reaction	subject_3_result	subject_4	subject_4_category	subject_4_target	subject_4_target_macromolecule	subject_4_fluorophore	subject_4_copies_per_reaction	subject_4_result	notes
N02-0066.a1	N02-0066.e1	AP65	A03	0.005	Direct Quantification	14303	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.935722351	8791.755438	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
N02-0004.a1	N02-0004.e1	AP65	A04	0.005	Direct Quantification	14416	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	3.264573216	5815.021042	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
N02-0058.a1	N02-0058.e1	AP65	A05	0.005	Direct Quantification	14636	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	8.039571047	14320.48593	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.607694328	2863.705521								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
N02-0067.a1	N02-0067.e1	AP65	A06	0.005	Direct Quantification	13159	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	3.576442003	6370.537318	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	5.364866853	9556.169081								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M03-0047.a1	M03-0047.e1	AP65	A07	0.005	Direct Quantification	14304	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M03-0031.a1	M03-0031.e1	AP65	A08	0.005	Direct Quantification	16379	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M03-0028.a1	M03-0028.e1	AP65	B01	0.005	Direct Quantification	14849	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.754216671	8468.448445	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.584632099	2822.625926								Human	Internal Control	Human RNase P	RNA	HEX	7.924228907	14115.03274	
M03-0041.a1	M03-0041.e1	AP65	B02	0.005	Direct Quantification	16576	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	2.839144766	5057.226615	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	1.419529617	2528.53713	
M03-0030.a1	M03-0030.e1	AP65	B03	0.005	Direct Quantification	14704	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	1.600259244	2850.461779	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.600259244	2850.461779								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M04-0033.a1	M04-0033.e1	AP65	B04	0.005	Direct Quantification	15079	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M04-0039.a1	M04-0039.e1	AP65	B05	0.005	Direct Quantification	13727	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	5.142853856	9160.708431	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M04-0049.a1	M04-0049.e1	AP65	B06	0.005	Direct Quantification	14299	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
M04-0043.a1	M04-0043.e1	AP65	B07	0.005	Direct Quantification	12637	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
K01-0063.a1	K01-0063.e1	AP65	B08	0.005	Direct Quantification	13752	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	5.133503079	9144.05236	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	5.133503079	9144.05236	
K01-0062.a1	K01-0062.e1	AP65	C01	0.005	Direct Quantification	15091	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.677970707	8332.635323	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	1.559220105	2777.360813	
K01-0058.a1	K01-0058.e1	AP65	C02	0.005	Direct Quantification	15648	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.511439204	8036.001083	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	7.519546151	13394.19158								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
K01-0056.a1	K01-0056.e1	AP65	C03	0.005	Direct Quantification	13787	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	5.120469928	9120.837059	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	5.120469928	9120.837059								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
J01-0026.a1	J01-0026.e1	AP65	C04	0.005	Direct Quantification	16638	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	1.414239556	2519.114208	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
J01-0024.a1	J01-0024.e1	AP65	C05	0.005	Direct Quantification	15855	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
J01-0025.a1	J01-0025.e1	AP65	C06	0.005	Direct Quantification	15898	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
J01-0022.a1	J01-0022.e1	AP65	C07	0.005	Direct Quantification	15295	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
J01-0023.a1	J01-0023.e1	AP65	C08	0.005	Direct Quantification	15432	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
D01-0029.a2	D01-0029.e1	AP66	G01	0.005	Direct Quantification	10625	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	24.37247992	43413.47985	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	8.859798908	15781.51681								Human	Internal Control	Human RNase P	RNA	HEX	4.429482818	7890.016269	
D01-0033.a2	D01-0033.e1	AP66	G02	0.005	Direct Quantification	9189	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	30.74735641	54768.72861	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	17.9310751	31939.72751								Human	Internal Control	Human RNase P	RNA	HEX	2.560745776	4561.328413	
R01-0043.a1	R01-0043.e1	AP66	A01	0.005	Direct Quantification	10998	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
A02-0452.a1	A02-0452.e1	AP66	A02	0.005	Direct Quantification	16649	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	5.653730035	10070.70662	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	4.240170121	7552.803028								Human	Internal Control	Human RNase P	RNA	HEX	7.067374587	12588.76098	
