concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
CP25	10/15/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP26	10/18/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP27	10/20/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP28	10/25/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP29	10/27/21	10	0.425	Ceres Nanotrap	NT04474	Kookaburra	JL	
CP3	8/24/21	10	0.425	Ceres Nanotrap	NT04155	Halcyon	JL	
CP30	10/28/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP31	11/2/21	10	0.425	Ceres Nanotrap	NT04474	Kookaburra	JL	
CP32	11/3/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP33	11/5/21	10	0.425	Ceres Nanotrap	NT04474	Kookaburra	JL	
CP34	11/11/21	10	0.425	Ceres Nanotrap	NT04474	Kookaburra	JL	
CP35	11/15/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	LW	
CP36	11/16/21	10	0.425	Ceres Nanotrap	NT04474	Kookaburra	AJ	
CP37	11/17/21	10	0.425	Ceres Nanotrap	NT04474	Halcyon	JL	
CP38	11/19/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP39	11/22/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP4	8/25/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP40	11/29/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP41	11/30/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP42	12/2/21	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	LW	
CP43	12/3/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP44	12/6/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP45	12/8/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP46	12/9/21	10	0.475	Ceres Nanotrap	NT04474	Kookaburra	LW	
CP47	12/10/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP48	12/13/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP49	12/15/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
CP5	8/27/21	10	0.425	Ceres Nanotrap	NT04155	Kookaburra	JL	
CP50	12/16/21	10	0.475	Ceres Nanotrap	NT04474	Halcyon	AJ	
