assay_plate_id	assay_date	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_method	assay_method_lot_id	assay_machine	assay_run_by	assay_plate_comment
AP45	2/16/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP46	2/17/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP47	2/22/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP48	2/24/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP49	2/28/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP50	3/2/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP51	3/9/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP52	3/10/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP53	3/14/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP54	3/18/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP55	3/28/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP56	3/28/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP57	3/29/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP58	3/30/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP59	3/31/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP60	4/4/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP61	4/6/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP62	4/7/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP63	4/11/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP64	4/14/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP65	4/18/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP66	4/19/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP67	4/20/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP68	4/21/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP69	4/25/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP70	4/26/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP71	4/27/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP72	4/28/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
