concentration_batch_id	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_record_version	concentration_batch_comment
PE116	4/30/21	100	Sorvall	PEG Precipitation		3	KED	1.0.0	
PE117	4/30/21	100	Sorvall	PEG Precipitation		5	KED	1.0.0	
PE118	4/30/21	100	Sorvall	PEG Precipitation		7.5	KED	1.0.0	
PE119	5/7/21	100	Sorvall	PEG Precipitation		5		1.0.0	
PE12	11/16/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE120	5/7/21	100	Sorvall	PEG Precipitation		5		1.0.0	
PE121	5/7/21	100	Sorvall	PEG Precipitation		5		1.0.0	
PE122	5/7/21	100	Sorvall	PEG Precipitation		5		1.0.0	
PE123	5/7/21	100	Sorvall	PEG Precipitation		5		1.0.0	
PE124	5/14/21	100	Sorvall	PEG Precipitation		7	MVS	1.0.0	
PE125	5/14/21	100	Sorvall	PEG Precipitation		4	MVS	1.0.0	
PE126	5/18/21	100	Sorvall	PEG Precipitation		4.5	KD	1.0.0	
PE127	2/13/21	100	Sorvall	PEG Precipitation		6	TD	1.0.0	
PE128	2/13/21	100	Sorvall	PEG Precipitation		4	TD	1.0.0	
PE129	2/13/21	100	Sorvall	PEG Precipitation		8	TD	1.0.0	
PE13	11/19/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE130	2/13/21	100	Sorvall	PEG Precipitation		6	TD	1.0.0	
PE131	2/13/21	100	Sorvall	PEG Precipitation		5	TD	1.0.0	
PE132	2/13/21	100	Sorvall	PEG Precipitation		6	TD	1.0.0	
PE133	2/13/21	100	Sorvall	PEG Precipitation		4	TD	1.0.0	
PE134	2/13/21	100	Sorvall	PEG Precipitation		3	TD	1.0.0	
PE135	2/13/21	100	Sorvall	PEG Precipitation		4	TD	1.0.0	
PE136	2/13/21	100	Sorvall	PEG Precipitation		3	TD	1.0.0	
PE137	2/13/21	100	Sorvall	PEG Precipitation		5	TD	1.0.0	
PE14	11/19/20	100	Sorvall	PEG Precipitation		3.6	MS	1.0.0	
PE15	12/4/20	100	Sorvall	PEG Precipitation		3.6	MS	1.0.0	
PE16	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS	1.0.0	
PE17	12/4/20	100	Sorvall	PEG Precipitation		3	MS	1.0.0	
PE18	12/4/20	100	Sorvall	PEG Precipitation		4.8	MS	1.0.0	
PE19	12/4/20	100	Sorvall	PEG Precipitation		4.2	MS	1.0.0	
PE2	11/9/20	100	Sorvall	PEG Precipitation		4.2	MS	1.0.0	
PE20	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS	1.0.0	
PE21	12/4/20	100	Sorvall	PEG Precipitation		4.4	MS	1.0.0	
PE22	12/4/20	100	Sorvall	PEG Precipitation		4.8	MS	1.0.0	
PE23	12/4/20	100	Sorvall	PEG Precipitation		3.4	MS	1.0.0	
PE24	12/4/20	100	Sorvall	PEG Precipitation		3.8	MS	1.0.0	
PE25	12/7/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE26	12/7/20	100	Sorvall	PEG Precipitation		3.2	MS	1.0.0	
PE27	12/13/20	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE28	12/13/20	100	Sorvall	PEG Precipitation		3.8	MS	1.0.0	
PE29	12/13/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE3	11/9/20	100	Sorvall	PEG Precipitation		3.4	MS	1.0.0	
PE30	12/13/20	100	Sorvall	PEG Precipitation		3.6	AT	1.0.0	
PE31	12/14/20	100	Sorvall	PEG Precipitation		3.8	AT	1.0.0	
PE32	12/14/20	100	Sorvall	PEG Precipitation		4.2	AT	1.0.0	
PE33	12/14/20	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE34	12/14/20	100	Sorvall	PEG Precipitation		4	AT	1.0.0	
PE35	12/14/20	100	Sorvall	PEG Precipitation		4.2	AT	1.0.0	
PE36	12/21/20	100	Sorvall	PEG Precipitation		3.4	AT	1.0.0	
PE37	1/3/21	100	Sorvall	PEG Precipitation		7	MS	1.0.0	
PE38	1/3/21	100	Sorvall	PEG Precipitation		15	MS	1.0.0	
PE39	1/3/21	100	Sorvall	PEG Precipitation		6	MS	1.0.0	
PE4	11/9/20	100	Sorvall	PEG Precipitation		3.4	MS	1.0.0	
PE40	1/3/21	100	Sorvall	PEG Precipitation		5.5	MS	1.0.0	
PE41	1/3/21	100	Sorvall	PEG Precipitation		8	MS	1.0.0	
PE42	1/3/21	100	Sorvall	PEG Precipitation		7	MS	1.0.0	
PE43	1/4/21	100	Sorvall	PEG Precipitation		6	MS	1.0.0	
PE44	1/4/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE45	1/4/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE46	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE47	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE48	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE49	2/5/21	100	Sorvall	PEG Precipitation		3	MS	1.0.0	
PE5	11/9/20	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE50	2/5/21	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE51	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE52	2/5/21	100	Sorvall	PEG Precipitation		3	MS	1.0.0	
PE53	2/5/21	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE54	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE55	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE56	2/5/21	100	Sorvall	PEG Precipitation		4.5	MS	1.0.0	
PE57	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE58	2/5/21	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE59	2/5/21	100	Sorvall	PEG Precipitation		5.5	MS	1.0.0	
PE6	11/13/20	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE60	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE61	2/5/21	100	Sorvall	PEG Precipitation		3	MS	1.0.0	
PE62	2/5/21	100	Sorvall	PEG Precipitation		5	MS	1.0.0	
PE63	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE64	2/5/21	100	Sorvall	PEG Precipitation		5.5	MS	1.0.0	
PE65	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
PE66	2/5/21	100	Sorvall	PEG Precipitation		4	MS	1.0.0	
