extraction_batch_id	extraction_date	extraction_input_ul	extraction_eluant	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_batch_record_version	extraction_run_by	extraction_batch_comment
ME124	4/26/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME125	5/3/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KED	
ME126	5/3/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KED	
ME127	5/3/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KED	
ME128	5/3/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KED	
ME129	5/3/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KED	
ME13	11/20/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME130	5/7/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0		
ME131	5/7/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0		
ME132	5/7/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0		
ME133	5/7/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0		
ME134	5/7/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0		
ME135	5/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME136	5/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME137	5/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	KD	
ME14	11/20/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME15	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME16	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME17	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME18	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME19	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME2	11/10/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME20	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME21	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME22	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME23	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME24	12/7/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME25	12/8/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME26	12/8/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME27	12/14/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME28	12/14/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME29	12/14/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME3	11/10/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME30	12/15/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME31	12/15/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME32	12/21/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME33	12/21/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME34	12/21/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME35	12/21/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME36	12/21/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME37	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME38	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME39	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME4	11/10/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME40	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME41	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME42	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME43	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME44	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME45	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME46	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME47	2/13/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME48	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME49	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME5	11/10/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME50	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME51	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME52	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME53	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME54	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME55	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME56	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME57	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME58	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME59	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME6	11/17/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME60	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME61	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME62	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME63	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME64	2/17/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME65	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME66	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME67	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME68	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME69	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME7	11/17/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME70	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME71	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME72	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME73	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME74	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME75	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME76	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME77	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME78	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME79	2/19/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME8	11/17/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME80	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME81	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME82	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME83	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME84	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME85	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME86	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME87	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME88	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME89	2/24/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AT	
ME9	11/17/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME90	3/15/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AHT	
ME91	3/15/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AHT	
ME92	3/15/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AHT	
ME93	3/15/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AHT	
ME94	3/15/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	AHT	
ME95	3/21/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME96	3/21/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME97	3/21/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME98	3/21/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
ME99	3/21/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	TD	
