Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	flua	flub	flua.load	flub.load	flua.loadcap	flub.loadcap	flua.day5.mean	flua.day5.ci	flua.load.day5.mean	flua.load.day5.ci	flua.loadcap.day5.mean	flua.loadcap.day5.ci	flub.day5.mean	flub.day5.ci	flub.load.day5.mean	flub.load.day5.ci	flub.loadcap.day5.mean	flub.loadcap.day5.ci
H01-0475	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/24/2023 08:00 AM	01/25/2023 08:00 AM	01/30/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2	171	1557	1294.61022	11787.76674	0.107884185	0.982313895	1190.8	1529.79296640617	9133.5129562	11620.6428506453	0.761126079683333	0.968386904220441	1572.4	1405.51763785679	12245.80135	11437.7793615777	1.02048344583333	0.953148280131477
H01-0453	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	01/02/2023 08:00 AM	01/03/2023 08:00 AM	01/06/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	2	1894	1576	14339.13308	11931.61232	1.19492775666667	0.994301026666667	1682.8	1403.731377755	10939.8349	10076.4005871328	0.911652908333333	0.839700048927735	1404	1034.91038347729	8790.7819348	6503.15905988718	0.732565161233333	0.541929921657265
H01-0443	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	12/23/2022 08:00 AM	12/24/2022 08:00 AM	01/04/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	1.7	2748	1784	17683.921356	11480.391448	1.473660113	0.956699287333333	1519	1470.69431148627	10019.8288536	9552.81852629399	0.8349857378	0.796068210524499	889.8	1447.46503189825	5743.224052	9278.28013253194	0.478602004333333	0.773190011044328
A01-0433	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	12/10/2022 12:00 AM	12/11/2022 12:00 AM	12/12/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	NA	NA	9.5	117163.686901331	438	4213369.62431509	15751.09101	87.1827848103603	0.325920605239199	52933.8364675641	71619.521440921	2172836.66147245	2341927.86382799	44.9602023976257	48.459027144264	1777.6	1817.62542769031	85611.7410584	109890.883377501	1.77147287407714	2.2738553918536
N03-0252	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	02/06/2023 07:30 AM	02/07/2023 07:30 AM	02/20/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.54431	1623	488	3344.0884672533	1005.4930203448	1.80468886522035	0.542629800509876	1942.8	784.328554089134	4806.64333807794	2532.32588748613	2.59397913549808	1.36660868185976	1354.4	1608.80788891456	3401.90759181694	4375.26951350527	1.83589184663623	2.36118160469793
N03-0242	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	01/13/2023 07:30 AM	01/14/2023 07:30 AM	01/18/2023	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	NA	NA	0.81922	2130	1036	6605.308025826	3212.7225890872	3.56465624707285	1.73379524505515	2061.94459973127	2037.86440306151	5110.61727240587	4800.93184167098	2.75802335262054	2.59089683846248	1253.8	1073.45172141068	3235.10271280166	2962.03408772772	1.74587302363824	1.59850733282662
N02-0277	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	03/09/2023 07:00 AM	03/10/2023 07:00 AM	03/20/2023	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	7.31	1164	2118	32209.4480244	58607.9131578	1.21554260791003	2.21178629171258	1712.8	1420.45354973049	62555.402300688	66315.8977876199	2.36075938941384	2.5026755901434	1056.4956148915	1838.7754367721	35227.2948015373	62379.1620920397	1.32943221381	2.35410831353459
G01-0312	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	02/24/2023 09:00 AM	02/25/2023 09:00 AM	03/02/2023	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	NA	NA	1.076	1858	2556	7567.82195528	10410.84656496	0.926520807453477	1.27458944233105	2278.4	1081.33257168298	7880.215943858	4019.57822083375	0.964766888327375	0.492112906566326	2040	1160.86771910147	7134.908083122	4830.44103413992	0.873519598815132	0.591386022788922
H01-0491	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	02/04/2023 08:00 AM	02/05/2023 08:00 AM	02/10/2023	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	NA	NA	1.9	1094	1579	7868.353226	11356.608541	0.655696102166667	0.946384045083333	1012.2	1074.6129719608	8349.5545452	10209.5724588029	0.6957962121	0.850797704900243	1751.8	956.390239828676	14364.6467434	9716.14949402282	1.19705389528333	0.809679124501902
M03-0196	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	active	01/06/2023 11:00 AM	01/07/2023 11:00 AM	01/11/2023	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	NA	NA	0.322	129	1923	157.23836058	2343.94858446	0.1441231536022	2.14844049904675	1383.4	1779.36045764893	2760.628347292	5330.91648125656	2.53036512125756	4.88626625229749	1679.6	1371.09661607067	3376.777261746	5630.33580282354	3.09512122983135	5.16071109333047
N02-0265	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	03/14/2023 07:00 AM	03/15/2023 07:00 AM	03/20/2023	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	NA	NA	7.56	2604.77915871888	2692	74542.7874885576	77038.8473232	2.81314768995991	2.90734573640275	1783.75583174378	1455.9278138027	55155.1880341115	48623.0997500068	2.08148494354712	1.83497244131658	1600.95783316642	2029.31317411723	47665.9967059804	58979.3006843533	1.79885261929128	2.22580197314338
O01-0233	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	01/11/2023 07:00 AM	01/12/2023 07:00 AM	01/18/2023	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	NA	NA	1.78	10046.2544336915	1603	67691.9617525955	10801.0617694	11.1500513511111	1.77912399430077	6185.34993485212	7562.35630539456	42213.678778612	45773.0869082239	6.95333203403261	7.53962887633403	1815	1248.03358320302	14026.06453136	12220.868959256	2.31033841728875	2.01299109854323
M04-0157	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	active	01/12/2023 12:00 PM	01/13/2023 12:00 PM	01/26/2023	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	NA	NA	0.211	1985	1010	1585.46219735	806.7087251	2.59911835631148	1.32247331983607	1642.4	1786.15909622357	1081.035873636	1738.25793751855	1.77218995678033	2.84960317625992	1146	1602.00041981038	597.709425262	807.697181072415	0.979851516822951	1.32409373946298
