assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
N03-0015.a2	N03-0015	03/25/2022 7:30	03/26/2022 7:30	Routine Surveillance	0.685	Pass	SalemWWTP-01	SARS-CoV-2	N2	ZooWVU	1020	1020	55.045871559633	2644.865967	142.734266972477	100	0	7738.365936	yes
L01-0334.a3	L01-0334	02/10/2023 9:00	02/11/2023 9:00	Routine Surveillance	0.357	Pass	WestUnionWWTP-01	Human	RNase P	ZooWVU	9162.69805875	9162.69805875	1624.5918543883	12382.3910825105	2195.45941179264	100	NA	NA	Missing controls: HEX
O01-0117.a2	O01-0117	07/13/2022 7:00	07/14/2022 7:00	Routine Surveillance	1.8	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	10864.65486	10864.65486	178.959888980399	74028.9116764667	1219.38579602152	100	0	400	yes
J01-0046.a3	J01-0046	05/10/2022 7:30	05/11/2022 7:30	Routine Surveillance	0.236	Pass	AlpineLakeWWTP-01	Human	RNase P	ZooWVU	2685	2685	383.571428571429	2398.6629006	342.666128657143	100	NA	NA	Missing controls: HEX
N03-0030.a3	N03-0030	02/13/2022 10:50	02/14/2022 7:50	Routine Surveillance	4.857	Pass	SalemWWTP-01	Human	RNase P	ZooWVU	2116	2116	114.193200215866	38904.21815892	2099.52607441554	100	NA	NA	Missing controls: HEX
C01-0168.a2	C01-0168	05/04/2022 7:00	05/05/2022 7:00	Routine Surveillance	12.627	Pass	WheelingWWTP-01	SARS-CoV-2	N2	ZooWVU	75908.382855	75908.382855	151.81676571	3628297.1269353	7256.5942538706	100	0	283.2096576	yes
N03-0555.a2	N03-0555	10/27/2024 07:30 AM	10/28/2024 07:30 AM	Routine Surveillance	0.1857110	Pass	SalemWWTP-01	Influenza Virus A (FluA)	M	ZooWVU	1825	1825	98.4889368591473	1282.96090463075	69.2369619336616	100	0	216.744995117188	yes
B01-0248.a1	B01-0248	08/09/2022 7:00	08/10/2022 7:00	Routine Surveillance	8.54	Pass	CharlestonWWTP-01	SARS-CoV-2	N1	ZooWVU	1126953.1239375	1126953.1239375	2253.906247875	36431465.9965115	72862.931993023	100	28.10069084	991.7993164	NTC above threshold
R01-0309.a3	R01-0309	05/14/2023 9:00	05/15/2023 9:00	Routine Surveillance	0.176	Pass	HuttonsvilleWWTP-01	Human	RNase P	ZooWVU	107242.011136875	107242.011136875	5104.33180089838	71448.0767224643	3400.67000106922	100	NA	NA	Missing controls: HEX
C01-0691.a3	C01-0691	07/15/2024 07:00 AM	07/16/2024 07:00 AM	Routine Surveillance	6.40	Pass	WheelingWWTP-01	Respiratory Syncitial Virus, Human (RSV)	G	ZooWVU	278	278	0.556	6735.001472	13.470002944	100	0	228.238220214844	yes
Q01-0268.a2	Q01-0268	02/15/2023 8:00	02/16/2023 8:00	Routine Surveillance	0.426	Pass	MadisonWWTP-01	SARS-CoV-2	N2	ZooWVU	1304845.6693875	1304845.6693875	28646.4471874314	2104174.11012171	46194.821297952	100	0	773.9514924	yes
B01-0194.a2	B01-0194	07/07/2022 7:00	07/08/2022 7:00	Routine Surveillance	12.3	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	9051.240009375	9051.240009375	18.10248001875	421430.649659825	842.86129931965	100	0	6448.253632	yes
A01-0518.a1	A01-0518	03/19/2023 0:00	03/20/2023 0:00	Routine Surveillance	8.1	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	377148.45114375	377148.45114375	780.393252656327	11564058.2993969	23928.2782225561	100	0	755.0350952	yes
A01-0058.a1	A01-0058	10/07/2021 0:00	10/07/2021 23:55	Routine Surveillance	7.245	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	128564.1456	128564.1456	266.024138387684	3525909.67735682	7295.79059211393	100	0	31863.75732	yes
A1025.a3	A1025	04/08/2021 12:00	04/08/2021 11:55	Routine Surveillance	8.828	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	1249	1249	2.58442310875683	41738.58175052	86.3652163352922	100	NA	NA	Missing controls: HEX
H01-0326.a3	H01-0326	08/28/2022 8:00	08/29/2022 8:00	Routine Surveillance	1.4	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	17162.00652375	17162.00652375	143.01672103125	90951.3235610959	757.927696342466	100	NA	NA	Missing controls: HEX
A01-0792.a2	A01-0792	02/07/2024 12:00 AM	02/08/2024 12:00 AM	Routine Surveillance	8.2	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	734059.292078018	734059.292078018	1518.9109668888	22785466.1555654	47147.5462579983	100	2.50025615096093	28850.009765625	yes
A01-0790.a1	A01-0790	02/04/2024 12:00 AM	02/05/2024 12:00 AM	Routine Surveillance	9.1	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	308290.368318558	308290.368318558	637.912531697066	10619749.5325444	21974.3203371636	100	1.81146651506424	20202.0825195312	yes
L01-0564.a1	L01-0564	09/15/2024 08:00 AM	09/16/2024 08:00 AM	Routine Surveillance	0.190	Pass	WestUnionWWTP-01	Respiratory Syncitial Virus, Bovine (BRSV)	Other	ZooWVU	140964.702665806	140964.702665806	24993.7416074124	101385.747072452	17976.1962894418	100	0.57205431163311	1215.70594787598	yes
Q01-0397.a1	Q01-0397	06/22/2023 8:00	06/23/2023 8:00	Routine Surveillance	0.306	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	71960.77510875	71960.77510875	1579.81943158617	83354.7175375505	1829.9608680033	100	0	9.79786098	yes
M04-0137.a2	M04-0137	10/23/2022 0:00	10/24/2022 0:00	Routine Surveillance	0.062	Pass	FarmingtonWWTP-01	SARS-CoV-2	N2	ZooWVU	8785.84227375	8785.84227375	1440.30201209016	2061.99694249151	338.032285654346	100	5.31873346	813.709488	yes
L01-0328.a3	L01-0328	01/30/2023 9:00	01/31/2023 9:00	Routine Surveillance	0.385	Pass	WestUnionWWTP-01	Human	RNase P	ZooWVU	35185.803350625	35185.803350625	6238.61761535904	51279.1863666734	9092.05432033217	100	NA	NA	Missing controls: HEX
D01-0289.a3	D01-0289	03/02/2023 7:00	03/03/2023 7:00	Routine Surveillance	1.3	Pass	CharlesTownWWTP-01	Human	RNase P	ZooWVU	67997.127099375	67997.127099375	399.983100584559	334616.106361219	1968.33003741893	100	NA	NA	Missing controls: HEX
N02-0020.a1	N02-0020	03/22/2022 7:00	03/23/2022 7:00	Routine Surveillance	7.23	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	12140.420915625	12140.420915625	45.8163669545815	332265.283437302	1253.92589417051	100	0	6790.800476	yes
N03-0391.a1	N03-0391	07/07/2023 8:00	07/08/2023 8:00	Routine Surveillance	0.48325	Pass	SalemWWTP-01	SARS-CoV-2	N1	ZooWVU	41391.359791875	41391.359791875	2233.74850468834	75717.1889081123	4086.19476028668	100	17.81831384	NA	NTC above threshold
A0035.a3	A0035	12/07/2020 12:00	12/07/2020 11:59	Routine Surveillance	7.578	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	1550	1550	3.20725045522265	44463.047319	92.0026637125476	100	NA	NA	Missing controls: HEX
C01-0465.a3	C01-0465	07/13/2023 8:00	07/14/2023 8:00	Routine Surveillance	7.507	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	20371.096726875	20371.096726875	40.74219345375	578886.940129425	1157.77388025885	100	NA	NA	Missing controls: HEX
J01-0125.a1	J01-0125	09/01/2022 7:30	09/02/2022 7:30	Routine Surveillance	0.051	Pass	AlpineLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	951933.5423625	951933.5423625	135990.506051786	183776.396280316	26253.770897188	100	4.90899206	938.600464	yes
U01-0002.a1	U01-0002	08/02/2023 8:00	08/03/2023 8:00	Routine Surveillance	0.317	Pass	WhiteOakWWTP-01	SARS-CoV-2	N1	ZooWVU	2016	2016	76.7707539984768	2419.14953952	92.1229832261995	100	0	75.18438816	yes
N02-0022.a2	N02-0022	03/01/2022 7:00	03/02/2022 7:00	Routine Surveillance	8.56	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	8193.09243375	8193.09243375	30.9196634981885	265481.672093732	1001.89324512692	100	0	6860.725402	yes
