archive_batch_id	archive_batch_comment	archive_batch_record_version	archive_date	archive_eluant	archive_input_ml	archive_machine	archive_method	archive_method_lot_id	archive_output_ml	archive_run_by
A02-0687.RB6711		1.0		Zymo DNA/RNA Shield						
J01-0063.RB6366		1.0		Zymo DNA/RNA Shield						
K01-0127.RB366		1.0		Zymo DNA/RNA Shield						
M03-0090.RB7336		1.0		Zymo DNA/RNA Shield						
R01-0008.RB299		1.0		Zymo DNA/RNA Shield						
A02-1089.RB7107		1.0		Zymo DNA/RNA Shield						
N03-0168.RB2292		1.0		Zymo DNA/RNA Shield						
E01-0089.RB2930		1.0		Zymo DNA/RNA Shield						
A04-0130.RB7604		1.0		Zymo DNA/RNA Shield						
M03-0036.RB1638		1.0		Zymo DNA/RNA Shield						
K01-0197.RB2682		1.0		Zymo DNA/RNA Shield						
A04-0173.RB2822		1.0		Zymo DNA/RNA Shield						
C01-0186.RB6089		1.0		Zymo DNA/RNA Shield						
H01-0496.RB4415		1.0		Zymo DNA/RNA Shield						
A02-0716.RB768		1.0		Zymo DNA/RNA Shield						
R01-0053.RB6107		1.0		Zymo DNA/RNA Shield						
A02-1017.RB4038		1.0		Zymo DNA/RNA Shield						
H01-0282.RB7089		1.0		Zymo DNA/RNA Shield						
K01-0184.RB6704		1.0		Zymo DNA/RNA Shield						
K01-0039.RB436		1.0		Zymo DNA/RNA Shield						
Q01-0018.RB6912		1.0		Zymo DNA/RNA Shield						
A0034.RB7557		1.0		Zymo DNA/RNA Shield						
Q01-0261.RB1129		1.0		Zymo DNA/RNA Shield						
A02-0280.RB7300		1.0		Zymo DNA/RNA Shield						
R01-0252.RB3125		1.0		Zymo DNA/RNA Shield						
C01-0202.RB6496		1.0		Zymo DNA/RNA Shield						
A01-0040.RB5691		1.0		Zymo DNA/RNA Shield						
A02-0489.RB862		1.0		Zymo DNA/RNA Shield						
R02-0109.RB3141		1.0		Zymo DNA/RNA Shield						
N03-0273.RB6276		1.0		Zymo DNA/RNA Shield						
P01-0021.RB5959		1.0		Zymo DNA/RNA Shield						
E02-0188.RB399		1.0		Zymo DNA/RNA Shield						
J01-0229.RB7351		1.0		Zymo DNA/RNA Shield						
L01-0311.RB7598		1.0		Zymo DNA/RNA Shield						
E02-0102.RB6145		1.0		Zymo DNA/RNA Shield						
N03-0201.RB4068		1.0		Zymo DNA/RNA Shield						
N03-0142.RB3483		1.0		Zymo DNA/RNA Shield						
A02-0921.RB2382		1.0		Zymo DNA/RNA Shield						
R02-0012.RB4441		1.0		Zymo DNA/RNA Shield						
A04-0196.RB1717		1.0		Zymo DNA/RNA Shield						
B01-0098.RB6976		1.0		Zymo DNA/RNA Shield						
A03-0372.RB5355		1.0		Zymo DNA/RNA Shield						
N02-0007.RB7129		1.0		Zymo DNA/RNA Shield						
H01-0128.RB3539		1.0		Zymo DNA/RNA Shield						
Q01-0274.RB3460		1.0		Zymo DNA/RNA Shield						
K01-0116.RB6609		1.0		Zymo DNA/RNA Shield						
B01-0327.RB4187		1.0		Zymo DNA/RNA Shield						
O01-0109.RB716		1.0		Zymo DNA/RNA Shield						
A01-0167.RB4813		1.0		Zymo DNA/RNA Shield						
L01-0036.RB2640		1.0		Zymo DNA/RNA Shield						
A1073.RB6068		1.0		Zymo DNA/RNA Shield						
A02-1091.RB4973		1.0		Zymo DNA/RNA Shield						
R01-0055.RB201		1.0		Zymo DNA/RNA Shield						
A02-0385.RB2239		1.0		Zymo DNA/RNA Shield						
A03-0297.RB259		1.0		Zymo DNA/RNA Shield						
R02-0005.RB2958		1.0		Zymo DNA/RNA Shield						
A02-1152.RB1089		1.0		Zymo DNA/RNA Shield						
A02-0576.RB4582		1.0		Zymo DNA/RNA Shield						
B01-0346.RB676		1.0		Zymo DNA/RNA Shield						
Q01-0057.RB4050		1.0		Zymo DNA/RNA Shield						
K01-0186.RB6617		1.0		Zymo DNA/RNA Shield						
A02-0434.RB224		1.0		Zymo DNA/RNA Shield						
L01-0278.RB3197		1.0		Zymo DNA/RNA Shield						
C01-0041.RB7016		1.0		Zymo DNA/RNA Shield						
A01-0179.RB1806		1.0		Zymo DNA/RNA Shield						
M04-0080.RB6351		1.0		Zymo DNA/RNA Shield						
E02-0055.RB218		1.0		Zymo DNA/RNA Shield						
M04-0184.RB1278		1.0		Zymo DNA/RNA Shield						
A02-0961.RB1650		1.0		Zymo DNA/RNA Shield						
S01-0044.RB4540		1.0		Zymo DNA/RNA Shield						
O01-0237.RB4247		1.0		Zymo DNA/RNA Shield						
O01-0099.RB2173		1.0		Zymo DNA/RNA Shield						
B01-0119.RB4294		1.0		Zymo DNA/RNA Shield						
N02-0213.RB569		1.0		Zymo DNA/RNA Shield						
D01-0101.RB7668		1.0		Zymo DNA/RNA Shield						
S01-0038.RB1830		1.0		Zymo DNA/RNA Shield						
M03-0188.RB971		1.0		Zymo DNA/RNA Shield						
C01-0073.RB1604		1.0		Zymo DNA/RNA Shield						
A02-1020.RB2987		1.0		Zymo DNA/RNA Shield						
R02-0022.RB4493		1.0		Zymo DNA/RNA Shield						
A03-0011.RB3390		1.0		Zymo DNA/RNA Shield						
M04-0071.RB6186		1.0		Zymo DNA/RNA Shield						
E02-0238.RB1709		1.0		Zymo DNA/RNA Shield						
K01-0151.RB4262		1.0		Zymo DNA/RNA Shield						
K01-0178.RB553		1.0		Zymo DNA/RNA Shield						
B01-0307.RB1977		1.0		Zymo DNA/RNA Shield						
A02-1155.RB781		1.0		Zymo DNA/RNA Shield						
A04-0177.RB1627		1.0		Zymo DNA/RNA Shield						
J01-0225.RB1883		1.0		Zymo DNA/RNA Shield						
A1064.RB2221		1.0		Zymo DNA/RNA Shield						
A01-0218.RB6701		1.0		Zymo DNA/RNA Shield						
N02-0170.RB4027		1.0		Zymo DNA/RNA Shield						
M03-0225.RB5539		1.0		Zymo DNA/RNA Shield						
N03-0030.RB1313		1.0		Zymo DNA/RNA Shield						
A02-0688.RB3569		1.0		Zymo DNA/RNA Shield						
A01-0347.RB7601		1.0		Zymo DNA/RNA Shield						
C01-0205.RB6714		1.0		Zymo DNA/RNA Shield						
L01-0188.RB3430		1.0		Zymo DNA/RNA Shield						
A02-0157.RB3406		1.0		Zymo DNA/RNA Shield						
A01-0421.RB2679		1.0		Zymo DNA/RNA Shield						
A02-0550.RB6212		1.0		Zymo DNA/RNA Shield						
K01-0014.RB579		1.0		Zymo DNA/RNA Shield						
A03-0301.RB806		1.0		Zymo DNA/RNA Shield						
A01-0030.RB2418		1.0		Zymo DNA/RNA Shield						
N03-0119.RB6121		1.0		Zymo DNA/RNA Shield						
C01-0068.RB1695		1.0		Zymo DNA/RNA Shield						
C01-0296.RB263		1.0		Zymo DNA/RNA Shield						
H01-0266.RB6565		1.0		Zymo DNA/RNA Shield						
Q01-0111.RB6072		1.0		Zymo DNA/RNA Shield						
E01-0004.RB485		1.0		Zymo DNA/RNA Shield						
G01-0254.RB2098		1.0		Zymo DNA/RNA Shield						
D01-0062.RB3272		1.0		Zymo DNA/RNA Shield						
L01-0026.RB7638		1.0		Zymo DNA/RNA Shield						
M03-0160.RB602		1.0		Zymo DNA/RNA Shield						
L01-0007.RB6729		1.0		Zymo DNA/RNA Shield						
K01-0023.RB5170		1.0		Zymo DNA/RNA Shield						
A01-0417.RB1350		1.0		Zymo DNA/RNA Shield						
K01-0104.RB556		1.0		Zymo DNA/RNA Shield						
C01-0142.RB6103		1.0		Zymo DNA/RNA Shield						
N03-0041.RB2584		1.0		Zymo DNA/RNA Shield						
N02-0215.RB6452		1.0		Zymo DNA/RNA Shield						
K01-0012.RB2779		1.0		Zymo DNA/RNA Shield						
A03-0296.RB6535		1.0		Zymo DNA/RNA Shield						
A01-0240.RB6881		1.0		Zymo DNA/RNA Shield						
K01-0100.RB1111		1.0		Zymo DNA/RNA Shield						
A01-0304.RB5141		1.0		Zymo DNA/RNA Shield						
G01-0313.RB7359		1.0		Zymo DNA/RNA Shield						
A0231.RB2506		1.0		Zymo DNA/RNA Shield						
L01-0200.RB2848		1.0		Zymo DNA/RNA Shield						
H01-0065.RB7248		1.0		Zymo DNA/RNA Shield						
E02-0007.RB4672		1.0		Zymo DNA/RNA Shield						
L01-0158.RB4004		1.0		Zymo DNA/RNA Shield						
Q01-0300.RB7623		1.0		Zymo DNA/RNA Shield						
A02-1027.RB3971		1.0		Zymo DNA/RNA Shield						
M03-0133.RB2065		1.0		Zymo DNA/RNA Shield						
H01-0315.RB1402		1.0		Zymo DNA/RNA Shield						
Q01-0065.RB5125		1.0		Zymo DNA/RNA Shield						
A02-0877.RB803		1.0		Zymo DNA/RNA Shield						
M04-0141.RB5891		1.0		Zymo DNA/RNA Shield						
A01-0225.RB7103		1.0		Zymo DNA/RNA Shield						
K01-0120.RB7072		1.0		Zymo DNA/RNA Shield						
A04-0192.RB3508		1.0		Zymo DNA/RNA Shield						
A0047.RB539		1.0		Zymo DNA/RNA Shield						
A01-0211.RB1860		1.0		Zymo DNA/RNA Shield						
H01-0232.RB2261		1.0		Zymo DNA/RNA Shield						
A02-0098.RB4232		1.0		Zymo DNA/RNA Shield						
J01-0194.RB4095		1.0		Zymo DNA/RNA Shield						
