concentration_id	concentration_batch_id	concentration_comment	concentration_location_in_batch	sample_id
A02-0959.c4799	CP325		A04	
A02-0527.c5843	CP221		A04	
G01-0097.c3370	CP72		A05	
L01-0162.c109	CP186		C02	
R01-0153.c216	CP358		D03	
E02-0006.c2386	CP37		B02	
J01-0176.c2612	CP290		D06	
Q01-0165.c2949	CP280		D01	
N03-0049.c2265	CP80		C01	
A0103.c7063	CS1			
L01-0157.c460	CP186		C01	
B01-0275.c2703	CP256		C04	
N02-0097.c3590	CP148		C01	
D01-0141.c3660	CP216		A02	
A02-0350.c7533	CP79		D02	
R01-0188.c405	CP352		D02	
Q01-0274.c3460	CP345		B06	
N02-0028.c5426	CP69		C06	
N02-0070.c2308	CP136		A04	
A02-0235.c550	CP40		C04	
A01-0077.c4627	CP32		A02	
A1031.c150	CS19			
A01-0237.c7214	CP133		A02	
B01-0316.c2805	CP324		B02	
P01-0059.c1221	CP121		A06	
A01-0315.c662	CP197		A05	
B01-0005.c2067	CP19		A01	
A04-0182.c1110	CP246		B06	
R02-0270.c1690	CP365		B03	
L01-0049.c334	CP93		C05	
N02-0030.c2936	CP69		D03	
K01-0025.c3142	CP62		C01	
A02-0201.c5274	CP31		D03	
A04-0324.c76	CP344		B05	
Q01-0003.c6437	CP142		B06	
N02-0051.c4811	CP128		C04	
A04-0097.c1029	CP172		A06	
A02-0839.c2706	CP296		A02	
A01-0267.c1570	CP164		D02	
H01-0179.c208	CP115		B03	
A02-0673.c22	CP254		A02	
K01-0083.c5237	CP145		B04	
C01-0240.c999	CP214		C02	
E02-0230.c2192	CP311		D05	
B01-0120.c183	CP90		B01	
M04-0049.c595	CP118		C02	
R01-0165.c1941	CP282		D03	
A02-0757.c1874	CP276		A06	
D01-0040.c1094	CP172		A05	
H01-0138.c6199	CP86		C01	
B01-0377.c130	CP332		B03	
C01-0164.c5423	CP133		D03	
N03-0174.c7536	CP223		C05	
A01-0370.c6554	CP248		B03	
S01-0040.c4808	CP120		C05	
D01-0146.c6637	CP228		C03	
C01-0298.c2311	CP278		C04	
N02-0201.c5839	CP330		D06	
G02-0007.c5060	CP26		D04	
T01-0002.c6851	CP201		B03	
A02-0705.c4965	CP259		B02	
R01-0252.c3125	CP369		A03	
H01-0348.c2430	CP244		B03	
E02-0136.c7228	CP161		D03	
O01-0037.c6367	CP86		C06	
L01-0243.c2555	CP265		C04	
R02-0137.c2933	CP259		D06	
D01-0063.c4729	CP101		B03	
O01-0238.c827	CP317		C04	
O01-0239.c6734	CP317		C05	
O01-0007.c5728	CP130		A02	
A02-1053.c774	CP344		A04	
A02-0632.c6664	CP239		C02	
R02-0242.c4041	CP347		A04	
A01-0197.c4233	CP94		D05	
A02-0203.c5398	CP31		A04	
L01-0220.c4324	CP225		C05	
A02-0470.c854	CP127		C02	
K01-0082.c2772	CP145		B03	
A04-0077.c7639	CP144		C05	
G01-0206.c3829	CP279		B01	
R02-0170.c5133	CP293		A03	
D01-0038.c5714	CP121		B04	
G01-0064.c4399	CP32		A06	
M03-0047.c262	CP118		B01	
A01-0316.c3064	CP197		A06	
R01-0030.c496	CP154		C01	
A02-0683.c4164	CP254		B06	
H01-0191.c5790	CP126		B02	
O01-0109.c716	CP187		A02	
C01-0200.c4975	CP167		D04	
M03-0006.c2813	CP98		A02	
A01-0310.c2411	CP194		A01	
D01-0074.c6358	CP103		B01	
G01-0257.c4543	CP227		A03	
T01-0078.c5180	CP305		B05	
B01-0176.c5594	CP175		C06	
A04-0079.c4318	CP150		A02	
L01-0034.c2715	CP88		A02	
J01-0247.c6377	CP369		D04	
C01-0324.c4785	CP301		D01	
H01-0334.c7580	CP233		D06	
R02-0119.c5136	CP190		C01	
D01-0208.c4236	CP309		B06	
A02-0832.c5248	CP287		D03	
Q01-0219.c2058	CP314		A03	
A02-0063.c2788	CP0.5		A05	
O01-0021.c217	CP119		C01	
A02-0262.c7439	CP45		C03	
A03-0081.c3386	CP42		B01	
A01-0013.c3670	CP7		A02	
L01-0295.c3939	CP303		C05	
G01-0195.c98	CP182		A05	
L01-0251.c7369	CP285		C01	
A02-0017.c2275	CP5		A01	
C01-0096.c2408	CP96		D01	
D01-0142.c4546	CP208		A06	
E01-0140.c3235	CP188		B02	
R02-0149.c6777	CP268		D03	
B01-0223.c742	CP250		C04	
A02-0309.c2212	CP66		C03	
N03-0054.c2330	CP123		C01	
A02-0238.c1131	CP43		A02	
R01-0088.c5914	CP191		C06	
A1000.c2077	CS14			
J01-0021.c5319	CP114		D03	
R02-0166.c3360	CP274		A03	
M03-0096.c5928	CP162		B05	
A02-0730.c4084	CP270		A04	
A02-0531.c503	CP148		D03	
A03-0189.c4830	CP64		D02	
O01-0029.c901	CP97		B05	
G01-0241.c2816	CP124		D04	
C01-0157.c6992	CP128		B04	
M04-0060.c5264	CP163		D03	
E01-0068.c6758	CP85		D06	
G01-0191.c6298	CP179		B03	
A02-0152.c7010	CP0.1		A06	
M04-0041.c420	CP130		B02	
A04-0040.c6500	CP105		D04	
N02-0146.c3470	CP216		D01	
A01-0346.c1455	CP226		C04	
L01-0139.c1390	CP162		C03	
E01-0178.c6547	CP248		C01	
A1077.c7429	CP0.7			
N03-0155.c7446	CP223		B06	
T01-0058.c6219	CP276		C04	
A02-0476.c1250	CP131		D02	
N02-0007.c7129	CP103		A01	
H01-0445.c7643	CP311		C03	
M03-0212.c3946	CP358		A06	
B01-0251.c7296	CP277		D05	
A02-1076.c6648	CP349		B06	
L01-0050.c1848	CP93		D02	
H01-0275.c2686	CP189		B05	
M04-0164.c2483	CP328		B05	
H01-0387.c4249	CP275		C05	
A01-0158.c5626	CP65		B01	
N02-0286.c5149	CP373		A02	
C01-0073.c1604	CP58		C01	
N03-0073.c4148	CP123		B06	
B01-0218.c6952	CP246		B04	
A03-0024.c6334	CP17		B01	
A0023.c519	CS4			
D01-0124.c4539	CP175		A04	
A01-0506.c3943	CP360		B04	
A02-0718.c2881	CP263		B05	
M04-0104.c6892	CP225		A01	
M04-0092.c7646	CP172		D02	
H01-0356.c5070	CP250		B02	
M04-0153.c3048	CP333		C06	
J01-0138.c1864	CP248		D05	
E01-0138.c7443	CP188		A06	
A02-0514.c478	CP223		B04	
M03-0218.c4174	CP352		A06	
A01-0519.c7293	CP371		A03	
A1039.c3202	CS20			
N03-0031.c5623	CP97		B02	
L01-0221.c37	CP213		C01	
R02-0151.c2109	CP287		C05	
A03-0131.c863	CP46		B04	
A02-0642.c1560	CP243		C02	
C01-0350.c2980	CP350		B01	
E01-0201.c7194	CP275		C03	
O01-0084.c4912	CP177		C05	
L01-0249.c2486	CP265		D01	
A04-0111.c6035	CP188		A03	
K01-0155.c2683	CP247		A04	
N03-0292.c7628	CP365		A04	
A02-0092.c3914	CP11		A05	
E01-0167.c5674	CP233		A03	
A03-0122.c2611	CP68		C06	
O01-0061.c3838	CP151		A04	
A02-1101.c7428	CP357		D05	
H01-0296.c7414	CP206		B04	
A03-0168.c1000	CP61		C01	
M03-0105.c6887	CP212		A02	
N03-0100.c4126	CP151		C01	
N03-0006.c3521	CP102		C06	
N03-0170.c6133	CP223		C04	
M03-0025.c6719	CP88		C06	
A03-0359.c1742	CP156		A02	
M03-0086.c4366	CP162		B03	
G01-0119.c4738	CP131		A04	
K01-0208.c5939	CP341		B06	
T01-0089.c6594	CP323		C02	
H01-0339.c2151	CP238		A02	
A02-1002.c6277	CP334		C01	
A04-0342.c74	CP368		C02	
A03-0193.c7269	CP65		D03	
J01-0239.c2589	CP359		B03	
N02-0174.c5334	CP246		C04	
L01-0170.c4123	CP180		B02	
N03-0097.c1823	CP145		C05	
A03-0306.c5739	CP117		D02	
A02-0854.c5474	CP299		B01	
A02-1151.c6136	CP372		B01	
C01-0055.c3928	CP49		B03	
R01-0040.c7614	CP159		B03	
A03-0236.c1321	CP78		D03	
B01-0245.c4649	CP209		A02	
G01-0130.c5358	CP104		D02	
N03-0219.c2844	CP280		C04	
H01-0359.c708	CP255		B03	
J01-0158.c3335	CP269		C05	
N03-0087.c3260	CP145		C03	
N03-0258.c2475	CP359		C05	
Q01-0049.c2608	CP174		B01	
A04-0059.c7154	CP122		C03	
G01-0221.c608	CP279		B03	
M03-0016.c4363	CP98		A05	
L01-0323.c6798	CP313		A05	
A02-0750.c6464	CP273		D04	
T01-0003.c642	CP201		B04	
R01-0067.c1304	CP163		A03	
D01-0042.c2761	CP123		D04	
H01-0441.c1290	CP309		D06	
N03-0016.c5538	CP102		C03	
A01-0285.c7032	CP156		C02	
C01-0300.c2675	CP278		C06	
O01-0235.c1407	CP313		C01	
D01-0184.c4480	CP254		D03	
R01-0070.c1826	CP270		B06	
G01-0081.c2365	CP67		D02	
Q01-0157.c2286	CP271		D05	
H01-0408.c2312	CP288		D04	
B01-0273.c4359	CP266		C02	
E01-0139.c357	CP188		B01	
H01-0323.c6852	CP229		A05	
N03-0029.c120	CP94		A01	
R01-0297.c2868	CP369		B01	
J01-0109.c5226	CP212		B05	
N03-0145.c2230	CP207		A06	
G01-0254.c2098	CP244		B06	
E01-0079.c7100	CP101		B02	
K01-0218.c324	CP358		C05	
R01-0085.c7253	CP196		C04	
E01-0078.c486	CP101		A06	
K01-0204.c3846	CP364		C01	
M03-0070.c1440	CP146		B06	
A02-0224.c5943	CP37		D04	
E01-0070.c2927	CP89		C06	
L01-0176.c5746	CP202		C01	
J01-0154.c1245	CP264		B06	
A02-0666.c2191	CP251		A03	
N02-0262.c4636	CP356		D01	
C01-0295.c3710	CP273		B05	
R01-0111.c7138	CP203		C04	
H01-0510.c1942	CP356		C03	
D01-0242.c99	CP343		B05	
M03-0158.c6987	CP289		B02	
D01-0079.c3184	CP151		A01	
L01-0178.c7527	CP202		C03	
R02-0150.c6423	CP260		A05	
M03-0138.c5554	CP252		C06	
C01-0058.c5437	CP52		B04	
L01-0172.c7396	CP186		C03	
K01-0182.c4528	CP285		B05	
B01-0240.c6626	CP209		A01	
A02-0704.c6319	CP259		B01	
A02-1038.c5529	CP342		B02	
A0047.c539	CS9			
H01-0375.c4983	CP267		C02	
L01-0240.c6448	CP248		B03	
L01-0265.c5223	CP285		C06	
O01-0052.c837	CP134		B02	
I01-0003.c910	CP32		C05	
N03-0082.c7317	CP151		B02	
C01-0309.c6258	CP289		C06	
Q01-0217.c1222	CP314		A01	
E01-0205.c1725	CP279		A04	
R02-0109.c3141	CP195		D05	
K01-0219.c7256	CP341		C02	
E02-0062.c5377	CP99		D04	
G01-0294.c6920	CP286		C03	
G01-0179.c616	CP174		B03	
A04-0028.c6809	CP91		B06	
A02-0068.c4812	CP7		C02	
R01-0112.c64	CP219		A04	
J01-0038.c7393	CP134		D01	
E01-0120.c1047	CP165		A06	
A1029.c1309	CS18			
H01-0220.c4514	CP149		C04	
L01-0353.c674	CP353		A02	
Q01-0104.c4986	CP216		B05	
A01-0417.c1350	CP292		A02	
J01-0230.c6623	CP347		D01	
O01-0031.c4865	CP82		C06	
R02-0163.c6426	CP287		D01	
S01-0065.c6398	CP124		C03	
A02-0734.c5743	CP270		B02	
H01-0469.c23	CP330		C01	
N03-0085.c6060	CP159		D01	
A02-0831.c1925	CP282		B04	
A02-1114.c4680	CP361		A06	
Q01-0009.c6234	CP147		C04	
G01-0203.c5946	CP279		A06	
A04-0154.c4633	CP269		A03	
K01-0057.c1535	CP113		C02	
L01-0232.c2211	CP252		A05	
E02-0011.c1204	CP39		C02	
A02-0860.c365	CP294		A06	
A01-0073.c7279	CP31		D01	
O01-0146.c989	CP212		D05	
R02-0162.c1132	CP280		B01	
N02-0135.c7147	CP199		A06	
Q01-0193.c4042	CP298		A01	
A02-0325.c2187	CP72		C04	
O01-0113.c6267	CP187		A03	
J01-0090.c3550	CP191		D03	
H01-0145.c349	CP90		B03	
J01-0031.c585	CP130		B06	
J01-0059.c2857	CP160		D06	
A02-0446.c6991	CP117		A02	
N03-0070.c193	CP140		A01	
C01-0255.c6529	CP230		A01	
A03-0034.c3435	CP21		D03	
G01-0056.c843	CP28		C03	
R01-0214.c6474	CP307		B02	
N02-0197.c5664	CP281		C02	
A02-0468.c4700	CP127		C04	
L01-0082.c5448	CP123		A02	
A02-0689.c4227	CP247		A04	
M03-0184.c2665	CP317		A03	
A02-0297.c2019	CP63		D03	
L01-0160.c3731	CP180		A06	
L01-0126.c1645	CP168		A01	
A1003.c6923	CS14			
A0234.c4495	CS11			
A02-0725.c3270	CP268		A06	
G01-0057.c6180	CP28		C04	
J01-0207.c2412	CP317		C02	
A0037.c3274	CS6			
A04-0169.c5127	CP247		B05	
A01-0142.c274	CP55		B02	
N02-0189.c4025	CP281		B04	
G01-0093.c105	CP77		A04	
A1100.c3535	CP0.9			
A03-0194.c2208	CP89		B03	
D01-0086.c2771	CP155		D06	
R02-0128.c2465	CP259		D03	
A02-1026.c2595	CP338		C06	
M04-0105.c4449	CP225		A02	
R01-0200.c1038	CP322		D06	
C01-0176.c2120	CP153		B02	
Q01-0020.c4436	CP155		B05	
B01-0155.c5464	CP155		D03	
D01-0059.c599	CP89		A03	
M04-0137.c2878	CP279		B06	
J01-0039.c430	CP134		D02	
Q01-0182.c1054	CP288		C03	
H01-0476.c2375	CP344		D06	
H01-0284.c4911	CP194		C02	
E02-0092.c4747	CP68		A02	
H01-0263.c3023	CP185		B03	
Q01-0228.c5648	CP323		D05	
B01-0393.c5367	CP361		C06	
E02-0162.c3635	CP195		B02	
A03-0324.c3504	CP132		A03	
C01-0216.c2882	CP185		D02	
D01-0109.c6891	CP283		B06	
H01-0273.c4373	CP185		D01	
E02-0177.c487	CP210		B01	
A01-0042.c5814	CP17		A03	
R02-0227.c2630	CP365		A06	
A04-0067.c356	CP132		D04	
N02-0179.c409	CP275		B03	
C01-0361.c3800	CP352		A01	
R01-0217.c242	CP341		B03	
E01-0012.c4433	CP43		B05	
M04-0106.c6951	CP229		C02	
A02-0005.c995	CP0.2		A04	
M03-0081.c1622	CP168		B03	
K01-0119.c3026	CP203		B06	
G01-0053.c4930	CP25		B01	
F01-0029.c5547	CP20		A02	
A02-0727.c6070	CP268		B02	
G01-0043.c762	CP60		D03	
J01-0237.c1784	CP359		B01	
M03-0153.c617	CP279		D03	
L01-0248.c5035	CP265		C06	
A1016.c1058	CS17			
M03-0100.c4908	CP172		A04	
O01-0073.c4376	CP140		C04	
A1086.c2196	CP0.8			
N02-0022.c5637	CP91		C06	
A01-0202.c836	CP10		C01	
A03-0146.c2540	CP65		C03	
R02-0269.c1984	CP369		A05	
E02-0176.c5828	CP210		A06	
A1014.c5507	CS16			
A01-0460.c5298	CP320		A01	
B01-0286.c4875	CP306		D06	
A02-0116.c2507	CP16		A04	
O01-0154.c4768	CP240		C02	
E02-0137.c1819	CP161		D04	
L01-0189.c4119	CP202		C05	
B01-0172.c7239	CP166		C04	
A04-0250.c1898	CP324		D04	
A02-0225.c5467	CP40		B01	
E01-0228.c5795	CP336		A02	
M04-0082.c5118	CP172		C06	
J01-0151.c4299	CP247		D05	
R02-0160.c2710	CP293		A01	
Q01-0286.c7585	CP357		A01	
C01-0277.c197	CP248		C05	
H01-0401.c5185	CP289		D03	
L01-0308.c6248	CP322		A05	
A04-0136.c5993	CP1		D01	
E01-0116.c632	CP154		C06	
G01-0271.c4676	CP222		C02	
M04-0123.c4333	CP248		C03	
A01-0075.c1752	CP31		B02	
E01-0063.c859	CP80		C05	
D01-0029.c6726	CP118		A01	
H01-0449.c1489	CP314		B04	
A02-0206.c353	CP32		D02	
A02-0647.c5124	CP245		A05	
A02-0340.c2141	CP84		D06	
N03-0107.c3283	CP182		C04	
O01-0045.c4569	CP94		B01	
H01-0461.c779	CP324		A05	
C01-0355.c1103	CP341		A05	
A01-0400.c160	CP276		B03	
A02-0630.c4835	CP239		B06	
R02-0088.c4659	CP230		B01	
C01-0019.c5568	CP25		D05	
C01-0254.c5101	CP229		D06	
A1091.c5094	CP0.9			
N02-0091.c24	CP161		A04	
E02-0214.c6477	CP271		C03	
E01-0100.c7144	CP131		B03	
A02-0878.c4224	CP284		C02	
R01-0275.c1082	CP366		B01	
A02-0540.c3312	CP144		A06	
T01-0061.c5667	CP283		C05	
A01-0244.c6264	CP138		C03	
N02-0047.c3230	CP87		C02	
C01-0114.c6159	CP69		B04	
R01-0098.c4336	CP183		D03	
N02-0040.c4201	CP69		D01	
A0039.c2512	CS7			
R02-0083.c3098	CP230		A04	
P01-0068.c2854	CP147		D05	
R01-0011.c1207	CP124		B03	
A02-0617.c6723	CP237		B03	
R01-0082.c5996	CP196		C03	
A02-0087.c2270	CP10		A02	
A04-0143.c4673	CP222		C03	
B01-0248.c5219	CP210		B06	
B01-0270.c847	CP256		C03	
A02-0850.c3869	CP296		B03	
Q01-0115.c833	CP227		B06	
A0025.c7579	CS4			
A02-0396.c3365	CP96		B01	
G01-0159.c3191	CP147		A03	
O01-0203.c4218	CP264		A03	
A02-0192.c2184	CP30		C01	
P01-0018.c1106	CP77		C05	
B01-0278.c3286	CP301		D05	
H01-0489.c3675	CP339		C06	
I01-0046.c1078	CP43		D04	
A02-1096.c63	CP357		B06	
A02-0155 c.c27	CS25			
B01-0068.c5896	CP36		D04	
O01-0250.c1787	CP312		D02	
A02-0756.c7168	CP277		A01	
S01-0035.c325	CP129		C04	
B01-0080.c6166	CP78		A01	
A04-0141.c3856	CP217		D04	
A01-0350.c5011	CP228		D03	
J01-0159.c4476	CP269		C06	
E02-0236.c3761	CP321		C03	
N03-0048.c5516	CP93		B06	
A02-1041.c5634	CP330		B04	
A01-0505.c7243	CP357		A06	
P01-0079.c2504	CP175		A01	
D01-0183.c1450	CP239		C05	
N03-0105.c6083	CP181		B06	
N02-0061.c1395	CP140		B04	
J01-0002.c4349	CP57		C04	
E02-0165.c1952	CP195		A04	
P01-0037.c613	CP102		D01	
A01-0309.c713	CP191		A02	
A02-0773.c1255	CP282		A05	
A01-0228.c6619	CP122		B04	
A03-0136.c5544	CP52		D02	
A02-0699.c6505	CP263		A01	
E01-0199.c7599	CP275		C01	
E02-0100.c5348	CP63		D01	
B01-0185.c1987	CP157		B05	
Q01-0011.c222	CP147		C06	
A04-0144.c1172	CP1		D02	
A02-0265.c6163	CP49		C04	
H01-0222.c7015	CP149		D01	
H01-0293.c2335	CP199		C03	
G01-0196.c3608	CP179		B04	
O01-0017.c3475	CP113		B04	
R01-0096.c6326	CP231		B04	
A02-0370.c4009	CP85		B01	
M03-0067.c1689	CP134		D05	
B01-0266.c6458	CP277		D06	
H01-0156.c5893	CP10		A04	
B01-0126.c1565	CP161		A06	
C01-0312.c7062	CP293		B02	
E02-0015.c7246	CP41		D03	
A02-0427.c3507	CP107		D01	
L01-0010.c6030	CP74		D04	
K01-0200.c5513	CP321		A03	
H01-0431.c5956	CP305		D02	
E01-0158.c5008	CP216		C03	
N02-0085.c3853	CP166		C06	
E01-0157.c1512	CP216		C02	
M03-0102.c6581	CP212		A01	
H01-0531.c3611	CP373		B02	
T01-0056.c4473	CP276		C02	
G01-0225.c5817	CP266		D04	
H01-0327.c4302	CP229		B03	
L01-0234.c73	CP252		B01	
Q01-0097.c1188	CP211		A03	
A01-0278.c2521	CP335		C03	
E02-0200.c1057	CP238		B04	
R01-0168.c3589	CP290		B05	
N02-0149.c6086	CP205		B03	
N03-0106.c5753	CP181		C01	
A02-0976.c2985	CP325		B02	
N02-0128.c3844	CP211		A05	
J01-0157.c7469	CP269		C04	
A02-0778.c6323	CP268		B05	
A04-0042.c4970	CP106		C04	
A02-0943.c812	CP320		B06	
A02-1159.c6419	CP373		D05	
M04-0068.c6698	CP163		D05	
Q01-0069.c3151	CP188		C03	
J01-0034.c5364	CP130		C03	
J01-0016.c675	CP108		A05	
M04-0059.c5075	CP145		A06	
A03-0191.c7157	CP65		D01	
A01-0517.c4666	CP368		C05	
A03-0278.c1991	CP104		D06	
H01-0497.c1909	CP336		B03	
N02-0202.c1404	CP305		A02	
B01-0407.c6467	CP339		C02	
L01-0309.c1307	CP322		A06	
A01-0112.c2026	CP41		C02	
Q01-0095.c4052	CP211		A01	
B01-0311.c7518	CP327		C03	
A02-0016.c4778	CP0.3		A01	
L01-0298.c5458	CP310		B01	
K01-0179.c7006	CP314		A06	
G01-0205.c364	CP272		A01	
A02-0474.c1340	CP129		D06	
A02-0072.c2847	CP7		C04	
H01-0518.c1495	CP362		A03	
A03-0276.c196	CP116		A06	
A01-0518.c300	CP371		A02	
K01-0093.c7524	CP157		B01	
E02-0010.c5477	CP39		C01	
Q01-0192.c3540	CP295		B03	
G01-0113.c4579	CP125		B06	
M04-0009.c4380	CP88		D02	
A02-0369.c7617	CP85		A04	
H01-0391.c5199	CP275		D03	
E02-0238.c1709	CP321		C05	
L01-0366.c1068	CP358		D06	
H01-0257.c3996	CP175		B05	
G01-0009.c4602	CP50		A04	
C01-0142.c6102	CP117		C04	
N02-0225.c6513	CP299		D05	
L01-0059.c5505	CP113		A05	
R02-0181.c5337	CP369		A01	
N03-0144.c1791	CP192		A02	
L01-0223.c880	CP218		B04	
B01-0270.c846	CP256		C03	
K01-0069.c6274	CP125		C02	
T01-0070.c6597	CP294		B05	
G01-0223.c275	CP286		C02	
D01-0033.c2023	CP118		A02	
E01-0240.c7501	CP350		A02	
J01-0076.c4663	CP177		B06	
R01-0108.c5789	CP203		C03	
D01-0002.c6516	CP52		B03	
A02-0129.c7003	CP17		C05	
F01-0044.c2260	CP158		C01	
D01-0224.c104	CP287		B02	
A0104.c1951	CS1			
L01-0127.c6884	CP162		B06	
N02-0012.c5578	CP97		C06	
R01-0084.c3879	CP231		B03	
Q01-0304.c6011	CP372		B05	
E02-0235.c440	CP321		C02	
Q01-0006.c3375	CP142		C03	
B01-0389.c6825	CP357		C02	
A01-0176.c3917	CP78		D01	
A02-0548.c871	CP213		D03	
M04-0181.c4285	CP358		B05	
L01-0066.c3993	CP103		D03	
G01-0092.c7417	CP72		A04	
A03-0020.c6842	CP25		D02	
H01-0018.c5677	CP28		D01	
B01-0134.c4459	CP149		B03	
P01-0043.c4402	CP114		B01	
G01-0297.c1655	CP289		A05	
R01-0048.c4198	CP108		D01	
G01-0265.c5582	CP222		C01	
A02-0636.c4463	CP243		B02	
C01-0068.c1695	CP56		A06	
A02-0150.c4517	CP22		A04	
Q01-0276.c3412	CP350		D02	
B01-0253.c7178	CP266		B05	
R01-0092.c4757	CP186		B03	
E01-0211.c1044	CP295		A01	
A02-1123.c1115	CP363		B06	
A02-0638.c6237	CP243		B04	
O01-0212.c5374	CP279		D06	
D01-0023.c6941	CP66		A02	
J01-0211.c7088	CP322		A01	
A04-0319.c5658	CP349		C03	
N02-0112.c3465	CP270		D01	
E02-0134.c7182	CP155		A04	
A02-0844.c339	CP296		A05	
A02-0908.c2901	CP304		A06	
A03-0132.c7328	CP61		B01	
C01-0225.c1421	CP190		B02	
N02-0233.c5434	CP337		C02	
Q01-0126.c3208	CP244		D03	
E01-0160.c2731	CP221		D01	
D01-0126.c4466	CP206		C03	
E01-0190.c3595	CP266		D05	
J01-0012.c2800	CP108		A01	
B01-0297.c1162	CP283		A03	
E02-0172.c4092	CP205		C06	
E02-0123.c7314	CP142		D04	
L01-0261.c3665	CP274		B05	
K01-0028.c2435	CP74		C05	
E02-0099.c3211	CP63		C06	
M04-0075.c722	CP157		D02	
G01-0070.c2550	CP34		D02	
N03-0061.c3120	CP130		D06	
A02-0038.c3771	CP4		A04	
O01-0083.c751	CP163		B01	
A02-0271.c6984	CP51		B04	
A02-0249.c1575	CP44		C04	
J01-0061.c6008	CP163		B06	
K01-0005.c5065	CP70		C03	
A02-0211.c3019	CP33		D02	
E01-0221.c994	CP326		C01	
M04-0008.c3187	CP92		D06	
L01-0028.c5557	CP88		A01	
R02-0019.c2924	CP182		B04	
J01-0058.c4960	CP160		D05	
H01-0107.c1389	CP67		A06	
N03-0129.c6173	CP207		A01	
A02-0272.c178	CP58		A01	
K01-0120.c7072	CP186		D01	
T01-0084.c2918	CP314		D03	
C01-0236.c7479	CP214		B02	
A03-0116.c958	CP42		A06	
M04-0132.c5917	CP279		B04	
Q01-0071.c4202	CP193		B01	
A1078.c5408	CP0.8			
O01-0201.c4327	CP264		A01	
K01-0017.c5879	CP66		A04	
A02-0557.c1640	CP219		D06	
T01-0085.c507	CP314		D04	
A1060.c1994	CP0.6			
M03-0173.c3192	CP311		D02	
T01-0044.c1289	CP244		A04	
A02-0260.c4087	CP45		D02	
A03-0330.c6774	CP128		A05	
A02-0941.c213	CP320		B04	
L01-0342.c2660	CP338		A06	
A02-0014.c4705	CP0.2		B05	
G01-0124.c984	CP120		D05	
N02-0002.c3555	CP97		C04	
E02-0225.c5102	CP282		C05	
R01-0001.c7113	CP140		D01	
C01-0057.c1081	CP49		C01	
A02-1021.c7346	CP338		C01	
R02-0193.c7559	CP316		B02	
N03-0050.c3706	CP80		C02	
N02-0219.c622	CP306		C01	
L01-0188.c3430	CP207		C04	
A02-0394.c3311	CP106		A06	
Q01-0301.c3308	CP367		B03	
B01-0114.c1586	CP99		C06	
D01-0248.c344	CP353		C02	
M04-0148.c1097	CP279		D01	
H01-0498.c6374	CP336		B04	
A02-1157.c5597	CP373		D03	
A01-0319.c6568	CP20		A04	
G01-0027.c1751	CP37		C01	
A0240.c6715	CS13			
A04-0056.c2460	CP120		B06	
N02-0140.c2125	CP216		C05	
O01-0219.c2142	CP280		A04	
Q01-0013.c823	CP147		D02	
E02-0112.c62	CP132		A05	
A02-0989.c2590	CP330		B02	
A02-0918.c5159	CP304		C03	
A02-0180.c2959	CP27		D01	
A02-0996.c5717	CP332		D01	
T01-0074.c7116	CP305		B01	
K01-0015.c3067	CP50		C02	
A04-0308.c4167	CP332		D02	
A02-0733.c140	CP270		B01	
G01-0079.c6667	CP57		B01	
A02-0278.c279	CP66		C05	
D01-0177.c6185	CP277		D01	
E01-0242.c4020	CP354		C02	
A02-0616.c1583	CP214		A03	
A02-0136.c7343	CP19		B05	
H01-0389.c6737	CP275		D01	
N03-0165.c3703	CP223		C02	
R01-0106.c3956	CP282		C06	
A02-0432.c2370	CP112		A02	
A01-0278.c2522	CP172		A02	
D01-0206.c5979	CP297		C06	
S01-0013.c3152	CP160		A04	
L01-0202.c1016	CP241		D05	
P01-0052.c6582	CP139		B06	
H01-0052.c2037	CP55		B04	
A03-0249.c3630	CP116		B02	
A02-0025.c7197	CP5		A04	
E02-0008.c311	CP37		B04	
A04-0209.c4301	CP284		C03	
B01-0160.c3805	CP143		A02	
C01-0336.c232	CP326		D05	
A03-0357.c2635	CP156		A01	
L01-0161.c7061	CP177		B01	
A1098.c5636	CP0.9			
J01-0142.c6578	CP251		C02	
E02-0020.c5419	CP51		A03	
B01-0056.c404	CP32		D05	
A01-0114.c335	CP44		B04	
N03-0089.c186	CP151		B05	
K01-0250.c4177	CP369		A02	
C01-0372.c2963	CP363		D02	
A02-0419.c867	CP106		B03	
L01-0072.c1867	CP97		D04	
H01-0157.c651	CP10		A05	
D01-0139.c4273	CP216		A01	
E02-0058.c1511	CP105		C04	
A03-0101.c3612	CP30		C04	
A01-0134.c5163	CP54		A04	
A02-0084.c4699	CP9		A06	
E01-0076.c2545	CP94		C03	
L01-0277.c7679	CP303		B05	
D01-0121.c1508	CP181		D04	
A0238.c2083	CS13			
A03-0308.c7563	CP128		A06	
G01-0207.c5166	CP275		A03	
E02-0154.c5698	CP180		C05	
R01-0215.c5030	CP316		D03	
E02-0248.c6337	CP331		C03	
C01-0174.c2074	CP144		D03	
A02-0109.c1171	CP12		B02	
A03-0325.c72	CP133		B01	
A01-0200.c3034	CP10		C02	
Q01-0089.c890	CP124		B04	
A02-0890.c1013	CP320		A05	
D01-0044.c594	CP135		A03	
N02-0129.c3969	CP189		B03	
M04-0152.c4499	CP312		A01	
B01-0105.c4276	CP109		C02	
O01-0004.c3383	CP113		B02	
