concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CS8		1.0	12/21/20	100		PEG Precipitation		3.4	AT
CP235		1.0	9/14/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP222		1.0	8/26/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.53	AJ
CP218		1.0	8/24/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP32		1.0	11/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP165		1.0	6/10/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP142		1.0	5/13/22	10	Halcyon	Ceres Nanotrap	NT0473	0.475	AJ
CP3		1.0	8/24/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
CP53		1.0	12/22/21	10	Halcyon	Ceres Nanotrap	NT04774	0.475	AJ
CP308		1.0	12/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP170		1.0	6/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP161		1.0	6/3/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP310		1.0	12/28/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CS4		1.0	12/4/20	100		PEG Precipitation		4.8	MS
CP35		1.0	11/12/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	AJ
CP231		1.0	9/7/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP252		1.0	10/4/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP194		1.0	7/22/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP366		1.0	3/16/23	10	Kookaburra	Ceres Nanotrap	NT04465	0.475	AJ
CP168		1.0	6/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP186		1.0	7/13/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP269		1.0	10/26/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP42		1.0	12/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
CP85		1.0	2/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL
CP305		1.0	12/19/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP51		1.0	12/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP254		1.0	10/7/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP73		1.0	2/9/22	10	Kookaburra	Ceres Nanotrap		0.475	AJ
CP353		1.0	3/1/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP139		1.0	5/11/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP192		1.0	7/20/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP276		1.0	11/4/22	10	Halcyon	Ceres Nanotrap	4455	0.475	SB
CP347		1.0	2/22/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP238		1.0	9/16/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP4		1.0	8/25/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
CP106		1.0	3/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP330		1.0	1/30/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP323		1.0	1/18/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP224		1.0	8/31/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP97		1.0	3/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP8		1.0	9/3/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
CP211		1.0	8/15/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL
CS3		1.0	11/19/20	100		PEG Precipitation		4	MS
CP144		1.0	5/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP301		1.0	12/14/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP82		1.0	2/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
