Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
470	not institution specific	wwtp	WWTP	WWTP		HSB	1/1/2022	1/2/2022	1/3/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	28.19	338	309832	155085	36068.2192702	33062392.0500728	16549230.1346715	0.644075344110714	590.399858037014	295.521966690563	1423397.8	3829284.80650387	43246596.0869963	116017455.32032	772.260644410648	2071.74027357714	1440026.3	3883780.1736749	46178322.3846387	114712548.68065	824.612899725691	2048.43836929731	1456654.8	3952628.85884356	49110048.6822811	115400343.548762	876.965155040733	2060.72042051361
1656	not institution specific	wwtp	WWTP	WWTP		HSB	5/25/2022	5/26/2022	5/27/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	NA	1088817	1135127	1111972	NA	NA	NA	NA	NA	NA	735417.6	940068.635248067	23725752.8122249	32872683.3797636	423.674157361159	587.012203210065	719440	931045.877569404	23713959.3522282	34429743.1273893	423.463559861219	614.816841560523	703462.4	925264.716540588	23702165.8922316	36167593.6753624	423.252962361279	645.849887060044
633	not institution specific	wwtp	WWTP	WWTP		HSB	1/23/2022	1/24/2022	1/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.45	816200	1399761	1107980.5	29197208.0169	50072424.7622445	39634816.3895722	521.3787145875	894.150442182937	707.764578385219	976640.6	966594.840364026	46088506.453672	48239179.8955875	823.009043815571	861.41392670692	1117478.7	1089554.15571144	52149570.5295483	53232174.4247238	931.242330884791	950.57454329864	1258316.8	1275942.5192903	58210634.6054246	60974570.0410084	1039.47561795401	1088.83160787515
1231	not institution specific	wwtp	WWTP	WWTP		HSB	4/4/2022	4/5/2022	4/6/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	14.15	64630	88874	76752	3461812.333445	4760407.076011	4111109.704728	61.8180773829464	85.0072692144822	73.4126732987143	138820.6	193304.943295127	4379672.8851652	5899547.85362297	78.20844437795	105.349068814696	158995.2	202943.58104057	5011074.76095648	6162458.39719939	89.4834778742229	110.043899949989	179169.8	213529.049750729	5642476.63674776	6445374.73977297	100.758511370496	115.095977495946
663	not institution specific	wwtp	WWTP	WWTP		HSB	1/29/2022	1/30/2022	1/31/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	8.26	546264	364130	455197	17080302.3000624	11385429.895658	14232866.0978602	305.0053982154	203.31124813675	254.158323176075	883591.2	1070920.5598349	32935593.5567629	47231970.3361065	588.135599227908	843.428041716187	951396.1	1059937.08988896	35347484.4060498	46290988.8442738	631.205078679461	826.624800790603	1019201	1120104.42939642	37759375.2553368	47360888.7682036	674.274558131014	845.730156575064
1514	not institution specific	wwtp	WWTP	WWTP		HSB	5/9/2022	5/10/2022	5/11/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	23.41	34159	51241	42700	3027049.2506479	4540795.4170921	3783922.33387	54.0544509044268	81.0856324480732	67.57004167625	91872	313622.47454742	3458192.3837161	8594166.57598987	61.7534354235018	153.467260285533	100434.8	321705.752347893	4056591.61667158	8867743.17151693	72.4391360119925	158.352556634231	108997.6	330270.245092139	4654990.84962706	9318200.23396058	83.1248366004832	166.396432749296
1144	not institution specific	wwtp	WWTP	WWTP		HSB	3/24/2022	3/25/2022	3/26/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	13.23	66990	28706	47848	3354924.468357	1437624.4482558	2396274.4583064	59.909365506375	25.671865147425	42.7906153269	63575	60865.0238452279	2705031.62179772	971514.529224809	48.3041361035307	17.3484737361573	68944.1	61654.5327037294	2993587.56249763	1293530.63145414	53.4569207588863	23.0987612759668	74313.2	76393.9963180613	3282143.50319754	3001079.00150436	58.6097054142418	53.5906964554351
368	not institution specific	wwtp	WWTP	WWTP		HSB	12/12/2021	12/13/2021	12/14/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	12.1	314983	196848	255915.5	14427311.556163	9016319.690928	11721815.6235455	257.630563502911	161.005708766571	209.318136134741	391881	964463.192174638	13647363.8324829	24524029.9318361	243.702925580052	437.929105925645	344414.3	842043.958011489	11879793.6835228	21083288.7402489	212.13917292005	376.487298933016	296947.6	721133.454588331	10112223.5345626	17720816.9545348	180.575420260047	316.443159902408
1345	not institution specific	wwtp	WWTP	WWTP		HSB	4/18/2022	4/19/2022	4/20/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	11.68	9063	2363	5713	400707.7552944	104476.7103344	252592.2328144	7.15549563025714	1.86565554168571	4.51057558597143	48423.8	104329.256610967	1883129.67670106	2550773.49209694	33.6273156553761	45.5495266445882	61968.8	132404.805130496	2453630.26382768	3572610.58538577	43.81482613978	63.7966175961746	75513.8	161114.401175752	3024130.8509543	4641988.66327504	54.0023366241839	82.89265470134
1627	not institution specific	wwtp	WWTP	WWTP		HSB	5/22/2022	5/23/2022	5/24/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.18	1235349	1139347	1187348	33575851.6490862	30966589.8857986	32271220.7674424	599.568779447968	552.974819389261	576.271799418614	783717	1203619.77936896	22591700.1517093	32748022.2677902	403.423216994809	584.786111924826	778608.6	1266294.00588462	22420231.2766038	34497558.1271717	400.361272796497	616.027823699495	773500.2	1335702.36258466	22248762.4014984	36456566.22716	397.299328598185	651.010111199286
