Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev
A1038	not institution specific	wwtp	StarCityWWTP-01	04/27/2021 12:00 PM	0	4338	8.459	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E01-0081	not institution specific	wwtp	PrincetonWWTP-01	03/14/2022 08:15 AM	102947.598695755	112043.359279632	3.716	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
K01-0036	not institution specific	wwtp	ParkersburgWWTP-01	02/22/2022 06:30 AM	93575.24201	87898.06142	9.179	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A04-0043	not institution specific	wwtp	CheatLakeWWTP-01	03/28/2022 08:00 AM	83022.6400494575	90356.0592234134	0.598	24-hr time-weighted composite	Cheat Lake	26508		-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0037	k12	upstream	NorthES-01	10/01/2021 06:00 AM	14320.20038	12273.95572		8-hr time-weighted composite	North Elementary	26505		-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0372	higher ed dorm	upstream	CollegePark-02	03/19/2022 09:00 AM	0	0		48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0112	higher ed dorm	upstream	HonorsSummit-01 (MUB)	09/15/2021 10:21 AM	126517.1802	41241.37327		48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E01-0061	not institution specific	wwtp	PrincetonWWTP-01	02/09/2022 09:40 AM	398846.122	291090.5671	3.136	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0260	k12	upstream	SuncrestES-01	03/23/2022 06:00 AM	0	0		8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A0101	not institution specific	wwtp	StarCityWWTP-01	11/02/2020 12:00 AM	8517.6	12776.4	7.406	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A01-0043	not institution specific	wwtp	StarCityWWTP-01	09/22/2021 12:00 AM	205894.2926	41066.96263	10.201	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
L01-0008	not institution specific	wwtp	WestUnionWWTP-01	02/01/2022 09:10 AM	2094880.435	2228045.697	0.295	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
B01-0037	not institution specific	wwtp	CharlestonWWTP-01	01/02/2022 07:00 AM	3188.782646	0	21.187	24-hr flow-weighted composite	Charleston	25312		-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
G01-0150	not institution specific	wwtp	KeyserWWTP-01	03/01/2022 09:00 AM	22852.65382	14281.44693	1.12	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
L01-0093	not institution specific	wwtp	WestUnionWWTP-01	04/04/2022 09:00 AM	14389.4820660353	19187.0738938451		24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0132	k12	upstream	MorgantownHS-01	01/05/2022 06:00 AM	5759.879658	20163.04448		8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A0247	not institution specific	wwtp	StarCityWWTP-01	11/09/2020 12:00 AM	1542888	961152	6.909	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
M03-0001	not institution specific	wwtp	ManningtonWWTP-01	03/07/2022 11:00 AM	19621.61176	13080.05456	0.429	24-hr time-weighted composite	Mannington	26582		-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0093	k12	upstream	NorthES-01	11/12/2021 06:00 AM	142323.4592	127577.9101		8-hr time-weighted composite	North Elementary	26505		-79.95674	39.66064	688	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
L01-0031	not institution specific	wwtp	WestUnionWWTP-01	02/11/2022 09:00 AM	233281.5832	220638.5127	0.333	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0028	higher ed dorm	upstream	HonorsSummit-01 (MUB)	08/21/2021 09:00 AM	14006.2701	14006.2701		48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
J01-0002	not institution specific	wwtp	AlpineLakeWWTP-01	12/21/2021 12:00 PM	10434.89786	3478.010413	0.149	24-hr time-weighted composite	Alpine Lake	26764		-79.50179	39.45709	1500	Preston	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0126	not institution specific	wwtp	MoundsvilleWWTP-01	02/11/2022 08:00 AM	28511.40529	19955.94777	1.7	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
G01-0042	not institution specific	wwtp	KeyserWWTP-01	01/17/2022 09:00 AM	823490.7568	283350.0212	0.966	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0141	not institution specific	wwtp	MoundsvilleWWTP-01	02/26/2022 08:00 AM	11995.35342	8996.193632	4.4	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A1014	not institution specific	wwtp	StarCityWWTP-01	03/24/2021 12:00 PM	0	19530	8.188	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
O01-0033	not institution specific	wwtp	GraftonWWTP-01	03/09/2022 06:15 AM	7340.06387181579	14681.4134716988	2.1	24-hr flow-weighted composite	Grafton	26354		-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E01-0018	not institution specific	wwtp	PrincetonWWTP-01	12/08/2021 09:30 AM	149371.5084	94277.93965	1.653	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A03-0007	k12	upstream	UniversityHS-01	09/15/2021 06:00 AM	5673.436932	17024.17456		8-hr time-weighted composite	University High	26508		-79.92615	39.68782	1310	Monongalia	-1	Complete	inactive	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
P01-0001	not institution specific	wwtp	StMarysWWTP-01	02/25/2022 09:43 AM	26532.96389	35381.01956	0.479	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E01-0077	not institution specific	wwtp	PrincetonWWTP-01	03/09/2022 08:35 AM	9391.29011705517	9391.29011705517	6.695	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0309	higher ed dorm	upstream	OaklandE-02	01/24/2022 09:00 AM	2255555.105	459842.6414		48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
O01-0011	not institution specific	wwtp	GraftonWWTP-01	03/30/2022 06:10 AM	22604.6070456505	8475.29858350754	1.75	24-hr flow-weighted composite	Grafton	26354		-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0114	not institution specific	wwtp	MoundsvilleWWTP-01	01/31/2022 08:00 AM	257535.1667	296694.0397	1.7	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
H01-0062	not institution specific	wwtp	MoundsvilleWWTP-01	01/03/2022 08:00 AM	0	3820.754089	2.4	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
D01-0003	not institution specific	wwtp	CharlesTownWWTP-01	02/20/2022 07:30 AM	164038.4316	155388.8091		24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
A02-0166	higher ed dorm	upstream	OaklandE-02	10/11/2021 09:44 AM	85592.75806	121605.6854		48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
E02-0020	not institution specific	wwtp	AthensWWTP-01	12/13/2021 08:00 AM	44380.08405	41768.19384	0.092	24-hr time-weighted composite	Athens	24740		-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM
