Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
1490	not institution specific	wwtp	WWTP	WWTP		HSB	5/4/2022	5/5/2022	7.62	5/6/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	395232	425677	410454.5	11400397.5582144	12278578.2309834	11839487.8945989	203.578527825257	219.260325553275	211.419426689266	154316.8	318854.188242829	4673623.27359594	8671809.61333285	83.4575584570703	154.853743095229	162916.9	323650.563843489	4986308.61382541	8745447.07264848	89.0412252468823	156.168697725866	171517	328793.607931936	5298993.95405488	8836881.30663333	94.6248920366943	157.801451904167
1403	not institution specific	wwtp	WWTP	WWTP		HSB	4/24/2022	4/25/2022	7.12	4/26/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	458691	558955	508823	12362694.5079672	15065021.787436	13713858.1477016	220.762401927986	269.018246204214	244.8903240661	115239.8	359434.694982276	3169969.80514784	9606296.45075497	56.6066036633543	171.541008049196	124949.4	399280.095289184	3450552.23771736	10661999.8315714	61.6170042449529	190.392854135204	134659	439725.001401562	3731134.67028688	11739745.2734034	66.6274048265514	209.638308453632
1347	not institution specific	wwtp	WWTP	WWTP		HSB	4/19/2022	4/20/2022	9.88	4/21/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	19347	29022	24184.5	723574.9134276	1085418.4699176	904496.6916726	12.9209805969214	19.3824726771	16.1517266370107	50538	101240.680653585	1906788.21665154	2501920.87061627	34.0497895830632	44.677158403862	64876.8	128023.855471754	2505793.2590526	3469100.31104917	44.7463081973679	61.9482198401637	79215.6	155480.155668438	3104798.30145366	4486843.59485643	55.4428268116725	80.1222070510077
709	not institution specific	wwtp	WWTP	WWTP		HSB	2/2/2022	2/3/2022	NA	2/4/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	846648	931367	889007.5	NA	NA	NA	NA	NA	NA	1182984	1433106.75740439	46515039.7901504	52203696.3113155	830.6257105384	932.208862702062	1204997.1	1442738.72687444	46794050.1760156	51818264.4090667	835.608038857421	925.326150161906	1227010.2	1469342.91024182	47073060.5618808	51953045.4933323	840.590367176443	927.732955238077
633	not institution specific	wwtp	WWTP	WWTP		HSB	1/23/2022	1/24/2022	9.45	1/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	816200	1399761	1107980.5	29197208.0169	50072424.7622445	39634816.3895722	521.3787145875	894.150442182937	707.764578385219	976640.6	966594.840364026	46088506.453672	48239179.8955875	823.009043815571	861.41392670692	1117478.7	1089554.15571144	52149570.5295483	53232174.4247238	931.242330884791	950.57454329864	1258316.8	1275942.5192903	58210634.6054246	60974570.0410084	1039.47561795401	1088.83160787515
1289	not institution specific	wwtp	WWTP	WWTP		HSB	4/12/2022	4/13/2022	15.85	4/14/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	36695	64223	50459	2201654.0762075	3853299.6249155	3027476.8505615	39.3152513608482	68.8089218734911	54.0620866171696	51163.8	98197.2831515279	2124446.9295557	2767450.82608898	37.9365523134946	49.4187647515889	62341.4	120294.173390373	2583465.85214718	3479460.46843144	46.1333187883425	62.1332226505615	73519	142604.892845056	3042484.77473866	4216583.29517436	54.3300852631904	75.2961302709707
1656	not institution specific	wwtp	WWTP	WWTP		HSB	5/25/2022	5/26/2022	NA	5/27/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1088817	1135127	1111972	NA	NA	NA	NA	NA	NA	735417.6	940068.635248067	23725752.8122249	32872683.3797636	423.674157361159	587.012203210065	719440	931045.877569404	23713959.3522282	34429743.1273893	423.463559861219	614.816841560523	703462.4	925264.716540588	23702165.8922316	36167593.6753624	423.252962361279	645.849887060044
1170	not institution specific	wwtp	WWTP	WWTP		HSB	3/27/2022	3/28/2022	7.8	3/29/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	149459	83014	116236.5	4412956.026882	2451087.800772	3432021.913827	78.8027861943214	43.7694250137857	61.2861056040536	81805.4	97724.2890880109	2659735.55715412	2880399.41029111	47.4952778063236	51.4357037551984	76535.7	83270.1806560882	2427319.13188839	2220133.20285024	43.344984498007	39.6452357651829	71266	84565.1431802971	2194902.70662266	2195462.6231159	39.1946911896904	39.2046896984981
1463	not institution specific	wwtp	WWTP	WWTP		HSB	5/2/2022	5/3/2022	9.91	5/4/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	473	2762	1617.5	17743.8443963	103612.0469822	60677.94568925	0.316854364219643	1.85021512468214	1.08353474445089	129009.8	246647.217752451	3949750.07743116	6542180.67866042	70.5312513826993	116.824654976079	130491.1	233503.574502115	4056632.19626678	6092548.51803411	72.4398606476211	108.795509250609	131972.4	222274.887330964	4163514.3151024	5723508.98744296	74.3484699125429	102.20551763291
898	not institution specific	wwtp	WWTP	WWTP		HSB	2/26/2022	2/27/2022	27.55	2/28/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1084	72917	37000.5	113048.241322	7604371.4137235	3858709.82752275	2.01871859503571	135.792346673634	68.9055326343348	76537.4	190862.773835375	7111252.51093296	17677664.2033667	126.986651980946	315.67257506012	76842	87878.0509289009	7310379.90059852	7944862.72453592	130.542498224974	141.872548652427	77146.6	71823.9771194802	7509507.29026408	7110911.11507668	134.098344469001	126.980555626369
847	not institution specific	wwtp	WWTP	WWTP		HSB	2/20/2022	2/21/2022	25.5	2/22/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1781	47609	24695	171916.287855	4595599.409595	2383757.848725	3.06993371169643	82.0642751713393	42.5671044415179	316425.2	820408.245934656	15794737.2945449	48910985.3811065	282.048880259731	873.410453234046	348816.3	748584.291605002	17780583.3675097	43928933.2148231	317.51041727696	784.445235978985	381207.4	689070.569455203	19766429.4404745	39431999.0075082	352.971954294188	704.14283941979
1629	not institution specific	wwtp	WWTP	WWTP		HSB	5/23/2022	5/24/2022	7.24	5/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	979503	908765	944134	26844620.0669052	24905948.379026	25875284.2229656	479.36821548045	444.749078196893	462.058646838671	849683.2	1203128.82781986	23725752.8122249	32872683.3797636	423.674157361159	587.012203210065	848348.4	1256050.97129983	23713959.3522282	34429743.1273893	423.463559861219	614.816841560523	847013.6	1315655.2147654	23702165.8922316	36167593.6753624	423.252962361279	645.849887060044
1345	not institution specific	wwtp	WWTP	WWTP		HSB	4/18/2022	4/19/2022	11.68	4/20/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	9063	626	4844.5	400707.7552944	27677.7065888	214192.7309416	7.15549563025714	0.494244760514286	3.82487019538571	48423.8	104329.256610967	1883129.67670106	2550773.49209694	33.6273156553761	45.5495266445882	61795.1	132719.233929236	2445950.36345312	3592752.26744621	43.6776850616629	64.1562904901108	75166.4	161788.019291748	3008771.05020518	4683192.33962412	53.7280544679496	83.628434636145
736	not institution specific	wwtp	WWTP	WWTP		HSB	2/6/2022	2/7/2022	25.73	2/8/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	247425	123702	185563.5	24098848.4318025	12048401.5306086	18073624.9812056	430.33657913933	215.150027332296	322.743303235813	1050947.6	1686790.49702032	36973483.499175	40858678.5150242	660.240776770983	729.61925919686	1062725.6	1706585.15640488	36618266.1968985	43728931.820802	653.897610658903	780.873782514321	1074503.6	1731301.94678232	36263048.8946221	48007315.7126673	647.554444546822	857.27349486906
470	not institution specific	wwtp	WWTP	WWTP		HSB	1/1/2022	1/2/2022	28.19	1/3/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1761	309832	155796.5	187917.5566119	33062392.0500728	16625154.8033423	3.35567065378393	590.399858037014	296.877764345399	1423682.4	3828836.58501283	43276965.9544646	115969560.504532	772.802963472583	2070.8850090095	1440168.6	3883580.62487111	46193507.3183728	114695937.251088	824.884059256658	2048.14173662658	1456654.8	3952628.85884356	49110048.6822811	115400343.548762	876.965155040733	2060.72042051361
1500	not institution specific	wwtp	WWTP	WWTP		HSB	5/8/2022	5/9/2022	25.51	5/10/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	28869	64963	46916	2787758.3429079	6273204.6565633	4530481.4997356	49.7813989804982	112.021511724345	80.9014553524214	97225.2	310073.050205919	3300519.81389664	8635829.7720525	58.9378538195829	154.211245929509	107055.2	317674.504333433	3847722.15261117	8926566.80142292	68.7093241537709	159.402978596838	116885.2	325884.39244481	4394924.4913257	9392936.90320417	78.4807944879589	167.731016128646
1627	not institution specific	wwtp	WWTP	WWTP		HSB	5/22/2022	5/23/2022	7.18	5/24/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	NA	active	Laboratory at Marshall University	MU	1235349	1139347	1187348	33575851.6490862	30966589.8857986	32271220.7674424	599.568779447968	552.974819389261	576.271799418614	783717	1203619.77936896	22591700.1517093	32748022.2677902	403.423216994809	584.786111924826	778608.6	1266294.00588462	22420231.2766038	34497558.1271717	400.361272796497	616.027823699495	773500.2	1335702.36258466	22248762.4014984	36456566.22716	397.299328598185	651.010111199286
