Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
559	not institution specific	wwtp	WWTP	WWTP		HSB	active	1/12/2022	1/13/2022	1/14/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	19.07	1419827	1462896	1441361.5	102494143.070015	105603198.080155	104048670.575085	1830.25255482169	1885.77139428849	1858.01197455509	957470.8	955021.232135824	73764449.8212065	78840403.1312382	1317.22231823583	1407.86434162925	1012781.5	1027030.05043666	75221228.5765516	90723380.5645953	1343.23622458128	1620.06036722492	1068092.2	1136950.77911856	76678007.3318967	103995846.191078	1369.25013092673	1857.06868198353
1087	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/17/2022	3/18/2022	3/19/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	19.52	34726	34726	34726	2565945.9223232	2565945.9223232	2565945.9223232	45.8204628986286	45.8204628986286	45.8204628986286	40494	48803.3472160303	3332482.29420182	4632562.59142086	59.5086123964611	82.7243319896582	39328.8	50811.7026505288	3233015.94875801	4776471.43335483	57.732427656393	85.2941327384791	38163.6	57963.9954761482	3133549.6033142	5245876.83044344	55.956242916325	93.6763719722044
820	not institution specific	wwtp	WWTP	WWTP		HSB	active	2/16/2022	2/17/2022	2/18/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	15.33	1082248	988076	1035162	62803214.3177544	57338381.5818828	60070797.9498186	1121.4859699599	1023.89967110505	1072.69282053248	642415.8	946285.833350974	27472930.0652334	48702118.4383564	490.588036879168	869.680686399222	665529.5	918497.194738123	28011587.2610534	46507171.5677751	500.206915375954	830.485206567412	688643.2	904369.759401608	28550244.4568735	44638783.7056389	509.825793872741	797.121137600695
412	not institution specific	wwtp	WWTP	WWTP		HSB	active	12/15/2021	12/16/2021	12/17/2021	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	9.27	214909	343885	279397	7541318.1421863	12067182.8044695	9804250.4733279	134.666395396184	215.48540722267	175.075901309427	1767721	5649319.08083845	59315917.4155707	187625864.720465	1059.21281099233	3350.4618700083	1826701.1	5640555.20962001	61156013.5520435	187419912.427938	1092.07167057221	3346.7841504989	1885681.2	5639342.66740918	62996109.6885163	187494863.915869	1124.93053015208	3348.12256992623
1172	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/28/2022	3/29/2022	3/30/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.46	105911	123570	114740.5	2990837.5264846	3489512.828202	3240175.1773433	53.4078129729393	62.3127290750357	57.8602710239875	80199.6	95688.2752311292	2629053.64319784	2861227.29146161	46.9473864856757	51.0933444903858	75881.6	81921.6629667623	2424036.37891147	2214970.12287238	43.2863639091334	39.5530379084354	71563.6	85328.7040046664	2219019.1146251	2251661.53506703	39.6253413325911	40.2082416976256
1434	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/27/2022	4/28/2022	4/29/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.26	278922	287382	283152	7665355.7694252	7897854.1374612	7781604.9534432	136.88135302545	141.033109597521	138.957231311486	219063.6	329910.359765241	6033560.14610438	9006934.30233293	107.74214546615	160.83811254166	225430.1	360442.06022468	6220941.20791321	9723312.87209481	111.088235855593	173.630587001693	231796.6	394739.275800023	6408322.26972204	10563006.6341233	114.434326245036	188.625118466487
1211	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/2/2022	4/3/2022	4/4/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	6.85	67640	112750	90195	1753909.15694	2923614.095875	2338761.6264075	31.3198063739286	52.2073945691964	41.7636004715625	130197.6	216198.005502667	3875374.97770004	6853418.80550912	69.2031246017864	122.382478669806	136214.8	229457.676998854	4044074.83296132	7295205.41348609	72.2156220171664	130.271525240823	142232	249849.288254741	4212774.6882226	7925506.93049344	75.2281194325464	141.526909473097
1629	not institution specific	wwtp	WWTP	WWTP		HSB	active	5/23/2022	5/24/2022	5/25/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.24	979503	908765	944134	26844620.0669052	24905948.379026	25875284.2229656	479.36821548045	444.749078196893	462.058646838671	849683.2	1203128.82781986	23725752.8122249	32872683.3797636	423.674157361159	587.012203210065	848348.4	1256050.97129983	23713959.3522282	34429743.1273893	423.463559861219	614.816841560523	847013.6	1315655.2147654	23702165.8922316	36167593.6753624	423.252962361279	645.849887060044
1444	not institution specific	wwtp	WWTP	WWTP		HSB	active	4/30/2022	5/1/2022	5/2/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	15.24	36827	51560	44193.5	2124536.6816268	2974478.271504	2549507.4765654	37.93815502905	53.1156834197143	45.5269192243821	226427	309974.616394931	6458375.19413394	7902820.94334301	115.328128466678	141.121802559697	233079.8	341577.301365972	6675977.31137319	8666671.5795504	119.213880560236	154.761992491971	239732.6	376947.624502797	6893579.42861244	9563443.82030658	123.099632653794	170.775782505475
1152	not institution specific	wwtp	WWTP	WWTP		HSB	active	3/26/2022	3/27/2022	3/28/2022	24-hr time-weighted composite	Huntington	25704	NA	-82.5288640349052	38.4007449310171	56000	Wayne, Cabell	17	Marshall University Infectious Disease Surveillance Lab	MUIDSL	7.92	9118	18237	13677.5	273361.7175696	546753.4155864	410057.566578	4.88145924231429	9.76345384975714	7.32245654603572	58453.4	73499.0887021093	2246514.780847	2247142.89969703	40.1163353722679	40.1275517803041	64734.4	72959.8327387815	2562409.89134859	2527694.7684374	45.7573194883677	45.1374065792393	71015.4	84423.7323917938	2878305.00185018	3771508.56486446	51.3983036044675	67.3483672297225
