Sample ID	type	category	Location	Sample Composite Start	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	latlong	population_served	counties_served	capacity_mgd	Status: WaTCH	status
A02-0094	not institution specific	upstream	NorthHighSt-02 (MUB)	9/8/21 9:40	167303.0466	165624.4487		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
A0231	not institution specific	wwtp	StarCityWWTP-01	1/31/21 0:00	122496	127578	9.189	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0320	not institution specific	upstream	Evansdale-01	1/29/22 9:00	40534.93112	27018.933		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A03-0139	k12	upstream	SuncrestES-01	12/10/21 6:00	2358.104107	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
A03-0089	k12	upstream	SuncrestES-01	11/10/21 6:00	2802.244322	2802.244322		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
H01-0079	not institution specific	wwtp	MoundsvilleWWTP-01	12/1/21 8:00	169163.4902	515882.3276		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A0237	not institution specific	wwtp	StarCityWWTP-01	2/8/21 12:00	497808	390048	9.712	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A01-0179	not institution specific	wwtp	StarCityWWTP-01	2/15/22 0:00	128744.4551	87612.81878	8.6	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1035	not institution specific	wwtp	StarCityWWTP-01	4/22/21 12:00	10878	10878	8.62	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
H01-0075	not institution specific	wwtp	MoundsvilleWWTP-01	1/15/22 8:00	1472859.135	1038868.55		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
E01-0018	not institution specific	wwtp	PrincetonWWTP-01	12/8/21 9:30	149371.5084	94277.93965	1.653	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
H01-0096	not institution specific	wwtp	MoundsvilleWWTP-01	12/18/21 8:00	5540.21976	11081.17316		24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
G01-0006	not institution specific	wwtp	KeyserWWTP-01	12/13/21 9:00	109123.1789	72717.20365	0.673	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
E01-0023	not institution specific	wwtp	PrincetonWWTP-01	1/3/22 8:00	152060.9924	13554.46698	7.746	24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
B01-0099	not institution specific	wwtp	CharlestonWWTP-01	2/16/22 7:00	260701.3321	282963.7465	7.932	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
A02-0072	higher ed dorm	upstream	CollegePark-02	8/30/21 10:58	26576.48578	11808.64915		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A02-0134	not institution specific	upstream	Evansdale-01	9/29/21 9:43	0	0		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
K01-0022	not institution specific	wwtp	ParkersburgWWTP-01	12/14/21 6:20	68764.18971	104464.1675	4.913	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
O01-0041	not institution specific	wwtp	GraftonWWTP-01	2/15/22 7:50	0	0	1.42	24-hr flow-weighted composite	Grafton	26354	-80.01837,39.33877	6071	Taylor	2.3	Complete	active
A02-0026	not institution specific	upstream	Evansdale-01	8/23/21 9:13	8700.138554	8700.138554		48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
C01-0030	not institution specific	wwtp	WheelingWWTP-01	10/31/21 7:00	10012.01436	11681.07353		24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A01-0161	not institution specific	wwtp	StarCityWWTP-01	1/25/22 0:00	2884158.926	2841433.768	9	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
G01-0027	not institution specific	wwtp	KeyserWWTP-01	11/14/21 9:00	30441.40533	31964.44973		24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
K01-0031	not institution specific	wwtp	ParkersburgWWTP-01	2/14/22 6:21	226620.3949	45798.95452	5.97	24-hr flow-weighted composite	Parkersburg	26101	-81.55739,39.28171	48050	Wood	15.5	Complete	active
A0233	not institution specific	wwtp	StarCityWWTP-01	2/2/21 0:00	37704	34560	11.234	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A1060	not institution specific	wwtp	StarCityWWTP-01	5/31/21 0:00	8550	4275	7.296	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A03-0056	k12	upstream	NorthES-01	10/27/21 6:00	271053.0543	263975.4224		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
J01-0007	not institution specific	wwtp	AlpineLakeWWTP-01	12/28/21 9:00	6182.587976	3091.179854	0.259	24-hr time-weighted composite	Alpine Lake	26764	-79.50179,39.45709	1500	Preston	-1	Complete	paused
A02-0218	higher ed dorm	upstream	CollegePark-02	11/10/21 10:25	20996.05329	37805.6027		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A02-0034	higher ed dorm	upstream	CollegePark-02	8/21/21 9:00	19628.71313	19628.71313		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A1033	not institution specific	wwtp	StarCityWWTP-01	4/20/21 12:00	5112	5112	8.676	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A03-0163	k12	upstream	SuncrestES-01	1/10/22 6:00	0	0		8-hr time-weighted composite	Suncrest Elementary	26505	-79.97825,39.67137	515	Monongalia	-1	Complete	active
C01-0118	not institution specific	wwtp	WheelingWWTP-01	1/31/22 7:00	247219.6823	228150.9188	6.399	24-hr flow-weighted composite	Wheeling	26003	-80.72757,40.05588	50000	Ohio	10	Complete	active
A03-0141	k12	upstream	NorthES-01	12/15/21 6:00	0	6974.251941		8-hr time-weighted composite	North Elementary	26505	-79.95674,39.66064	688	Monongalia	-1	Complete	active
E02-0010	not institution specific	wwtp	AthensWWTP-01	11/16/21 8:00	63350.70759	58067.82402	0.117	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
A04-0013	not institution specific	wwtp	CheatLakeWWTP-01	2/10/22 9:00	340242.539	110929.5344	0.74	24-hr time-weighted composite	Cheat Lake	26508	-79.857,39.67712	2000	Monongalia	0.75	Complete	active
A0219	not institution specific	wwtp	StarCityWWTP-01	1/13/21 0:00	82332	110664	7.175	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A0247	not institution specific	wwtp	StarCityWWTP-01	11/9/20 0:00	1542888	961152	6.909	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0104	higher ed dorm	upstream	CollegePark-02	9/13/21 10:14	8454.800919	27065.43341		48-hr time-weighted composite	College Park (WVU Morgantown)	26505	-79.9458019,39.6362083	567	Monongalia	-1	Complete	active
A02-0179	not institution specific	upstream	NorthHighSt-02 (MUB)	10/18/21 9:49	0	0		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
H01-0136	not institution specific	wwtp	MoundsvilleWWTP-01	2/21/22 8:00	8804.683853	5869.584326	2	24-hr flow-weighted composite	Moundsville	26041	-80.75493,39.92986	12000	Marshall	2.34	Complete	active
A02-0227	higher ed dorm	upstream	OaklandE-02	11/17/21 9:10	274961.0013	294670.2719		48-hr time-weighted composite	Oakland Hall (WVU Morgantown)	26505	-79.9622118,39.6511596	862	Monongalia	-1	Complete	active
B01-0096	not institution specific	wwtp	CharlestonWWTP-01	1/20/22 7:00	228610.1881	164004.0493	20.941	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
G01-0046	not institution specific	wwtp	KeyserWWTP-01	1/23/22 9:00	576047.5552	589383.5557	0.983	24-hr time-weighted composite	Keyser	26726	-78.97508,39.44123	8168	Mineral	2.4	Complete	active
B01-0100	not institution specific	wwtp	CharlestonWWTP-01	2/13/22 7:00	247544.0723	207302.3424	8.4	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
E01-0002	not institution specific	wwtp	PrincetonWWTP-01	10/27/21 8:00	44152.90624	6302.785762		24-hr time-weighted composite	Princeton	24740	-81.07993,37.38036	36000	Mercer	4.9	Complete	active
B01-0093	not institution specific	wwtp	CharlestonWWTP-01	2/22/22 7:00	91200.04043	101942.5097	6.57	24-hr flow-weighted composite	Charleston	25312	-81.67768,38.37287	50000	Kanawha	14	Complete	active
E02-0080	not institution specific	wwtp	AthensWWTP-01	2/10/22 8:00	54731.77694	54731.77694	0.177	24-hr time-weighted composite	Athens	24740	-81.01598,37.42163	2391	Mercer	0.5	Complete	active
A02-0153 b	not institution specific	upstream	Evansdale-01	8/9/21 9:00	14040	9360	13.937	48-hr time-weighted composite	Evansdale campus (WVU Morgantown)	26505	-79.9721575,39.6500969	-1	Monongalia	-1	Complete	active
A01-0084	not institution specific	wwtp	StarCityWWTP-01	11/8/21 0:00	86062.5	77562.5	6.987	24-hr flow-weighted composite	Star City (Morgantown)	26505	-79.9920554,39.6551745	48328	Monongalia	20.8	Complete	active
A02-0206	not institution specific	upstream	NorthHighSt-02 (MUB)	11/1/21 11:11	8359.107487	6269.068271		48-hr time-weighted composite	North High Street (WVU Morgantown)	26505	-79.9532029,39.6331164	-1	Monongalia	-1	Complete	active
