assay_batch_id	assay_date	assay_reaction_ul	assay_machine	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_quantification_type	assay_batch_record_version	assay_method	assay_method_lot_id	assay_qx_manager_version	assay_run_by	assay_batch_comment
AB30	04/15/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB31	04/15/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	618984633,632170952		JL	None
AB3102025	03/10/2025	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64615061	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21779		HP	None
AB3122025a	04/17/2025	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64615061	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21779		HP	None
AB3122025b	04/18/2025	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64615061	ddPCR	Direct Quantification	2.0.2	dPCR Norovirus GI;GII Assay Kit for the Bio-Rad QX200 (GT Molecular 100468)	21779		HP	None
AB33	04/19/2024	20	Zoo QX200	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design			JL	None
AB35	05/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	SARS-CoV-2 (N1, N2), Human (RNAse P) Triplex (dEXD28563542)	63101839		JL	None
AB36	05/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Influenza A (M), B (NEP/NS1), Human (RNAse P) Triplex (dEXD84844642)	638745082		JL	None
AB37	05/24/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,638745087,638745081,638745066		JL	NO POSITIVE CONTROL
AB38	05/31/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,638745087,638745081,638745066		JL	NO PC -- WILL ADD NEXT RUN
AB39	06/17/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	638745080,63845087,638745081,638745066		JL	None
AB40	06/24/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.1	Custom Design	64580484		JL	638745080,638745087,638745081,638745066
AB41	06/28/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	GT Mol. PC
AB42	07/05/2024	20	Zoo QX600	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	64580484	ddPCR	Direct Quantification	2.0.2	GT-Digital Flu;SC2;RSV Wastewater Surveillance Panel v1.0 for the Bio-Rad QX600 (GT Molecular 100735)	21303		JL	E04 TO H04 WERE LAKYN'S SAMPLES, NOT INVLUDED ON AB SHEETS
