sample_id	sbatch_id	variant	proportion	aliases
A02-1342	SARS_20240909	KP.5	0.11778773	KP.5
A02-1342	SARS_20240909	MC.2	0.00482341	MC.2
A02-1342	SARS_20240909	KP.3.3	0.09541358	KP.3.3,XEC
A02-1342	SARS_20240909	LB.1.3.1	0.00562061	LB.1.3.1
A01-0983	SARS_20240909	LB.1.4	0.06583741	LB.1.4
A01-0983	SARS_20240909	LB.1.1	0.03448953	LB.1.1
A01-0983	SARS_20240909	KP.3.1.1	0.30036355	KP.3.1.1
A01-0983	SARS_20240909	KP.3.3.4	0.00653303	KP.3.3.4
A01-0983	SARS_20240909	KP.2.15	0.04316443	KP.2.15
A01-0983	SARS_20240909	KP.3.2	0.00215454	KP.3.2,XDY
A01-0983	SARS_20240909	MC.13	0.05355078	MC.13
A01-0983	SARS_20240909	MC.6	0.02210370	MC.6
A01-0983	SARS_20240909	MC.10	0.00136141	MC.10
A01-0983	SARS_20240909	XDV.1	0.05829411	XDV.1
A01-0983	SARS_20240909	JN.1.53	0.00230618	JN.1.53
A01-0983	SARS_20240909	KP.2.3.6	0.09133685	KP.2.3.6
A01-0983	SARS_20240909	LB.1.3	0.01020816	LB.1.3
A01-0983	SARS_20240909	KP.2.3.2	0.00174825	KP.2.3.2
A01-0983	SARS_20240909	MC.11.1	0.01159393	MC.11.1
A01-0983	SARS_20240909	KP.6	0.00194175	KP.6
A01-0983	SARS_20240909	JN.1.11	0.05671944	JN.1.11
A01-0983	SARS_20240909	LW.1	0.01773896	LW.1
A01-0983	SARS_20240909	JN.1.13	0.00464433	JN.1.13
A01-0983	SARS_20240909	KP.3.3	0.01172150	KP.3.3,XEC
A01-0983	SARS_20240909	XDK.4	0.00130761	XDK.4
A01-0983	SARS_20240909	MC.13.1	0.00349262	MC.13.1
A01-0983	SARS_20240909	ML.1	0.00248088	ML.1
A01-0983	SARS_20240909	KP.3.3.3	0.01383342	KP.3.3.3
A01-0983	SARS_20240909	XDV.1.3	0.01285445	XDV.1.3
A01-0983	SARS_20240909	KS.1	0.02363815	KS.1
A01-0983	SARS_20240909	MC.1	0.01563259	MC.1
A01-0983	SARS_20240909	KP.2.3	0.04285660	KP.2.3
A01-0983	SARS_20240909	MC.11	0.02140267	MC.11
A01-0983	SARS_20240909	MC.8.1	0.00148191	MC.8.1
A01-0983	SARS_20240909	ML.2	0.03419349	ML.2
C01-0724	SARS_20240909	KP.3.5	0.00175183	KP.3.5
C01-0724	SARS_20240909	KP.3.2	0.00109635	KP.3.2,XDY
C01-0724	SARS_20240909	MC.13	0.00669064	MC.13
C01-0724	SARS_20240909	KP.3.3.4	0.00332444	KP.3.3.4
C01-0724	SARS_20240909	KP.3.2.2	0.00296736	KP.3.2.2
C01-0724	SARS_20240909	KP.3.3	0.00190225	KP.3.3,XEC
C01-0724	SARS_20240909	LB.1.1	0.03822880	LB.1.1
C01-0724	SARS_20240909	KP.3.1.1	0.71486980	KP.3.1.1
C01-0724	SARS_20240909	MC.11	0.00867679	MC.11
C01-0724	SARS_20240909	LB.1.3.2	0.00129921	LB.1.3.2
C01-0724	SARS_20240909	JN.1.11.1	0.18971617	JN.1.11.1
C01-0724	SARS_20240909	KP.2.3.6	0.00218348	KP.2.3.6
C01-0724	SARS_20240909	KP.2.3	0.00356141	KP.2.3
C01-0724	SARS_20240909	KP.3.2.3	0.00116022	KP.3.2.3
C01-0724	SARS_20240909	MC.10	0.00144764	MC.10
C01-0724	SARS_20240909	MC.6	0.00822562	MC.6
C01-0722	SARS_20240909	MC.11.1	0.03945155	MC.11.1
C01-0722	SARS_20240909	KP.2.3.6	0.00730792	KP.2.3.6
C01-0722	SARS_20240909	XEE	0.19339286	XEE
C01-0722	SARS_20240909	KP.1.1.2	0.00118544	KP.1.1.2
C01-0722	SARS_20240909	KP.3.2.3	0.00956600	KP.3.2.3
C01-0722	SARS_20240909	MC.10	0.00196240	MC.10
C01-0722	SARS_20240909	KP.3.3.2	0.00133511	KP.3.3.2
C01-0722	SARS_20240909	MC.13	0.00274743	MC.13
C01-0722	SARS_20240909	KP.3.5	0.49768940	KP.3.5
C01-0722	SARS_20240909	MD.1.1	0.00387597	MD.1.1
C01-0722	SARS_20240909	KP.3.3.4	0.00394806	KP.3.3.4
C01-0722	SARS_20240909	XDY	0.04299405	XDY,KP.3.2,LB.1.2.1
C01-0722	SARS_20240909	LB.1.1	0.06583283	LB.1.1
C01-0722	SARS_20240909	JN.1.42.2	0.00186123	JN.1.42.2
C01-0722	SARS_20240909	KP.2.3	0.02955848	KP.2.3
C01-0722	SARS_20240909	KP.2.15.1	0.00100849	KP.2.15.1
C01-0722	SARS_20240909	XDV.1.3	0.00416161	XDV.1.3
C01-0722	SARS_20240909	MC.13.1	0.00625000	MC.13.1
C01-0722	SARS_20240909	JN.1.18.5	0.00225128	JN.1.18.5
C01-0722	SARS_20240909	KP.5	0.04625924	KP.5
C01-0722	SARS_20240909	MC.2	0.00162642	MC.2
C01-0722	SARS_20240909	LF.3.1.1	0.00102477	LF.3.1.1
C01-0722	SARS_20240909	KP.3.3	0.00611109	KP.3.3,XEC
C01-0722	SARS_20240909	JN.1.13	0.00199927	JN.1.13
C01-0722	SARS_20240909	LW.1	0.00527471	LW.1
C01-0722	SARS_20240909	LW.1.2	0.00571429	LW.1.2
C01-0717	SARS_20240909	JN.1.16.3	0.00308265	JN.1.16.3
C01-0717	SARS_20240909	LF.3.1	0.00577012	LF.3.1
C01-0717	SARS_20240909	JN.1.53	0.00146100	JN.1.53
C01-0717	SARS_20240909	MC.11.1	0.00400000	MC.11.1
C01-0717	SARS_20240909	JN.1.54.1	0.00156863	JN.1.54.1
C01-0717	SARS_20240909	MC.6	0.00757576	MC.6
C01-0717	SARS_20240909	MC.10	0.00109340	MC.10
C01-0717	SARS_20240909	JN.1.50	0.01371950	JN.1.50
C01-0717	SARS_20240909	XDV.1	0.00140207	XDV.1
C01-0717	SARS_20240909	KP.3.2.3	0.00539084	KP.3.2.3
C01-0717	SARS_20240909	JN.11	0.00226674	JN.11
C01-0717	SARS_20240909	KP.2.3.1	0.00227813	KP.2.3.1
C01-0717	SARS_20240909	KP.3.3.4	0.27925475	KP.3.3.4
C01-0717	SARS_20240909	MC.13	0.00946410	MC.13
C01-0717	SARS_20240909	KP.3.2	0.02571773	KP.3.2,XDY
C01-0717	SARS_20240909	LK.1	0.00197044	LK.1
C01-0717	SARS_20240909	JN.1.28	0.00113772	JN.1.28
C01-0717	SARS_20240909	XDY	0.03333330	XDY,KP.3.2,LB.1.2.1
C01-0717	SARS_20240909	KP.3.1.1	0.34285556	KP.3.1.1
C01-0717	SARS_20240909	JN.1.6	0.00173310	JN.1.6
C01-0717	SARS_20240909	JN.1.52	0.01463761	JN.1.52
C01-0717	SARS_20240909	MC.1	0.02883473	MC.1
C01-0717	SARS_20240909	XEC	0.00400000	XEC,KS.1.1,KP.3.3
C01-0717	SARS_20240909	XDV.1.3	0.00134229	XDV.1.3
C01-0717	SARS_20240909	KP.3.3.3	0.00561392	KP.3.3.3
C01-0717	SARS_20240909	JN.1.16	0.00341726	JN.1.16
C01-0717	SARS_20240909	KP.3.3	0.16538200	KP.3.3,XEC
C01-0717	SARS_20240909	LB.1.3.1	0.00142857	LB.1.3.1
C01-0717	SARS_20240909	ML.1	0.00137908	ML.1
C01-0717	SARS_20240909	MC.13.1	0.00432900	MC.13.1
C01-0717	SARS_20240909	JN.1.54	0.00587517	JN.1.54
C01-0717	SARS_20240909	KP.6	0.00133690	KP.6
A01-0976	SARS_20240909	KP.3.3	0.06228046	KP.3.3,XEC
A01-0976	SARS_20240909	KP.3.3.4	0.12356586	KP.3.3.4
A01-0976	SARS_20240909	MC.13	0.10113491	MC.13
A01-0976	SARS_20240909	LV.1	0.00100943	LV.1
A01-0976	SARS_20240909	MC.16	0.00315457	MC.16
A01-0976	SARS_20240909	LB.1.4	0.00186613	LB.1.4
A01-0976	SARS_20240909	XDY	0.09014664	XDY,KP.3.2,LB.1.2.1
A01-0976	SARS_20240909	MH.1	0.00121037	MH.1
A01-0976	SARS_20240909	MC.1	0.12489536	MC.1
A01-0976	SARS_20240909	KP.2.3.6	0.09072569	KP.2.3.6
A01-0976	SARS_20240909	LB.1.3	0.10000114	LB.1.3
A01-0976	SARS_20240909	MC.11.1	0.01269840	MC.11.1
A01-0976	SARS_20240909	KU.2	0.00156836	KU.2
A01-0976	SARS_20240909	XDV	0.06719110	XDV,XDE,JN.1
A01-0976	SARS_20240909	MC.10	0.03942655	MC.10
A01-0976	SARS_20240909	XDV.1.3	0.01883428	XDV.1.3
A01-0976	SARS_20240909	JN.1.27	0.00100301	JN.1.27
A01-0976	SARS_20240909	KP.3.2.3	0.13575900	KP.3.2.3
A01-0980	SARS_20240909	LW.1	0.03239980	LW.1
A01-0980	SARS_20240909	MC.13.1	0.04859060	MC.13.1
A01-0980	SARS_20240909	ML.1	0.00105326	ML.1
A01-0980	SARS_20240909	XDV.1.3	0.03452945	XDV.1.3
A01-0980	SARS_20240909	LR.1	0.00142305	LR.1
A01-0980	SARS_20240909	KS.1	0.00111327	KS.1
A01-0980	SARS_20240909	LB.1.2	0.01142922	LB.1.2
A01-0980	SARS_20240909	MC.11	0.10359200	MC.11
A01-0980	SARS_20240909	LB.1.5	0.00101135	LB.1.5
A01-0980	SARS_20240909	LB.1	0.05940494	LB.1
A01-0980	SARS_20240909	MC.1	0.10164294	MC.1
A01-0980	SARS_20240909	KP.2.3	0.02548160	KP.2.3
A01-0980	SARS_20240909	LB.1.4	0.05177943	LB.1.4
A01-0980	SARS_20240909	KP.3.1.1	0.06344565	KP.3.1.1
A01-0980	SARS_20240909	KP.2.15	0.00112722	KP.2.15
A01-0980	SARS_20240909	LB.1.2.1	0.00359712	LB.1.2.1,XDY
A01-0980	SARS_20240909	KP.3.3.4	0.05144998	KP.3.3.4
A01-0980	SARS_20240909	KP.2.14	0.00134797	KP.2.14
A01-0980	SARS_20240909	XDV.1	0.02866647	XDV.1
A01-0980	SARS_20240909	KP.3.2.3	0.03396370	KP.3.2.3
A01-0980	SARS_20240909	LP.1.1	0.02217958	LP.1.1
A01-0980	SARS_20240909	MC.10	0.10575800	MC.10
A01-0980	SARS_20240909	MC.6	0.03691820	MC.6
A01-0980	SARS_20240909	XDV	0.00364745	XDV,XDE,JN.1
A01-0980	SARS_20240909	KP.2.3.2	0.00124271	KP.2.3.2
A01-0980	SARS_20240909	KP.2	0.09926467	KP.2
A01-0980	SARS_20240909	LB.1.2.2	0.00127796	LB.1.2.2
A01-0980	SARS_20240909	LB.1.3	0.03407969	LB.1.3
A01-0980	SARS_20240909	KP.2.3.6	0.01237404	KP.2.3.6
A01-0981	SARS_20240909	MC.2	0.02688778	MC.2
A01-0981	SARS_20240909	JN.1.18.5	0.11354147	JN.1.18.5
A01-0981	SARS_20240909	KP.5	0.05951226	KP.5
A01-0981	SARS_20240909	LW.1	0.05770700	LW.1
A01-0981	SARS_20240909	JN.1.13	0.05328024	JN.1.13
A01-0981	SARS_20240909	BA.2.86.1	0.00152387	BA.2.86.1,XDQ,XDU
A01-0981	SARS_20240909	JN.1.51.1	0.00185529	JN.1.51.1
A01-0981	SARS_20240909	LB.1	0.00296734	LB.1
A01-0981	SARS_20240909	MC.1	0.00183581	MC.1
A01-0981	SARS_20240909	KS.1	0.05783428	KS.1
A01-0981	SARS_20240909	KP.2.15	0.00219930	KP.2.15
A01-0981	SARS_20240909	MC.13	0.12470441	MC.13
A01-0981	SARS_20240909	KP.3.2	0.03047158	KP.3.2,XDY
A01-0981	SARS_20240909	LB.1.2.1	0.07198038	LB.1.2.1,XDY
A01-0981	SARS_20240909	KP.3.3.4	0.01019625	KP.3.3.4
A01-0981	SARS_20240909	MD.1.1	0.00184714	MD.1.1
A01-0981	SARS_20240909	KP.3.1.1	0.00175761	KP.3.1.1
A01-0981	SARS_20240909	XDY	0.03328262	XDY,KP.3.2,LB.1.2.1
A01-0981	SARS_20240909	KP.2.3.2	0.00221433	KP.2.3.2
A01-0981	SARS_20240909	JN.1.11.1	0.02436681	JN.1.11.1
A01-0981	SARS_20240909	MC.11.1	0.07266440	MC.11.1
A01-0981	SARS_20240909	KP.2	0.02095916	KP.2
A01-0981	SARS_20240909	LB.1.3	0.00161402	LB.1.3
A01-0981	SARS_20240909	KP.3.2.3	0.11078649	KP.3.2.3
A01-0981	SARS_20240909	MC.10	0.08329260	MC.10
A01-0981	SARS_20240909	MC.2.1	0.00159236	MC.2.1
C01-0723	SARS_20240909	MC.13	0.00269008	MC.13
C01-0723	SARS_20240909	LB.1.3.1	0.00137215	LB.1.3.1
C01-0723	SARS_20240909	KP.3.3.4	0.00591830	KP.3.3.4
C01-0723	SARS_20240909	LW.1	0.00385944	LW.1
C01-0723	SARS_20240909	KP.3.1.1	0.64289386	KP.3.1.1
C01-0723	SARS_20240909	LB.1.4	0.00101742	LB.1.4
C01-0723	SARS_20240909	LB.1.1	0.02820690	LB.1.1
C01-0723	SARS_20240909	LB.1.5	0.00105948	LB.1.5
C01-0723	SARS_20240909	MC.11	0.00643084	MC.11
C01-0723	SARS_20240909	MC.1	0.21358806	MC.1
C01-0723	SARS_20240909	KP.2.3.4	0.00166917	KP.2.3.4
C01-0723	SARS_20240909	KP.2	0.00918183	KP.2
C01-0723	SARS_20240909	XEE	0.05458876	XEE
C01-0723	SARS_20240909	LR.1	0.00388081	LR.1
C01-0723	SARS_20240909	MC.10	0.00103336	MC.10
C01-0725	SARS_20240909	MC.13	0.05458152	MC.13
C01-0725	SARS_20240909	MC.13.1	0.00702988	MC.13.1
C01-0725	SARS_20240909	KP.3.5	0.12326567	KP.3.5
C01-0725	SARS_20240909	KP.3.3.4	0.00236313	KP.3.3.4
C01-0725	SARS_20240909	LW.1	0.00399097	LW.1
C01-0725	SARS_20240909	XEF	0.04285710	XEF
C01-0725	SARS_20240909	MC.16	0.00418410	MC.16
C01-0725	SARS_20240909	KP.3.1.1	0.40924118	KP.3.1.1
C01-0725	SARS_20240909	KP.2.3.2	0.00116830	KP.2.3.2
C01-0725	SARS_20240909	MC.11	0.00480439	MC.11
C01-0725	SARS_20240909	MC.1	0.00125735	MC.1
C01-0725	SARS_20240909	KP.2.3	0.10111576	KP.2.3
C01-0725	SARS_20240909	MC.6	0.00407332	MC.6
C01-0725	SARS_20240909	KP.3.1	0.22686080	KP.3.1
C01-0725	SARS_20240909	MC.10	0.00146457	MC.10
C01-0716	SARS_20240909	KS.1	0.01300110	KS.1
C01-0716	SARS_20240909	KP.2.10	0.00427662	KP.2.10
C01-0716	SARS_20240909	KP.2.3	0.05143522	KP.2.3
C01-0716	SARS_20240909	MC.11	0.02418309	MC.11
C01-0716	SARS_20240909	LB.1.5	0.01201133	LB.1.5
C01-0716	SARS_20240909	MC.8.1	0.10342263	MC.8.1
C01-0716	SARS_20240909	LB.1.3.1	0.00132026	LB.1.3.1
C01-0716	SARS_20240909	KP.3.3	0.00573436	KP.3.3,XEC
C01-0716	SARS_20240909	MC.2	0.02014155	MC.2
C01-0716	SARS_20240909	JN.1.16	0.01184714	JN.1.16
C01-0716	SARS_20240909	JN.1.50.1	0.00311526	JN.1.50.1
C01-0716	SARS_20240909	MC.13.1	0.01225490	MC.13.1
C01-0716	SARS_20240909	JN.1.18.6	0.00411650	JN.1.18.6
C01-0716	SARS_20240909	KP.3.2.4	0.00297619	KP.3.2.4
C01-0716	SARS_20240909	JN.1.61	0.00128041	JN.1.61
C01-0716	SARS_20240909	MC.6	0.00306748	MC.6
C01-0716	SARS_20240909	LP.1.1	0.00418410	LP.1.1
C01-0716	SARS_20240909	JN.1.50	0.00257692	JN.1.50
C01-0716	SARS_20240909	MC.10	0.04607720	MC.10
C01-0716	SARS_20240909	JN.1.16.1	0.05764402	JN.1.16.1
C01-0716	SARS_20240909	XDV.1	0.03791530	XDV.1
C01-0716	SARS_20240909	KP.1.1.2	0.00411331	KP.1.1.2
C01-0716	SARS_20240909	KP.3.2.3	0.05069120	KP.3.2.3
C01-0716	SARS_20240909	BA.2.86	0.00371549	BA.2.86
C01-0716	SARS_20240909	LF.1.1	0.00486027	LF.1.1
C01-0716	SARS_20240909	KP.2	0.12117615	KP.2
C01-0716	SARS_20240909	KP.2.3.6	0.00101845	KP.2.3.6
C01-0716	SARS_20240909	KP.3.3.1	0.00247543	KP.3.3.1
C01-0716	SARS_20240909	LB.1.3	0.00264643	LB.1.3
C01-0716	SARS_20240909	JN.1.11.1	0.01327773	JN.1.11.1
C01-0716	SARS_20240909	MC.11.1	0.03767261	MC.11.1
C01-0716	SARS_20240909	XDY	0.04612200	XDY,KP.3.2,LB.1.2.1
C01-0716	SARS_20240909	KP.3.1.1	0.08484867	KP.3.1.1
C01-0716	SARS_20240909	JN.1.7.4	0.00268097	JN.1.7.4
C01-0716	SARS_20240909	KP.3	0.14438182	KP.3
C01-0716	SARS_20240909	KP.2.15	0.01057946	KP.2.15
C01-0716	SARS_20240909	MC.13	0.03480390	MC.13
C01-0716	SARS_20240909	KP.2.23	0.00162184	KP.2.23
A01-0977	SARS_20240909	ML.1	0.00100164	ML.1
A01-0977	SARS_20240909	MC.13	0.00611134	MC.13
A01-0977	SARS_20240909	KP.3.3	0.00748990	KP.3.3,XEC
A01-0977	SARS_20240909	KP.3.3.4	0.06593771	KP.3.3.4
A01-0977	SARS_20240909	LB.1.7.3	0.00459982	LB.1.7.3
A01-0977	SARS_20240909	MC.16	0.07758620	MC.16
A01-0977	SARS_20240909	KP.3.1.1	0.07909556	KP.3.1.1
A01-0977	SARS_20240909	XDY	0.10201002	XDY,KP.3.2,LB.1.2.1
A01-0977	SARS_20240909	MC.11.1	0.03621697	MC.11.1
A01-0977	SARS_20240909	XDV	0.00522352	XDV,XDE,JN.1
A01-0977	SARS_20240909	LB.1.7	0.01613794	LB.1.7
A01-0977	SARS_20240909	KP.2.3.6	0.07708868	KP.2.3.6
A01-0977	SARS_20240909	MC.1	0.04563604	MC.1
A01-0977	SARS_20240909	LB.1.3	0.05483437	LB.1.3
A01-0977	SARS_20240909	KU.2.2	0.00321754	KU.2.2
A01-0977	SARS_20240909	KP.3.2.3	0.14458000	KP.3.2.3
A01-0977	SARS_20240909	KP.3.1	0.16254756	KP.3.1
A01-0977	SARS_20240909	LR.1	0.00153449	LR.1
A01-0977	SARS_20240909	MC.10	0.08574940	MC.10
A01-0975	SARS_20240909	LB.1.3	0.02851278	LB.1.3
A01-0975	SARS_20240909	JN.1.14	0.00171293	JN.1.14
A01-0975	SARS_20240909	MC.11.1	0.09090910	MC.11.1
A01-0975	SARS_20240909	JN.1.11.1	0.07832689	JN.1.11.1
A01-0975	SARS_20240909	MC.10	0.07897990	MC.10
A01-0975	SARS_20240909	MC.6	0.00194932	MC.6
A01-0975	SARS_20240909	XDV.1	0.02019416	XDV.1
A01-0975	SARS_20240909	KP.3.2.3	0.01310216	KP.3.2.3
A01-0975	SARS_20240909	MD.1.1	0.00211082	MD.1.1
A01-0975	SARS_20240909	KP.3.3.4	0.01775859	KP.3.3.4
A01-0975	SARS_20240909	MC.13	0.02954468	MC.13
A01-0975	SARS_20240909	KP.3.1.1	0.28410371	KP.3.1.1
A01-0975	SARS_20240909	LB.1.4	0.02777780	LB.1.4
A01-0975	SARS_20240909	LB.1.7.3	0.00172117	LB.1.7.3
A01-0975	SARS_20240909	KP.2.3	0.08050700	KP.2.3
A01-0975	SARS_20240909	MC.1	0.05903919	MC.1
A01-0975	SARS_20240909	KP.2.10	0.02908933	KP.2.10
A01-0975	SARS_20240909	MC.8.1	0.00120728	MC.8.1
A01-0975	SARS_20240909	XDV.1.3	0.01588875	XDV.1.3
A01-0975	SARS_20240909	KP.5	0.03819043	KP.5
A01-0975	SARS_20240909	JN.1.18.5	0.04413348	JN.1.18.5
A01-0975	SARS_20240909	KP.3.3	0.01864510	KP.3.3,XEC
A01-0975	SARS_20240909	KP.2.19	0.00138008	KP.2.19
A01-0975	SARS_20240909	JN.1.54	0.01358342	JN.1.54
C01-0720	SARS_20240909	XDV.1	0.00121948	XDV.1
C01-0720	SARS_20240909	KP.3.2.3	0.00162734	KP.3.2.3
C01-0720	SARS_20240909	XEE	0.11413656	XEE
C01-0720	SARS_20240909	MC.10	0.04866180	MC.10
C01-0720	SARS_20240909	MC.11.1	0.03647406	MC.11.1
C01-0720	SARS_20240909	JN.1.11.1	0.01298570	JN.1.11.1
C01-0720	SARS_20240909	KP.2.3.6	0.02014642	KP.2.3.6
C01-0720	SARS_20240909	KP.2.3.4	0.05182196	KP.2.3.4
C01-0720	SARS_20240909	KP.3.1.1	0.40466867	KP.3.1.1
C01-0720	SARS_20240909	XDY	0.01572120	XDY,KP.3.2,LB.1.2.1
C01-0720	SARS_20240909	MC.13	0.00388545	MC.13
C01-0720	SARS_20240909	KP.2.15	0.01342280	KP.2.15
C01-0720	SARS_20240909	MD.1.1	0.00240972	MD.1.1
C01-0720	SARS_20240909	JN.1.62	0.00253692	JN.1.62
C01-0720	SARS_20240909	KP.3.3.4	0.00116231	KP.3.3.4
C01-0720	SARS_20240909	JN.1.30	0.00502429	JN.1.30
C01-0720	SARS_20240909	MC.11	0.06253584	MC.11
C01-0720	SARS_20240909	JN.1.55	0.00170997	JN.1.55
C01-0720	SARS_20240909	KP.2.3.3	0.10015193	KP.2.3.3
C01-0720	SARS_20240909	JN.1.11	0.04524053	JN.1.11
C01-0720	SARS_20240909	KP.6	0.00113443	KP.6
C01-0720	SARS_20240909	KP.3.1.3	0.02782613	KP.3.1.3
C01-0720	SARS_20240909	LB.1.3.1	0.00222668	LB.1.3.1
C01-0721	SARS_20240909	KP.3.2.3	0.00212289	KP.3.2.3
C01-0721	SARS_20240909	KP.3.3.3	0.00574869	KP.3.3.3
C01-0721	SARS_20240909	MC.10	0.00225296	MC.10
C01-0721	SARS_20240909	KS.1	0.00222708	KS.1
C01-0721	SARS_20240909	MC.11	0.43897000	MC.11
C01-0721	SARS_20240909	LB.1.3	0.03371480	LB.1.3
C01-0721	SARS_20240909	LB.1.7.3	0.00209556	LB.1.7.3
C01-0721	SARS_20240909	XDY	0.00529263	XDY,KP.3.2,LB.1.2.1
C01-0721	SARS_20240909	KP.3.1.1	0.31953031	KP.3.1.1
C01-0721	SARS_20240909	KP.3.5	0.01286778	KP.3.5
C01-0721	SARS_20240909	XDV.1.2	0.00189785	XDV.1.2
C01-0721	SARS_20240909	MC.13	0.05067933	MC.13
C01-0721	SARS_20240909	ML.1	0.00102070	ML.1
C01-0721	SARS_20240909	JN.1.7.4	0.00120337	JN.1.7.4
C01-0721	SARS_20240909	KP.3.3	0.10174754	KP.3.3,XEC
A01-0982	SARS_20240909	LB.1.3	0.01088869	LB.1.3
A01-0982	SARS_20240909	MC.11.1	0.00783291	MC.11.1
A01-0982	SARS_20240909	XDV	0.04198605	XDV,XDE,JN.1
A01-0982	SARS_20240909	LB.1.8	0.08588004	LB.1.8
A01-0982	SARS_20240909	MC.10	0.06713370	MC.10
A01-0982	SARS_20240909	JN.1.26	0.00403367	JN.1.26
A01-0982	SARS_20240909	KP.3.2.3	0.01535660	KP.3.2.3
A01-0982	SARS_20240909	JN.1.16.1	0.00854971	JN.1.16.1
A01-0982	SARS_20240909	KP.3.3.4	0.03577319	KP.3.3.4
A01-0982	SARS_20240909	MC.13	0.17159336	MC.13
A01-0982	SARS_20240909	JN.1.48.3	0.00128998	JN.1.48.3
A01-0982	SARS_20240909	KP.2.15	0.04794875	KP.2.15
A01-0982	SARS_20240909	LF.9	0.00135504	LF.9
A01-0982	SARS_20240909	KP.3.1.1	0.25973392	KP.3.1.1
A01-0982	SARS_20240909	LB.1.4	0.00116491	LB.1.4
A01-0982	SARS_20240909	XDY	0.02222225	XDY,KP.3.2,LB.1.2.1
A01-0982	SARS_20240909	KP.2.3	0.03073660	KP.2.3
A01-0982	SARS_20240909	LQ.3	0.01138682	LQ.3
A01-0982	SARS_20240909	LB.1.5	0.00117647	LB.1.5
A01-0982	SARS_20240909	LB.1.3.2	0.00109220	LB.1.3.2
A01-0982	SARS_20240909	KU.2	0.00205269	KU.2
A01-0982	SARS_20240909	KP.2.15.1	0.01187073	KP.2.15.1
A01-0982	SARS_20240909	KS.1	0.02921618	KS.1
A01-0982	SARS_20240909	MC.2	0.04753512	MC.2
A01-0982	SARS_20240909	KP.3.3	0.03430980	KP.3.3,XEC
A01-0982	SARS_20240909	MC.13.1	0.00119164	MC.13.1
