Asset Tag ID,Description,Site,Location,Category,Department,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH
A02-0965,Sample ,Monongalia,Seneca-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 12:21 PM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0966,Sample ,Monongalia,HonorsSummit-01,Sample,WVU Morgantown,Composite,GZ,01/20/2023 12:30 PM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0967,Sample ,Monongalia,NorthHighSt-02,Sample,WVU Morgantown,Composite,GZ,01/20/2023 12:45 PM,01/18/2023 09:00 AM,01/20/2023 09:00 AM,,,,,,,,,,,,,,
A02-0968,Sample ,Monongalia,MtValley-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 10:23 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0969,Sample ,Monongalia,Evansdale-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 10:43 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0970,Sample ,Monongalia,TowersBB-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:01 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0971,Sample ,Monongalia,OaklandE-02,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:12 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0972,Sample ,Monongalia,UPlace-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:23 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
A02-0973,Sample,Monongalia,Seneca-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:31 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,01/26/2023,,,,,,SARS-CoV-2 N1,1191329.169,SARS-CoV-2 N2,1355680.304,,Complete
A02-0974,Sample ,Monongalia,HonorsSummit-01,Sample,WVU Morgantown,Composite,GZ,01/23/2023 11:41 AM,01/21/2023 09:00 AM,01/23/2023 09:00 AM,,,,,,,,,,,,,,
