assay_amplification_method	assay_amplification_method_lot_id	assay_batch_comment	assay_batch_id	assay_batch_record_version	assay_date	assay_machine	assay_method	assay_method_lot_id	assay_quantification_method	assay_quantification_type	assay_qx_manager_version	assay_reaction_ul	assay_run_by
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP47	1.0.0	2/22/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX		AP48	1.0.0	2/24/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP49	1.0.0	2/28/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477038		AP50	1.0.0	3/2/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039		AP51	1.0.0	3/9/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039		AP52	1.0.0	3/10/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477039		AP53	1.0.0	3/14/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX		AP54	1.0.0	3/18/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040		AP55	1.0.0	3/28/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040		AP56	1.0.0	3/28/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040		AP57	1.0.0	3/29/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040		AP58	1.0.0	3/30/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX		AP59	1.0.0	3/31/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477040		AP60	1.0.0	4/4/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549		AP61	1.0.0	4/6/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549		AP62	1.0.0	4/7/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	60265549		AP63	1.0.0	4/11/22	ZPM Lab QX200	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP64	1.0.0	4/14/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP65	1.0.0	4/18/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP66	1.0.0	4/19/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP67	1.0.0	4/20/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP68	1.0.0	4/21/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP69	1.0.0	4/25/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041		AP70	1.0.0	4/26/22	ZPM Lab QX200	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ddPCR	Direct Quantification	1.2	20	JL
