result_id	sample_id	assay_id	target	target_category	target_genetic_locus	responsible_lab_name	responsible_lab_abbrev	assay_target_copies_per_ul_reaction	assay_reaction_ul	extraction_output_ul	concentration_output_ml	assay_input_ul	extraction_input_ul	concentration_input_ml	target_copies_per_literww	target_result_validated
H01-0029.a1	H01-0029	H01-0029.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.68	20	50	0.425	5	400	10	14450	1
A0233.a2	A0233	A0233.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	4	5	200	100	0	1
A02-0156.a2	A02-0156	A02-0156.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	0.425	5	200	10	0	1
O01-0123.a1	O01-0123	O01-0123.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.471278072	20	75	0.475	5	400	10	52414.281315	1
B3.a1	B3	B3.a1	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.991993010044098	20	75	0.475	5	400	10	35339.750982821	1
H01-0221.a2	H01-0221	H01-0221.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
N02-0073.a1	N02-0073	N02-0073.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.421931148	20	75	0.475	5	400	10	15031.2971475	1
A01-0008.a1	A01-0008	A01-0008.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.058326483	20	50	0.425	5	400	10	43739.43776375	1
A04-0095.a2	A04-0095	A04-0095.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	9.8533926	20	75	0.475	5	400	10	351027.111375	1
J01-0037.a1	J01-0037	J01-0037.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A01-0070.a2	A01-0070	A01-0070.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.425	5	400	10	0	1
N03-0120.a3	N03-0120	N03-0120.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.06505768	20	75	0.475	5	400	10	2317.67985	1
A0101.a1	A0101	A0101.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	4.2	5	200	100	0	1
E02-0122.a3	E02-0122	E02-0122.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.086737983	20	75	0.475	5	400	10	3090.040644375	1
L01-0120.a2	L01-0120	L01-0120.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.2969141	20	75	0.475	5	400	10	224327.5648125	1
A02-0021.a3	A02-0021	A02-0021.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	5.663083075	20	50	0.425	5	400	10	120340.51534375	1
A03-0080.a2	A03-0080	A03-0080.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.351321578	20	50	0.425	5	400	10	7465.5835325	1
A03-0159.a3	A03-0159	A03-0159.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
E01-0135.a1	E01-0135	E01-0135.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	9.242136955	20	75	0.475	5	400	10	329251.129021875	1
A04-0082.a1	A04-0082	A04-0082.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	24.35081291	20	75	0.475	5	400	10	867497.70991875	1
A02-0419.a3	A02-0419	A02-0419.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.965579331	20	75	0.475	5	400	10	34398.763666875	1
L01-0044.a2	L01-0044	L01-0044.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.565912724	20	75	0.475	5	400	10	91410.6407925	1
C01-0102.a1	C01-0102	C01-0102.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.588774979	20	75	0.475	5	400	10	20975.108626875	1
N03-0044.a3	N03-0044	N03-0044.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.082032606	20	75	0.475	5	400	10	2922.41158875	1
A01-0093.a1	A01-0093	A01-0093.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	2.883321762	20	75	0.475	5	400	10	102718.33777125	1
H01-0011.a3	H01-0011	H01-0011.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.347605437	20	50	0.425	5	400	10	7386.61553625	1
A02-0248.a2	A02-0248	A02-0248.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0453.a2	A02-0453	A02-0453.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
K01-0118.a1	K01-0118	K01-0118.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	3.85319686	20	75	0.475	5	400	10	137270.1381375	1
A02-0293.a2	A02-0293	A02-0293.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	5.81099081	20	75	0.475	5	400	10	207016.54760625	1
A02-0383.a2	A02-0383	A02-0383.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A01-0048.a1	A01-0048	A01-0048.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	13.70515919	20	50	0.425	5	400	10	291234.6327875	1
M03-0017.a3	M03-0017	M03-0017.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.092102446	20	75	0.475	5	400	10	3281.14963875	1
A03-0113.a2	A03-0113	A03-0113.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A1049.a1	A1049	A1049.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	50	0.95	5	400	10	0	1
A1004.a3	A1004	A1004.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	60	5	5	200	100	0	1
C01-0151.a3	C01-0151	C01-0151.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.304844379	20	75	0.475	5	400	10	10860.081001875	1
H01-0253.a1	H01-0253	H01-0253.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.620010853	20	75	0.475	5	400	10	22087.886638125	1
F01-0021.a3	F01-0021	F01-0021.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.373987287	20	50	0.425	5	400	10	7947.22984875	1
L01-0004.a2	L01-0004	L01-0004.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	10.82895279	20	75	0.475	5	400	10	385781.44314375	1
A01-0029.a3	A01-0029	A01-0029.a3	Human	Internal Control	RNase P	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	1.742868066	20	50	0.425	5	400	10	37035.9464025	1
E01-0057.a2	E01-0057	E01-0057.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	9.386060715	20	75	0.475	5	400	10	334378.412971875	1
A02-0208.a2	A02-0208	A02-0208.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	6.599056245	20	50	0.425	5	400	10	140229.94520625	1
R02-0016.a1	R02-0016	R02-0016.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	4.122440338	20	75	0.475	5	400	10	146861.93704125	1
M04-0045.a2	M04-0045	M04-0045.a2	SARS-CoV-2	Pathogen	N2	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0	20	75	0.475	5	400	10	0	1
A02-0270.a1	A02-0270	A02-0270.a1	SARS-CoV-2	Pathogen	N1	WVU Zoonotic Pathogen Testing Laboratory	ZooWVU	0.068628885	20	75	0.475	5	400	10	2444.904028125	1
