assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
H01-0412.a2	H01-0412	11/22/2022 8:00	11/23/2022 8:00	Routine Surveillance	1.5	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	648570.92503125	648570.92503125	5404.75770859375	3682660.29798382	30688.8358165318	100	0	846.3915252	yes
C01-1254.a3	C01-1254	05/14/2026 08:00 AM	05/15/2026 08:00 AM	Routine Surveillance	8.3	Pass	WheelingWWTP-01	SARS-CoV-2	SC2	ZooWVU	255	255	0.51	8011.820265	16.02364053	100	NA	NA	Missing controls: all
A01-1239.a1	A01-1239	05/04/2025 12:00 AM	05/05/2025 12:00 AM	Routine Surveillance	11.8	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	69614.6006137133	69614.6006137133	144.046102908693	3109533.70264805	6434.22798925684	100	0	NA	yes
R01-0017.a3	R01-0017	04/19/2022 9:00	04/20/2022 8:30	Routine Surveillance	0.167	Pass	HuttonsvilleWWTP-01	Human	RNase P	ZooWVU	9307.86537375	9307.86537375	443.020722215612	5884.09247296265	280.061517037727	100	NA	NA	Missing controls: HEX
E02-0139.a1	E02-0139	06/03/2022 8:00	06/04/2022 8:00	Routine Surveillance	0.122	Pass	AthensWWTP-01	SARS-CoV-2	N1	ZooWVU	607282.75914375	607282.75914375	25398.6933978984	280455.335973422	11729.6250929913	100	46.66682184	2565.627288	NTC above threshold
R01-0397.a1	R01-0397	09/11/2023 9:00	09/12/2023 9:00	Routine Surveillance	0.197	Pass	HuttonsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	118034.542044375	118034.542044375	5618.01723200262	88021.3997526389	4189.50022620842	100	0	75.18438816	yes
Q01-0288.a3	Q01-0288	02/28/2023 8:00	03/01/2023 8:00	Routine Surveillance	0.557	Pass	MadisonWWTP-01	Human	RNase P	ZooWVU	38582.63744625	38582.63744625	847.039241410538	81350.4635997829	1785.95968385912	100	NA	NA	Missing controls: HEX
J01-0120.a3	J01-0120	08/25/2022 7:30	08/26/2022 7:30	Routine Surveillance	0.055	Pass	AlpineLakeWWTP-01	Human	RNase P	ZooWVU	885	885	126.428571428571	184.25483175	26.3221188214286	100	NA	NA	Missing controls: HEX
A04-0109.a2	A04-0109	07/07/2022 8:00	07/08/2022 8:00	Routine Surveillance	0.555	Pass	CheatLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	790314.37756875	790314.37756875	39515.7188784375	1660373.49113585	83018.6745567925	100	0	5309.688186	yes
A0231.a2	A0231	01/31/2021 0:00	01/31/2021 23:59	Routine Surveillance	9.189	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	299	299	0.618688958781659	10400.45561451	21.5205587123614	100	NA	NA	Missing controls: FAM/HEX
A01-0219.a1	A01-0219	04/05/2022 0:00	04/05/2022 0:00	Routine Surveillance	9.4	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	21308.0559225	21308.0559225	44.0904981015146	758201.442914153	1568.86575673347	100	0	1903.8578034	yes
E01-0406.a6	E01-0406	02/20/2024 09:30 AM	02/21/2024 09:30 AM	Routine Surveillance	2.015	Pass	PrincetonWWTP-01	Human Norovirus GII	ORF1_2	ZooWVU	13370280.5900574	13370280.5900574	37139.6683057149	101983167.604544	283286.57667929	100	0	290.935325622558	yes
D01-0298.a1	D01-0298	06/19/2023 8:00	06/20/2023 8:00	Routine Surveillance	1.14	Pass	CharlesTownWWTP-01	SARS-CoV-2	N1	ZooWVU	331662.819399375	331662.819399375	1950.95776117279	1431246.91862815	8419.09952134206	100	0	9.79786098	yes
M04-0058.a1	M04-0058	05/16/2022 10:00	05/17/2022 10:00	Routine Surveillance	0.106	Pass	FarmingtonWWTP-01	SARS-CoV-2	N1	ZooWVU	120970.733026875	120970.733026875	19831.2677093238	48539.9251857699	7957.36478455244	100	0	200.6589652	yes
G01-0192.a2	G01-0192	06/13/2022 8:00	06/14/2022 8:00	Routine Surveillance	0.703	Pass	KeyserWWTP-01	SARS-CoV-2	N2	ZooWVU	243847.613634375	243847.613634375	2985.40173401536	648913.426174773	7944.58161330525	100	0	3455.142212	yes
A01-0533.a2	A01-0533	04/05/2023 0:00	04/06/2023 0:00	Routine Surveillance	9.7	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	367808.48101875	367808.48101875	761.067043988475	13505367.2506919	27945.2227501488	100	5.27225674	1128.8243104	yes
L01-0144.a3	L01-0144	05/27/2022 9:00	05/28/2022 9:00	Routine Surveillance	0.468	Pass	WestUnionWWTP-01	Human	RNase P	ZooWVU	2376	2376	421.276595744681	4209.25478688	746.321770723404	100	NA	NA	Missing controls: HEX
A01-0187.a2	A01-0187	02/26/2022 0:00	02/27/2022 0:00	Routine Surveillance	12.1	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	72937.61417625	72937.61417625	150.92206210944	3340795.16635491	6912.7527858693	100	0	7121.788788	yes
H01-1035.a2	H01-1035	06/07/2026 08:00 AM	06/08/2026 08:00 AM	Routine Surveillance	1.5	Pass	MoundsvilleWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	1265	1265	10.5416666666667	7182.815475	59.856795625	100	NA	NA	Missing controls: all
H01-0930.a2	H01-0930	06/23/2024 08:00 AM	06/24/2024 08:00 AM	Routine Surveillance	2.0	Pass	MoundsvilleWWTP-01	Human Norovirus GI	ORF1_2	ZooWVU	1236	1236	10.3	9357.53352	77.979446	100	NA	NA	Missing controls: all
P01-0038.a2	P01-0038	03/24/2022 12:55	03/25/2022 12:55	Routine Surveillance	0.323	Pass	StMarysWWTP-01	SARS-CoV-2	N2	ZooWVU	54	54	1.86721991701245	66.02512122	2.28302632157676	100	0	7738.365936	yes
A02-0363.a2	A02-0363	02/19/2022 9:00	02/21/2022 9:00	Routine Surveillance		Pass	CollegePark-02	SARS-CoV-2	N2	ZooWVU	990636.238125	495318.1190625	87357.6929563492	NA	NA	100	0	8990.826416	yes
Q01-0307.a2	Q01-0307	03/19/2023 8:00	03/20/2023 8:00	Routine Surveillance	0.469	Pass	MadisonWWTP-01	SARS-CoV-2	N2	ZooWVU	171217.12176375	171217.12176375	3758.88302445115	303971.565296091	6673.3603797166	100	6.12601162	1257.7349852	yes
A01-1291.a4	A01-1291	07/06/2025 12:00 AM	07/07/2025 12:00 AM	Routine Surveillance	7.2	Pass	StarCityWWTP-01	SARS-CoV-2	SC2	ZooWVU	30153.3256843686	30153.3256843686	62.3930758243019	821827.444167834	1700.52028672371	100	0	NA	yes
A01-0285.a1	A01-0285	05/28/2022 0:00	05/29/2022 0:00	Routine Surveillance	8.1	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	548262.20533125	548262.20533125	1134.46077911614	16810717.600932	34784.6333407798	100	0	215.0277614	yes
H01-0549.a3	H01-0549	04/08/2023 8:00	04/09/2023 8:00	Routine Surveillance	1.5	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	12643.83177	12643.83177	105.36526475	71793.1308307135	598.276090255946	100	NA	NA	Missing controls: HEX
C01-0804.a4	C01-0804	11/14/2024 07:00 AM	11/15/2024 07:00 AM	Routine Surveillance	4.70	Pass	WheelingWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	1793	1793	3.586	31900.028611	63.800057222	100	0	328.074798583984	yes
A03-0263.a1	A03-0263	04/04/2022 6:00	04/04/2022 14:00	Routine Surveillance			MountainviewES-01	SARS-CoV-2	N1	ZooWVU	355	1065	146.694214876033	NA	NA	100	0	0	yes
C01-1287.a5	C01-1287	05/28/2026 08:00 AM	05/29/2026 08:00 AM	Routine Surveillance	15.6	Pass	WheelingWWTP-01	SARS-CoV-2	SC2	ZooWVU	744	744	1.488	43934.982624	87.869965248	100	NA	NA	Missing controls: all
R02-0004.a2	R02-0004	06/20/2022 6:00	06/21/2022 6:00	Routine Surveillance	1.139	Pass	ElkinsWWTP-01	SARS-CoV-2	N2	ZooWVU	174452.96915625	174452.96915625	1326.03351441358	752168.279916113	5717.30221888198	100	0	3544.161224	yes
C01-1329.a4	C01-1329	07/27/2026 08:00 AM	07/28/2026 08:00 AM	Routine Surveillance	6.0	Pass	WheelingWWTP-01	Respiratory Syncitial Virus, Bovine	Unk	ZooWVU	301700.237989426	301700.237989426	603.400475978851	6852354.58732531	13704.7091746506	100	NA	NA	Missing controls: all
A04-0625.a2	A04-0625	03/30/2025 08:00 AM	03/31/2025 08:00 AM	Routine Surveillance	0.634	Pass	CheatLakeWWTP-01	SARS-CoV-2	SC2	ZooWVU	17116.6238375008	17116.6238375008	855.831191875039	41079.0403518126	2053.95201759063	100	0	NA	yes
C01-0083.a3	C01-0083	02/21/2022 7:00	02/22/2022 7:00	Routine Surveillance	16.27	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	21866.057671875	21866.057671875	43.73211534375	1346700.33215743	2693.40066431487	100	NA	NA	Missing controls: HEX
P01-0117.a5	P01-0117	07/28/2024 08:00 AM	07/29/2024 08:00 AM	Routine Surveillance	0.192	Pass	StMarysWWTP-01	Influenza Virus A	M	ZooWVU	1351	1351	46.7150760719225	981.90507072	33.9524574937759	100	0	126.497983932495	yes
N02-0075.a1	N02-0075	05/05/2022 7:00	05/06/2022 7:00	Routine Surveillance	6.877	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	57929.194726875	57929.194726875	218.617234232301	1508028.12345706	5691.10168109691	100	0	247.7991342	yes
A01-0476.a2	A01-0476	01/29/2023 0:00	01/30/2023 0:00	Routine Surveillance	11.2	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	1480721.6838	1480721.6838	3063.90018995199	62777553.0936216	129898.926282117	100	0	1012.183838	yes
L01-0011.a2	L01-0011	01/28/2022 9:10	01/29/2022 9:10	Routine Surveillance	0.274	Pass	WestUnionWWTP-01	SARS-CoV-2	N2	ZooWVU	3049844.0413125	3049844.0413125	540752.489594415	3163305.37628438	560869.747568153	100	0	7045.1622	yes
C01-1249.a1	C01-1249	05/07/2026 08:00 AM	05/08/2026 08:00 AM	Routine Surveillance	8.7	Pass	WheelingWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	2242	2242	4.484	73835.936214	147.671872428	100	NA	NA	Missing controls: all
A02-1311.a3	A02-1311	11/14/2023 17:00	11/14/2023 23:00	Mass-Gathering Event		Pass	Coliseum-01	Human	RNase P	ZooWVU	69658.1263725	208974.3791175	NA	NA	NA	100	NA	NA	Missing controls: HEX
C01-0407.a3	C01-0407	04/25/2023 7:00	04/26/2023 7:00	Routine Surveillance	5.755	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	20353.74631875	20353.74631875	40.7074926375	443407.066775904	886.814133551808	100	NA	NA	Missing controls: HEX
C01-0892.a1	C01-0892	05/05/2025 07:00 AM	05/06/2025 07:00 AM	Routine Surveillance	7.24	Pass	WheelingWWTP-01	SARS-CoV-2	SC2	ZooWVU	11323.1384754181	11323.1384754181	22.6462769508362	310326.104501523	620.652209003045	100	3.09808748960495	NA	yes
G01-0380.a3	G01-0380	05/09/2023 8:00	05/10/2023 8:00	Routine Surveillance	2.453	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	2484	2484	30.411361410382	23065.45705332	282.388063826151	100	NA	NA	Missing controls: HEX
N02-1010.a3	N02-1010	04/12/2026 07:00 AM	04/13/2026 07:00 AM	Routine Surveillance	8.36	Pass	ClarksburgWWTP-01	SARS-CoV-2	SC2	ZooWVU	2814	2814	10.619669409012	89051.9216664	336.070351220469	100	NA	NA	Missing controls: all
L01-0640.a5	L01-0640	08/03/2025 07:00 AM	08/04/2025 07:00 AM	Routine Surveillance	0.172	Pass	WestUnionWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	20501.1070892215	20501.1070892215	3634.9480654648	13348.0764752969	2366.68022611647	100	0	NA	yes
L01-0450.a2	L01-0450	05/07/2023 9:00	05/08/2023 9:00	Routine Surveillance	0.539	Pass	WestUnionWWTP-01	SARS-CoV-2	N2	ZooWVU	124485.868948125	124485.868948125	22071.9625794548	253992.998661283	45034.2196207948	100	0	859.318466	yes
A04-0586.a1	A04-0586	04/20/2026 12:00 AM	04/21/2026 12:00 AM	Routine Surveillance	0.786	Pass	CheatLakeWWTP-01	Influenza Virus A	M	ZooWVU	209	209	10.45	621.84444234	31.092222117	100	NA	NA	Missing controls: all
N02-0124.a2	N02-0124	06/27/2022 7:00	06/28/2022 7:00	Routine Surveillance	7.28	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	61783.7798625	61783.7798625	233.163936381991	1702624.10958135	6425.4815819358	100	0	2631.585884	yes
G01-0464.a3	G01-0464	08/15/2023 9:00	08/16/2023 8:00	Routine Surveillance	0.726	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	19561.854616875	19561.854616875	239.493812645384	53760.0387019022	658.17873043465	100	NA	NA	Missing controls: HEX
E01-0059.a1	E01-0059	02/07/2022 9:00	02/08/2022 9:00	Routine Surveillance	3.445	Pass	PrincetonWWTP-01	SARS-CoV-2	N1	ZooWVU	240602.338228125	240602.338228125	668.339828411458	3137631.92268908	8715.64422969188	100	0	5997.419358	yes
G01-0295.a3	G01-0295	12/17/2022 8:00	12/18/2022 8:00	Routine Surveillance	1.67	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	2852	2852	34.9167482859941	18029.3021644	220.730927575906	100	NA	NA	Missing controls: HEX
C01-0897.a3	C01-0897	05/12/2025 07:00 AM	05/13/2025 07:00 AM	Routine Surveillance	7.22	Pass	WheelingWWTP-01	Influenza Virus A	M	ZooWVU	4038.69295958431	4038.69295958431	8.07738591916861	110380.144930531	220.760289861062	100	3.8881109158198	NA	yes
W01-1022.a5	W01-1022	07/19/2026 11:00 AM	07/20/2026 11:00 AM	Routine Surveillance	0.70	Pass	SummersvilleWWTP-01	Respiratory Syncitial Virus, Bovine	Unk	ZooWVU	116322.194337845	116322.194337845	3068.3775873871	308229.038367895	8130.54704214969	100	NA	NA	Missing controls: all
G01-0436.a3	G01-0436	06/09/2023 8:00	06/10/2023 8:00	Routine Surveillance	0.615	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	46911.79408125	46911.79408125	574.336362405117	109211.930276359	1337.07064491135	100	NA	NA	Missing controls: HEX
M03-0518.a1	M03-0518	06/08/2025 09:00 AM	06/09/2025 09:00 AM	Routine Surveillance	0.371	Pass	ManningtonWWTP-01	Influenza Virus A	M	ZooWVU	461934.664249421	461934.664249421	42340.4825159872	648735.088134064	59462.4278766328	100	243.400430679322	NA	NTC above threshold
