assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
R02-0331.a2	R02-0331	07/12/2023 6:00	07/13/2023 6:00	Routine Surveillance	1.5801	Pass	ElkinsWWTP-01	SARS-CoV-2	N2	ZooWVU	19175.7454875	19175.7454875	145.756654663271	114696.391592696	871.818117913466	100	0	0	yes	-0.404352185610131	FALSE	FALSE
N03-0096.a2	N03-0096	06/05/2022 7:30	06/06/2022 7:30	Routine Surveillance	0.332	Pass	SalemWWTP-01	SARS-CoV-2	N2	ZooWVU	4040.27250375	4040.27250375	218.03953069347	5077.63719555554	274.022514600946	100	5488.799286	25.20895898	NTC above threshold	NA	NA	NA
A01-1051.a1	A01-1051	09/22/2024 12:00 AM	09/23/2024 12:00 AM	Routine Surveillance	9.8	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	2676359.10987854	2676359.10987854	5537.90578935305	99284942.0736282	205439.790749934	100	0	1246.33583068848	yes	NA	NA	NA
B01-0264.a3	B01-0264	10/06/2022 7:00	10/07/2022 7:00	Routine Surveillance	6.5	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	6	6	0.012	147.63099	0.29526198	100	NA	NA	Missing controls: HEX	NA	NA	NA
A03-0111.a1	A03-0111	11/08/2021 6:00	11/08/2021 14:00	Routine Surveillance	NA	Pass	NorthES-01	SARS-CoV-2	N1	ZooWVU	635	1905	276.889534883721	NA	NA	100	0	7374.529266	yes	NA	NA	NA
O01-0098.a3	O01-0098	06/09/2022 6:15	06/10/2022 6:15	Routine Surveillance	0.91	Pass	GraftonWWTP-01	Human	RNase P	ZooWVU	1816	1816	29.9126997199802	6255.6171496	103.040967708779	100	NA	NA	Missing controls: HEX	NA	NA	NA
H01-0336.a1	H01-0336	09/07/2022 8:00	09/08/2022 8:00	Routine Surveillance	1.5	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	623091.63825	623091.63825	5192.43031875	3537985.9775219	29483.2164793492	100	4.90899206	938.600464	yes	NA	NA	NA
E01-0098.a2	E01-0098	04/21/2022 9:45	04/22/2022 9:45	Routine Surveillance	2.152	Pass	PrincetonWWTP-01	SARS-CoV-2	N2	ZooWVU	42886.80912	42886.80912	119.130025333333	349364.623950741	970.457288752059	100	0	445.7647324	yes	-0.544420307295363	FALSE	FALSE
J01-0510.a4	J01-0510	12/01/2024 07:30 AM	12/02/2024 07:30 AM	Routine Surveillance	0.199	Pass	AlpineLakeWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	14904.1056074202	14904.1056074202	2129.15794391717	11227.2119310695	1603.88741872422	100	0	NA	yes	NA	NA	NA
N02-0107.a3	N02-0107	08/31/2022 7:00	09/01/2022 7:00	Routine Surveillance	11.876	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	1957	1957	7.38546305381538	87977.97056612	332.0173996759	100	NA	NA	Missing controls: HEX	NA	NA	NA
N02-0400.a1	N02-0400	08/29/2023 7:00	08/30/2023 7:00	Routine Surveillance	11.2	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	18510.381744375	18510.381744375	69.8557692821156	784777.102580515	2961.64654909999	100	0	125.04372596	yes	NA	NA	NA
A03-0055.a3	A03-0055	10/29/2021 6:00	10/29/2021 13:50	Routine Surveillance	NA	Pass	MorgantownHS-01	Human	RNase P	ZooWVU	1992	5976	322.852512155592	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-0474.a3	A01-0474	01/27/2023 0:00	01/28/2023 0:00	Routine Surveillance	10.6	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	182368.34854125	182368.34854125	377.355463791694	7317593.08466625	15141.5185496322	100	NA	NA	Missing controls: HEX	NA	NA	NA
N03-0448.a3	N03-0448	09/06/2023 8:00	09/07/2023 8:00	Routine Surveillance	0.45464	Pass	SalemWWTP-01	Human	RNase P	ZooWVU	1854	1854	100.053966540745	3190.7317796496	172.192756591991	100	NA	NA	Missing controls: HEX	NA	NA	NA
Q01-0144.a1	Q01-0144	10/02/2022 8:00	10/03/2022 8:00	Routine Surveillance	0.499	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	557864.28995625	557864.28995625	12247.2950594127	1053760.7858598	23134.1555622349	100	0	997.342148	yes	NA	NA	NA
E02-0009.a3	E02-0009	11/15/2021 8:00	11/16/2021 8:00	Routine Surveillance	0.119	Pass	AthensWWTP-01	Human	RNase P	ZooWVU	23766.240594375	23766.240594375	993.987477807403	10705.830812194	447.755366465663	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-1277.a2	A02-1277	05/10/2023 9:00	05/12/2023 9:00	Routine Surveillance	NA	Pass	TowersBB-01	SARS-CoV-2	N2	ZooWVU	9428.255608125	4714.1278040625	521.474314608684	NA	NA	100	6.27734184	864.3574524	yes	-0.411079905763902	FALSE	FALSE
A01-0068.a3	A01-0068	10/20/2021 0:00	10/20/2021 23:55	Routine Surveillance	7.189	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	2607	2607	5.39438834630028	70945.10566143	146.799175760284	100	NA	NA	Missing controls: HEX	NA	NA	NA
U01-0181.a5	U01-0181	10/05/2025 09:00 AM	10/06/2025 09:00 AM	Routine Surveillance	0.095	Pass	WhiteOakWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	1728	1728	65.8035034272658	621.4129056	23.6638577913176	100	0	NA	yes	-0.456976571142005	FALSE	FALSE
K01-0188.a1	K01-0188	01/02/2023 6:30	01/03/2023 6:30	Routine Surveillance	5.215	Pass	ParkersburgWWTP-01	SARS-CoV-2	N1	ZooWVU	2454243.4645875	2454243.4645875	5107.6867109001	48449007.0833769	100830.399757288	100	0	NA	yes	NA	NA	NA
O01-0110.a1	O01-0110	07/29/2022 6:10	07/30/2022 6:10	Routine Surveillance	2.89	Pass	GraftonWWTP-01	SARS-CoV-2	N1	ZooWVU	9283.554375	9283.554375	152.916395569099	101560.552147673	1672.88012102903	100	4.84955042	411.5738676	yes	NA	NA	NA
A01-0672.a2	A01-0672	09/16/2023 0:00	09/17/2023 0:00	Routine Surveillance	9.7	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	2096572.91664375	2096572.91664375	4338.21576858912	76982964.4186064	159292.675919977	100	0	128.74325752	yes	0.0369795546015273	FALSE	FALSE
O01-0417.a3	O01-0417	07/25/2023 7:00	07/26/2023 7:00	Routine Surveillance	0.81	Pass	GraftonWWTP-01	Human	RNase P	ZooWVU	9374.998228125	9374.998228125	154.42263594342	28745.4517546086	473.48792216453	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-1115.a3	A01-1115	12/08/2024 12:00 AM	12/09/2024 12:00 AM	Routine Surveillance	13	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	245455.718636513	245455.718636513	507.895461505779	12078956.9144899	24993.7032662017	100	0	269.37702178955	yes	NA	NA	NA
O01-0446.a2	O01-0446	10/15/2023 8:00	10/16/2023 8:00	Routine Surveillance	0.78	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	712168.13566875	712168.13566875	11730.6561632145	2102761.73830464	34636.167654499	100	0	85039.34572	yes	-0.0402501753974069	FALSE	FALSE
C01-0355.a3	C01-0355	02/10/2023 7:00	02/11/2023 7:00	Routine Surveillance	7.56	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	10084.406904375	10084.406904375	20.16881380875	288592.52743357	577.185054867139	100	NA	NA	Missing controls: HEX	NA	NA	NA
O01-0211.a2	O01-0211	11/08/2022 7:00	11/09/2022 7:00	Routine Surveillance	0.62	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	300914.71015125	300914.71015125	4956.5921619379	706233.042831259	11632.8947921472	100	0	970.5236052	yes	-0.0438774205576431	FALSE	FALSE
M04-0174.a3	M04-0174	01/19/2023 12:00	01/20/2023 12:00	Routine Surveillance	0.496	Pass	FarmingtonWWTP-01	Human	RNase P	ZooWVU	602	602	98.6885245901639	1130.29314272	185.293957822951	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-0585.a1	A01-0585	06/06/2023 0:00	06/07/2023 0:00	Routine Surveillance	6.4	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	383323.852875	383323.852875	793.171355890995	9286642.85383394	19215.8642067413	100	5.61717748	632.4588396	yes	NA	NA	NA
S01-0034.a2	S01-0034	04/14/2022 6:00	04/15/2022 6:00	Routine Surveillance	0.709	Pass	FollansbeeWWTP-01	SARS-CoV-2	N2	ZooWVU	24309.359323125	24309.359323125	375.840434804035	65242.8123396236	1008.70148948088	100	0	1039.6018982	yes	-0.457731500475418	FALSE	FALSE
A01-0158.a1	A01-0158	01/22/2022 0:00	01/23/2022 0:00	Routine Surveillance	10.2	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	565406.4918375	565406.4918375	1169.93563118172	21831012.9603192	45172.5975838421	100	0	6466.830444	yes	NA	NA	NA
A03-0165.a1	A03-0165	01/05/2022 6:00	01/05/2022 14:00	Routine Surveillance	NA	Pass	NorthES-01	SARS-CoV-2	N1	ZooWVU	1312671.5257125	3938014.5771375	572385.839700218	NA	NA	100	0	9519.69986	yes	NA	NA	NA
G01-0343.a5	G01-0343	04/21/2023 9:00	04/22/2023 9:00	Routine Surveillance	0.841	Pass	KeyserWWTP-01	Human	RNase P	ZooWVU	54111.782105625	54111.782105625	662.48508944203	172266.471405482	2109.04103091922	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-1283.a10	A01-1283	06/27/2025 12:00 AM	06/28/2025 12:00 AM	Routine Surveillance	10.2	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	86175.6402254103	86175.6402254103	178.314104091645	3327343.32870984	6884.91832624946	100	0	NA	yes	NA	NA	NA
K01-0555.a1	K01-0555	09/22/2025 06:30 AM	09/23/2025 06:30 AM	Routine Surveillance	3.834	Pass	ParkersburgWWTP-01	Influenza Virus A	M	ZooWVU	1457	1457	3.03225806451613	21145.82264658	44.00795556	100	0	NA	yes	-0.418052135343671	FALSE	FALSE
A01-0295.a2	A01-0295	07/02/2022 0:00	07/03/2022 0:00	Routine Surveillance	6.12	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	431667.39825	431667.39825	893.203522285218	10000313.0863783	20692.5862571974	100	0	6336.045074	yes	-0.0303855017678563	FALSE	FALSE
A01-0771.a2	A01-0771	01/06/2024 12:00 AM	01/07/2024 12:00 AM	Routine Surveillance	12.7	Pass	StarCityWWTP-01	Human Norovirus GI	ORF1_2	ZooWVU	518	518	1.07184241019699	24902.698226	51.528509820394	100	314.258766174316	0	NTC above threshold	NA	NA	NA
O01-0479.a4	O01-0479	02/18/2024 07:00 AM	02/19/2024 07:00 AM	Routine Surveillance	1.31	Pass	GraftonWWTP-01	Human	RNase P	ZooWVU	17	17	0.280019766101137	84.3010807	1.38858640586394	100	0	NA	yes	NA	NA	NA
U01-0084.a1	U01-0084	05/04/2025 09:00 AM	05/05/2025 09:00 AM	Routine Surveillance	0.398	Pass	WhiteOakWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	2113	2113	80.4645849200305	3183.43138934	121.227394872049	100	0.314929932355881	NA	yes	-0.0403162942797412	FALSE	FALSE
E02-0194.a2	E02-0194	09/02/2022 8:00	09/03/2022 8:00	Routine Surveillance	0.095	Pass	AthensWWTP-01	SARS-CoV-2	N2	ZooWVU	1012654.1874375	1012654.1874375	42352.7472788582	364164.57232844	15230.638742302	100	0	1049.9540712	yes	-0.0525285031626162	FALSE	FALSE
Q01-0583.a5	Q01-0583	10/20/2024 08:00 AM	10/21/2024 08:00 AM	Routine Surveillance	0.244	Pass	MadisonWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	831596.564054491	831596.564054491	18256.785160362	768095.883687152	16862.6977757882	100	0	414.715995788574	yes	NA	NA	NA
L01-0301.a2	L01-0301	01/16/2023 9:00	01/17/2023 9:00	Routine Surveillance	0.287	Pass	WestUnionWWTP-01	SARS-CoV-2	N2	ZooWVU	82460.63994375	82460.63994375	14620.6808410904	89586.2840111981	15884.0929097869	100	4.661251	NA	yes	-0.225646220330134	FALSE	FALSE
O01-0032.a2	O01-0032	02/24/2022 9:00	02/25/2022 9:00	Routine Surveillance	1.97	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	57833.267325	57833.267325	952.615175835941	431277.578075515	7103.89685513943	100	0	7121.788788	yes	-0.0445915704938732	FALSE	FALSE
C01-0188.a2	C01-0188	06/01/2022 7:00	06/02/2022 7:00	Routine Surveillance	9.462	Pass	WheelingWWTP-01	SARS-CoV-2	N2	ZooWVU	62128.62679875	62128.62679875	124.2572535975	2225295.16076096	4450.59032152193	100	5488.799286	25.20895898	NTC above threshold	NA	NA	NA
P01-1019.a3	P01-1019	05/24/2026 07:00 AM	05/25/2026 07:00 AM	Routine Surveillance	0.397	Pass	StMarysWWTP-01	SARS-CoV-2	SC2	ZooWVU	2771	2771	95.8160442600277	4164.28033067	143.993095804633	100	NA	NA	Missing controls: all	-0.441722871072633	FALSE	FALSE
E02-0197.a2	E02-0197	09/08/2022 8:00	09/09/2022 8:00	Routine Surveillance	0.126	Pass	AthensWWTP-01	SARS-CoV-2	N2	ZooWVU	4005612.5743125	4005612.5743125	167528.756767566	1910523.62276096	79904.7939255945	100	24.77888584	1154.14299	NTC above threshold	NA	NA	NA
J01-0330.a1	J01-0330	08/17/2023 7:30	08/18/2023 7:30	Routine Surveillance	0.07	Pass	AlpineLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	1514062.90755	1514062.90755	216294.701078571	401194.420960819	57313.4887086885	100	0	NA	yes	NA	NA	NA
L01-0501.a3	L01-0501	08/31/2023 9:00	09/01/2023 9:00	Routine Surveillance	0.189	Pass	WestUnionWWTP-01	Human	RNase P	ZooWVU	541	541	95.9219858156028	387.05438709	68.6266643776596	100	NA	NA	Missing controls: HEX	NA	NA	NA
U01-0087.a1	U01-0087	03/23/2025 09:00 AM	03/24/2025 09:00 AM	Routine Surveillance	0.44	Pass	WhiteOakWWTP-01	SARS-CoV-2	N2	ZooWVU	8756.48656859994	8756.48656859994	333.453410837774	14584.6324015233	555.393465404543	100	0.283551216125489	NA	yes	-0.183196335931443	FALSE	FALSE
G01-0425.a2	G01-0425	08/21/2023 8:00	08/22/2023 8:00	Routine Surveillance	0.559	Pass	KeyserWWTP-01	SARS-CoV-2	N2	ZooWVU	867079.88994375	867079.88994375	10615.5716202712	1834779.36338131	22463.0186506037	100	0	NA	yes	0.145554415491628	FALSE	FALSE
A01-0520.a1	A01-0520	03/21/2023 0:00	03/22/2023 0:00	Routine Surveillance	7.8	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	892527.51215625	892527.51215625	1846.81243203991	26352944.0443728	54529.3495372721	100	0	1004.927292	yes	NA	NA	NA
Q01-0440.a3	Q01-0440	08/18/2023 8:00	08/19/2023 8:00	Routine Surveillance	0.228	Pass	MadisonWWTP-01	Human	RNase P	ZooWVU	25494.17204625	25494.17204625	559.696422530187	22003.3437876757	483.059139136679	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-0477.a3	A01-0477	01/30/2023 0:00	01/31/2023 0:00	Routine Surveillance	15.1	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	122509.33441875	122509.33441875	253.49556037649	7002595.69999142	14489.727900992	100	NA	NA	Missing controls: HEX	NA	NA	NA
Q01-0147.a1	Q01-0147	10/05/2022 8:00	10/06/2022 8:00	Routine Surveillance	0.295	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	396961.3444125	396961.3444125	8714.84839544457	443285.125611994	9731.83590805695	100	0	14.97536064	yes	NA	NA	NA
A02-1274.a2	A02-1274	05/08/2023 9:00	05/10/2023 9:00	Routine Surveillance	NA	Pass	HonorsSummit-01	SARS-CoV-2	N2	ZooWVU	9082.838529375	4541.4192646875	519.613188179348	NA	NA	100	0	859.318466	yes	-0.285811357474068	FALSE	FALSE
E01-0612.a3	E01-0612	04/08/2025 09:00 AM	04/09/2025 09:00 AM	Routine Surveillance	4.488	Pass	PrincetonWWTP-01	SARS-CoV-2	SC2	ZooWVU	169912.733137607	169912.733137607	471.979814271132	2886633.84384918	8018.4273440255	100	0	720.740356445312	yes	-0.0958770047870403	FALSE	FALSE
J01-0186.a1	J01-0186	12/04/2022 7:30	12/05/2022 7:30	Routine Surveillance	0.201	Pass	AlpineLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	635	635	90.7142857142857	483.15080535	69.0215436214286	100	0	730.0078584	yes	NA	NA	NA
A01-0271.a2	A01-0271	06/10/2022 0:00	06/11/2022 12:00	Routine Surveillance	2.8	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	419378.29265625	419378.29265625	867.77498066597	4445052.59185091	9197.67545077575	100	0	3698.53096	yes	-0.0359724773341757	FALSE	FALSE
A01-0795.a2	A01-0795	02/10/2024 12:00 AM	02/11/2024 12:00 AM	Routine Surveillance	7.7	Pass	StarCityWWTP-01	Human Norovirus GII	ORF1_2	ZooWVU	14219442.3866272	14219442.3866272	29422.7826242079	414463429.416671	857605.175915973	100	NA	NA	Missing controls: all	NA	NA	NA
L01-0626.a4	L01-0626	06/29/2025 08:00 AM	06/30/2025 08:00 AM	Routine Surveillance	0.306	Pass	WestUnionWWTP-01	SARS-CoV-2	SC2	ZooWVU	1333	1333	236.347517730496	1544.06116818	273.769710670213	100	0	NA	yes	-0.241592165671277	FALSE	FALSE
M04-0177.a3	M04-0177	02/02/2023 0:00	02/03/2023 0:00	Routine Surveillance	0.125	Pass	FarmingtonWWTP-01	Human	RNase P	ZooWVU	18347.437198125	18347.437198125	3007.77658985656	8681.5715305193	1423.20844762611	100	NA	NA	Missing controls: HEX	NA	NA	NA
S01-0037.a2	S01-0037	04/11/2022 6:00	04/12/2022 6:00	Routine Surveillance	0.756	Pass	FollansbeeWWTP-01	SARS-CoV-2	N2	ZooWVU	1928	1928	29.8082869511441	5517.49248288	85.3044601558442	100	0	720.8398818	yes	-0.527303009412362	FALSE	FALSE
N03-0105.a1	N03-0105	06/29/2022 7:30	06/30/2022 7:30	Routine Surveillance	0.39441	Pass	SalemWWTP-01	SARS-CoV-2	N1	ZooWVU	11599.945846875	11599.945846875	626.008950182137	17318.7604231517	934.633590024376	100	0	5914.488984	yes	NA	NA	NA
O01-0414.a3	O01-0414	08/02/2023 7:00	08/03/2023 7:00	Routine Surveillance	0.65	Pass	GraftonWWTP-01	Human	RNase P	ZooWVU	10440.357155625	10440.357155625	171.970962866496	25688.6710473084	423.137391653902	100	NA	NA	Missing controls: HEX	NA	NA	NA
B01-0267.a3	B01-0267	10/20/2022 7:00	10/21/2022 7:00	Routine Surveillance	5.91	Pass	CharlestonWWTP-01	Human	RNase P	ZooWVU	8671.77344625	8671.77344625	17.3435468925	194002.94791411	388.00589582822	100	NA	NA	Missing controls: HEX	NA	NA	NA
O01-0586.a4	O01-0586	09/28/2025 08:00 AM	09/29/2025 08:00 AM	Routine Surveillance	0.74	Pass	GraftonWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	635571.477413179	635571.477413179	10468.9750850466	1780364.98347282	29325.7286027478	100	0	NA	yes	NA	NA	NA
A02-0057.a1	A02-0057	08/27/2021 10:40	08/27/2021 10:40	Routine Surveillance	NA	Pass	NorthHighSt-02	SARS-CoV-2	N1	ZooWVU	880934.596125	440467.2980625	NA	NA	NA	100	0	52301.8982	yes	NA	NA	NA
B01-0461.a2	B01-0461	04/03/2023 7:00	04/04/2023 7:00	Routine Surveillance	12.1	Pass	CharlestonWWTP-01	SARS-CoV-2	N2	ZooWVU	278502.73936125	278502.73936125	557.0054787225	12756389.3607262	25512.7787214524	100	5.27225674	1128.8243104	yes	-0.180108477924827	FALSE	FALSE
N02-0104.a3	N02-0104	06/29/2022 8:00	06/30/2022 8:00	Routine Surveillance	5.68	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	1769	1769	6.67597554532418	38035.4968472	143.541010065665	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-0872.a2	A01-0872	05/02/2024 12:00 AM	05/03/2024 12:00 AM	Routine Surveillance	8.3	Pass	StarCityWWTP-01	Human Norovirus GII	ORF1_2	ZooWVU	5696905.31730651	5696905.31730651	11788.0014014785	178990515.564638	370366.072596916	100	NA	NA	Missing controls: all	NA	NA	NA
B01-0449.a1	B01-0449	04/30/2023 7:00	05/01/2023 7:00	Routine Surveillance	7.793	Pass	CharlestonWWTP-01	SARS-CoV-2	N1	ZooWVU	338163.290634375	338163.290634375	676.32658126875	9975715.6686881	19951.4313373762	100	0	762.5631712	yes	NA	NA	NA
A02-0703.a2	A02-0703	10/10/2022 9:00	10/12/2022 9:00	Routine Surveillance	NA	Pass	UPlace-01	SARS-CoV-2	N2	ZooWVU	8582.980164375	4291.4900821875	NA	NA	NA	100	4.55698282	29.95310544	yes	-0.23417518018888	FALSE	FALSE
N02-0263.a2	N02-0263	04/13/2023 7:00	04/14/2023 7:00	Routine Surveillance	7.086	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	38064.405166875	38064.405166875	143.650106298117	1021017.34641598	3853.18645337753	100	0	886.5565492	yes	-0.463960439944564	FALSE	FALSE
R02-0396.a3	R02-0396	08/28/2023 6:00	08/29/2023 6:00	Routine Surveillance	1.479	Pass	ElkinsWWTP-01	Human	RNase P	ZooWVU	21901.91576625	21901.91576625	166.478532732213	122620.534090906	932.050274330385	100	NA	NA	Missing controls: HEX	NA	NA	NA
N03-0031.a3	N03-0031	03/09/2022 7:30	03/10/2022 7:30	Routine Surveillance	0.87	Pass	SalemWWTP-01	Human	RNase P	ZooWVU	1452	1452	78.35941716136	4781.8813284	258.061593545602	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-0460.a1	A02-0460	04/18/2022 9:00	04/20/2022 9:00	Routine Surveillance	NA	Pass	HonorsSummit-01	SARS-CoV-2	N1	ZooWVU	4938.057879375	2469.0289396875	282.497590353261	NA	NA	100	0	1449.8768806	yes	NA	NA	NA
A02-0167.a3	A02-0167	10/11/2021 9:58	10/13/2021 9:58	Routine Surveillance	NA	Pass	HonorsSummit-01	Human	RNase P	ZooWVU	74360.3226675	37180.16133375	4254.02303589817	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
N02-0099.a2	N02-0099	05/22/2022 7:00	05/23/2022 7:00	Routine Surveillance	5.84	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	6463.043930625	6463.043930625	24.390685827704	142877.183372495	539.199876868046	100	0	53.74772548	yes	-0.575981313929621	FALSE	FALSE
H01-0484.a3	H01-0484	02/10/2023 8:00	02/11/2023 8:00	Routine Surveillance	1.6	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	40730.620850625	40730.620850625	339.421840421875	246691.359158663	2055.76132632219	100	NA	NA	Missing controls: HEX	NA	NA	NA
A01-1403.a3	A01-1403	11/09/2025 12:00 AM	11/10/2025 12:00 AM	Routine Surveillance	7.7	Pass	StarCityWWTP-01	SARS-CoV-2	SC2	ZooWVU	43420.8226203919	43420.8226203919	89.8460987841249	1265615.24439702	2618.80327014779	100	0.168312394193241	NA	yes	-0.0391700661407433	FALSE	FALSE
A01-1202.a1	A01-1202	03/19/2025 12:00 AM	03/20/2025 12:00 AM	Routine Surveillance	8.4	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	82326.7373442649	82326.7373442649	170.349977951219	2617779.82040697	5416.69388430511	100	0.283551216125489	NA	yes	-0.0378101820353531	FALSE	FALSE
H01-0682.a2	H01-0682	08/19/2023 8:00	08/20/2023 8:00	Routine Surveillance	1.5	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N2	ZooWVU	18200.261131875	18200.261131875	151.668842765625	103343.175736816	861.193131140137	100	5.26453376	125.43695448	yes	-0.234964855292809	FALSE	FALSE
A02-0607.a1	A02-0607	08/24/2022 9:00	08/26/2022 9:00	Routine Surveillance	NA	Pass	NorthHighSt-02	SARS-CoV-2	N1	ZooWVU	1690765.03047	845382.515235	NA	NA	NA	100	10.8888352	467.9084776	NTC above threshold	NA	NA	NA
M03-0133.a2	M03-0133	09/23/2022 11:00	09/24/2022 11:00	Routine Surveillance	0.458	Pass	ManningtonWWTP-01	SARS-CoV-2	N2	ZooWVU	751697.502075	751697.502075	68899.8627016499	1303231.32452901	119452.917005409	100	0	1142.7227784	yes	2.63091205087204	FALSE	FALSE
A01-1157.a5	A01-1157	01/28/2025 12:00 AM	01/29/2025 12:00 AM	Routine Surveillance	11.5	Pass	StarCityWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	4316.04340206833	4316.04340206833	8.93073042970604	187886.92932817	388.774477173006	100	3.4563298523426	434.378204345704	yes	-0.0142625661864257	FALSE	FALSE
A0039.a1	A0039	12/13/2020 12:00	12/13/2020 11:59	Routine Surveillance	6.302	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	2173	2173	4.49635821883794	51838.33575086	107.26356511931	100	0	NA	yes	NA	NA	NA
H01-0575.a1	H01-0575	05/04/2023 8:00	05/05/2023 8:00	Routine Surveillance	1.8	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	41443.995016875	41443.995016875	345.366625140625	282388.523718292	2353.23769765243	100	6.27734184	748.679962	yes	NA	NA	NA
R01-0486.a3	R01-0486	05/14/2024 09:00 AM	05/15/2024 09:00 AM	Routine Surveillance	0.192	Pass	HuttonsvilleWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	1590	1590	75.6782484531176	1155.6099648	55.0028541075678	100	0	NA	yes	0.391836182747509	FALSE	FALSE
A01-0967.a3	A01-0967	08/13/2024 12:00 AM	08/14/2024 12:00 AM	Routine Surveillance	6.6	Pass	StarCityWWTP-01	Influenza Virus A	M	ZooWVU	579	579	1.19806323456381	14465.565774	29.9320596217514	100	NA	NA	Missing controls: all	-0.456016243610513	FALSE	FALSE
D01-0557.a1	D01-0557	11/11/2024 07:05 AM	11/12/2024 07:05 AM	Routine Surveillance	1.18	Pass	CharlesTownWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	6415.51762819289	6415.51762819289	37.73833898937	28656.7302102264	168.569001236626	100	7.20562279224396	NA	yes	0.209588476384806	FALSE	FALSE
J01-0391.a4	J01-0391	01/28/2024 07:30 AM	01/29/2024 07:30 AM	Routine Surveillance	0.418	Pass	AlpineLakeWWTP-01	Human	RNase P	ZooWVU	2392	2392	341.714285714286	3784.86490096	540.694985851429	100	1.39117047190666	NA	yes	NA	NA	NA
K01-0343.a3	K01-0343	09/05/2023 6:30	09/06/2023 6:30	Routine Surveillance	4.117	Pass	ParkersburgWWTP-01	Human	RNase P	ZooWVU	1727	1727	3.59417273673257	26914.48843919	56.0135035154839	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-0739.a2	A02-0739	10/29/2022 9:00	10/31/2022 9:00	Routine Surveillance	NA	Pass	OaklandE-02	SARS-CoV-2	N2	ZooWVU	34102.330606875	17051.1653034375	1978.09342267256	NA	NA	100	4.91745562	0	yes	-0.257544174316176	FALSE	FALSE
