assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
N02-0204.a2	N02-0204	11/30/2022 7:00	12/01/2022 7:00	Routine Surveillance	11.68	Pass	ClarksburgWWTP-01	SARS-CoV-2	N2	ZooWVU	217785.71250375	217785.71250375	821.894907176957	9629087.93915582	36338.9234627361	100	0	712.7545928	yes	0.634137143682339	FALSE	FALSE
N03-0609.a5	N03-0609	10/05/2025 08:00 AM	10/06/2025 08:00 AM	Routine Surveillance	0.176	Pass	SalemWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	963	963	51.9697787371829	641.58157008	34.6239379427955	100	0	NA	yes	-0.603589735606446	FALSE	FALSE
M04-0054.a2	M04-0054	06/01/2022 11:00	06/02/2022 11:00	Routine Surveillance	0.085	Pass	FarmingtonWWTP-01	SARS-CoV-2	N2	ZooWVU	34294.17483	34294.17483	5621.99587377049	11034.4885491746	1808.93254904501	100	5488.799286	25.20895898	NTC above threshold	NA	NA	NA
L01-0222.a2	L01-0222	08/14/2022 9:00	08/15/2022 9:00	Routine Surveillance	0.315	Pass	WestUnionWWTP-01	SARS-CoV-2	N2	ZooWVU	1121452.2206625	1121452.2206625	198839.046216755	1337224.28194468	237096.503890901	100	7.54298926	1003.530426	yes	0.000322260225534155	FALSE	FALSE
A01-0761.a1	A01-0761	12/25/2023 12:00 AM	12/26/2023 12:00 AM	Routine Surveillance	7.9	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	717194.820642471	717194.820642471	1484.01510644444	21447523.9234649	44379.0844302783	100	0	0	yes	-0.0188729386194112	FALSE	FALSE
P01-0155.a6	P01-0155	10/24/2024 08:00 AM	10/25/2024 08:00 AM	Routine Surveillance	0.142	Pass	StMarysWWTP-01			ZooWVU	331	331	11.4453665283541	177.92184082	6.15220749723375	100	NA	NA	Missing controls:	NA	NA	NA
C01-0080.a3	C01-0080	02/16/2022 7:00	02/17/2022 7:00	Routine Surveillance	8.731	Pass	WheelingWWTP-01	Human	RNase P	ZooWVU	11426.325841875	11426.325841875	22.85265168375	377644.807685559	755.289615371117	100	NA	NA	Missing controls: HEX	NA	NA	NA
M03-1014.a3	M03-1014	04/05/2026 08:00 AM	04/06/2026 08:00 AM	Routine Surveillance	0.559	Pass	ManningtonWWTP-01	SARS-CoV-2	SC2	ZooWVU	2338	2338	214.298808432631	4947.31131622	453.465748507791	100	NA	NA	Missing controls: all	-0.508651935421454	FALSE	FALSE
A01-0850.a4	A01-0850	04/07/2024 12:00 AM	04/08/2024 12:00 AM	Routine Surveillance	11.9	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	17276.4161601663	17276.4161601663	35.7482539318124	778239.990112575	1610.32939520066	100	0	NA	yes	NA	NA	NA
N02-0019.a1	N02-0019	03/23/2022 7:00	03/24/2022 7:00	Routine Surveillance	12.36	Pass	ClarksburgWWTP-01	SARS-CoV-2	N1	ZooWVU	184	184	0.694392029587139	8608.9308384	32.4889834644124	100	0	6790.800476	yes	NA	NA	NA
A01-0879.a12	A01-0879	05/09/2024 12:00 AM	05/10/2024 11:59 PM	Routine Surveillance	10.8	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	35173.721127212	35173.721127212	72.7812471594356	1437987.12147533	2975.47409674583	100	0.797033061583837	NA	yes	NA	NA	NA
A03-0175.a2	A03-0175	01/14/2022 6:00	01/14/2022 14:00	Routine Surveillance	NA		SuncrestES-01	SARS-CoV-2	N2	ZooWVU	7408.614080625	22225.842241875	4315.69752269417	NA	NA	100	0	0	yes	NA	NA	NA
A04-0454.a3	A04-0454	07/03/2023 0:00	07/04/2023 0:00	Routine Surveillance	0.508	Pass	CheatLakeWWTP-01	Human	RNase P	ZooWVU	77881.936141875	77881.936141875	3894.09680709375	149766.050424534	7488.3025212267	100	NA	NA	Missing controls: HEX	NA	NA	NA
E01-0744.a4	E01-0744	05/21/2025 09:00 AM	05/22/2025 09:00 AM	Routine Surveillance	5.093	Pass	PrincetonWWTP-01	SARS-CoV-2	SC2	ZooWVU	70051.9052892923	70051.9052892923	194.58862580359	1350537.20600621	3751.49223890613	100	0	NA	yes	-0.367431104567432	FALSE	FALSE
