location_id	location_primary_lab	location_status	location_common_name	location_category	location_group	location_lng	location_lat	location_primary_wwtp_id	location_counties_served	location_population_served	location_sampler_type	location_collection_window_hrs	location_collection_pull_ml	location_collection_step_min	location_collection_basis	location_collection_type	location_zipcode	location_comment
ClarksburgWWTP-01	ZooWVU	active	Clarksburg	wwtp	sentinel	-80.33857	39.27931	ClarksburgWWTP	Harrison	26,498	Facility hardware	24			flow	raw wastewater	26301	
CollegePark-02	ZooWVU	inactive	College Park Apartments	higher ed dorm	non-sentinel	-79.9458019	39.6362083	StarCityWWTP	Monongalia	567	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates all of College Park Apartments.
COM	MUIDSL	inactive	MU Commons	higher ed dorm	non-sentinel				Cabell							raw wastewater		
CSB	MUIDSL	inactive	Charleston	wwtp	non-sentinel	-81.67955423	38.37373553	CharlestonSanitaryBoardWWTP	Kanawha	49500	Facility hardware	24			flow	raw wastewater	25387	
Dadisman-02	ZooWVU	inactive	WVU Dadisman Hall	higher ed dorm	non-sentinel	-79.9530932	39.6364231	StarCityWWTP	Monongalia	639	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates WVU Dadisman Hall.
Domain-01	ZooWVU	inactive	The Domain	higher ed dorm	non-sentinel	-80.0004209	39.6535571	StarCityWWTP	Monongalia	912	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates The Domain (apartments).
DUN	MUIDSL	inactive	Dunbar	wwtp	non-sentinel	-81.75870918	38.36851901	DunbarWWTP	Kanawha	9000	Facility hardware	24	25	20	time	raw wastewater	25064	
ElkinsWWTP-01	ZooWVU	active	Elkins	wwtp	sentinel	-79.86543	38.92026	ElkinsWWTP	Randolph	13,156	WVU ISCO	24	25	20	time	raw wastewater	26241	
Evansdale-01	ZooWVU	active	WVU Evansdale	mixed use	sentinel	-79.9721575	39.6500969	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.
Evolution-01	ZooWVU	inactive	Evolution (top)	higher ed dorm	non-sentinel	-79.9562341	39.6679098	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	The creekside pipe (south?) captures all of CEV to the south side of the creek. It also captures a small portion of residential above CEV. The north pipe (parking lot side) captures the smaller CEV portion on this side of the creek. This north pipe is Evolution-02; it can be sampled here, but might be easier via the adjacent site marked on the map
Evolution-02	ZooWVU	inactive	Evolution (bottom)	higher ed dorm	non-sentinel	-79.9562046	39.6681122	StarCityWWTP	Monongalia	NA	WVU ISCO	48	25	30	time	raw wastewater	26505	Three-way junction. Sample from the outflow closer to the yard to catch all of this portion of the CEV complex. This flow can also be captured in the access for Evolution-01
FairmontWWTP-01	ZooWVU	withdrawn	Fairmont	wwtp	non-sentinel	-80.12445	39.49395	FairmontWWTP	Marion	25,525	WVU ISCO	24	25	30	time	raw wastewater	26554	
FarmingtonWWTP-01	ZooWVU	active	Farmington	wwtp	non-sentinel	-80.24933	39.51181	FarmingtonWWTP	Marion	610	WVU ISCO	24	25	20	time	raw wastewater	26571	
FollansbeeWWTP-01	ZooWVU	inactive	Follansbee	wwtp	non-sentinel	-80.59829	40.3258	FollansbeeWWTP	Brooke	6,468	WVU ISCO	24	25	20	time	raw wastewater	26037	
GraftonWWTP-01	ZooWVU	active	Grafton	wwtp	non-sentinel	-80.01837	39.33877	GraftonWWTP	Taylor	6,071	Facility hardware	24			flow	raw wastewater	26354	
Hazelton-01	ZooWVU	inactive	Hazelton Correctional	correctional	non-sentinel	-79.51524	39.66807	HazeltonWWTP	Preston	1,948						raw wastewater	26525	
HonorsSummit-01	ZooWVU	active	WVU Honors & Summit	higher ed dorm	sentinel	-79.9567626	39.6378753	StarCityWWTP	Monongalia	874	WVU ISCO	48	25	30	time	raw wastewater	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).
