Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
B12,,,,,1,28.1681804656982,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,563.363586425781,,,30.8459987640381,25.4960479736328,19237,426,18811,,,,,,,,,7932.193359375,,,1.65066360038542,19.0355336154399,,,,,,,,,,,,8891.47601347014,4870.40777255963,4959.45362537596,,,,,29.5337009429932,26.8041381835938,,,,,,,,,,,,,No,0,0,0,0
C01,,,,,1,109.174209594727,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,2183.48413085938,,,114.863311767578,103.510711669922,17105,1422,15683,,,,,,,,,7205.7783203125,,,3.36520130880729,10.5950997880888,,,,,,,,,,,,8676.08895268823,5011.24686608621,5315.91833332667,,,,,112.073600769043,106.281478881836,,,,,,,,,,,,,No,0,0,0,0
C02,,,,,1,73.8892059326172,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1477.7841796875,,,78.5198669433594,69.2755279541016,17213,982,16231,,,,,,,,,8191.62744140625,,,2.42987586826937,11.5290069216489,,,,,,,,,,,,8919.01335861921,5033.32723769451,5255.00525842001,,,,,76.2496566772461,71.5331726074219,,,,,,,,,,,,,No,0,0,0,0
C03,,,,,1,51.5225067138672,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1030.4501953125,,,55.2788276672363,47.7773666381836,18065,725,17340,,,,,,,,,5237.6181640625,,,1.78792589690391,10.4103023429973,,,,,,,,,,,,6016.15963564116,3056.88885120713,3175.65283231506,,,,,53.4375953674316,49.6103286743164,,,,,,,,,,,,,No,0,0,0,0
C04,,,,,1,234.984848022461,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,4699.69677734375,,,243.323394775391,226.701202392578,18075,3080,14995,,,,,,,,,7917.45263671875,,,1.82164493682826,5.38100164704265,,,,,,,,,,,,8883.11090579342,5227.56497637885,5850.47404761519,,,,,239.232315063477,230.751693725586,,,,,,,,,,,,,No,0,0,0,0
C05,,,,,1,210.546203613281,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,4210.923828125,,,218.436553955078,202.705047607422,17901,2759,15142,,,,,,,,,7076.0615234375,,,1.77553758522027,6.42560662751518,,,,,,,,,,,,8116.01988768292,4712.99929830934,5237.49143875299,,,,,214.565719604492,206.539520263672,,,,,,,,,,,,,No,0,0,0,0
C06,,,,,1,13.0326499938965,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,260.653015136719,,,14.959584236145,11.1086616516113,17075,176,16899,,,,,,,,,7724.64599609375,,,2.13752945742997,11.4651125208065,,,,,,,,,,,,8698.97785810991,4879.9854909187,4919.34962893485,,,,,14.0154113769531,12.0506553649902,,,,,,,,,,,,,No,0,0,0,0
C07,,,,,1,46.8105010986328,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,936.210021972656,,,50.3109130859375,43.3198051452637,18861,689,18172,,,,,,,,,7758.2548828125,,,2.04341410137423,17.6182873232629,,,,,,,,,,,,8619.97239120328,4650.10552064936,4795.12637181376,,,,,48.5952072143555,45.0283241271973,,,,,,,,,,,,,No,0,0,0,0
C08,,,,,1,25.2266101837158,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,504.532196044922,,,27.887601852417,22.5712356567383,17426,346,17080,,,,,,,,,7706.3681640625,,,2.63289733652675,15.5944148508555,,,,,,,,,,,,8396.76794645276,4736.57927449068,4809.25374255557,,,,,26.5835571289063,23.8711280822754,,,,,,,,,,,,,No,0,0,0,0
C09,,,,,1,540.504150390625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,10810.0830078125,,,554.242004394531,526.914733886719,17478,6105,11373,,,,,,,,,6998.23095703125,,,2.07083437056704,9.22980329979029,,,,,,,,,,,,8101.44249886428,4858.14533783928,5991.0169002639,,,,,547.494506835938,533.552490234375,,,,,,,,,,,,,No,0,0,0,0
