run_id	sample_id	assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	target	target_category	target_genetic_locus	target_macromolecule	target_fluorophore	target_calculated_copies_per_reaction	target_copies_per_reaction	target_result	notes
M03-0096.a1	M03-0096	1	M03-0096.e1	AP89	C02	0.005	Direct Quantification	20305	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	75.4427433	134382.3865	
M03-0096.a2	M03-0096	2	M03-0096.e1	AP89	C02	0.005	Direct Quantification	20305	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	105.6877041	188256.2229	
M03-0096.a3	M03-0096	3	M03-0096.e1	AP89	C02	0.005	Direct Quantification	20305	Human	Internal Control	RNase P	RNA	HEX	0	1.158827469	2064.161429	
M03-0099.a1	M03-0099	1	M03-0099.e1	AP93	C04	0.005	Direct Quantification	18050	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	43.05713177	76695.51596	
M03-0099.a2	M03-0099	2	M03-0099.e1	AP93	C04	0.005	Direct Quantification	18050	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	41.75121307	74369.34829	
M03-0099.a3	M03-0099	3	M03-0099.e1	AP93	C04	0.005	Direct Quantification	18050	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M03-0100.a1	M03-0100	1	M03-0100.e1	AP93	D04	0.005	Direct Quantification	20047	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	78.77043247	140309.8328	
M03-0100.a2	M03-0100	2	M03-0100.e1	AP93	D04	0.005	Direct Quantification	20047	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	57.58230686	102568.4841	
M03-0100.a3	M03-0100	3	M03-0100.e1	AP93	D04	0.005	Direct Quantification	20047	Human	Internal Control	RNase P	RNA	HEX	0	2.347541898	4181.559007	
M04-0001.a1	M04-0001	1	M04-0001.e1	AP59	E02	0.005	Direct Quantification	10108	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0001.a2	M04-0001	2	M04-0001.e1	AP59	E02	0.005	Direct Quantification	10108	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.327916026	4146.600422	
M04-0001.a3	M04-0001	3	M04-0001.e1	AP59	E02	0.005	Direct Quantification	10108	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0002.a1	M04-0002	1	M04-0002.e1	AP50	G03	0.005	Direct Quantification	17701	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	9.30673182	16577.61605	
M04-0002.a2	M04-0002	2	M04-0002.e1	AP50	G03	0.005	Direct Quantification	17701	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	15.95665216	28422.78667	
M04-0002.a3	M04-0002	3	M04-0002.e1	AP50	G03	0.005	Direct Quantification	17701	Human	Internal Control	RNase P	RNA	HEX	0	2.658690512	4735.792475	
M04-0003.a1	M04-0003	1	M04-0003.e1	AP48	C03	0.005	Direct Quantification	19488	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.20741047	2150.699899	
M04-0003.a2	M04-0003	2	M04-0003.e1	AP48	C03	0.005	Direct Quantification	19488	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0003.a3	M04-0003	3	M04-0003.e1	AP48	C03	0.005	Direct Quantification	19488	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0004.a1	M04-0004	1	M04-0004.e1	AP48	C04	0.005	Direct Quantification	18422	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.277279854	2275.15474	
M04-0004.a2	M04-0004	2	M04-0004.e1	AP48	C04	0.005	Direct Quantification	18422	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.554629147	4550.433168	
M04-0004.a3	M04-0004	3	M04-0004.e1	AP48	C04	0.005	Direct Quantification	18422	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0006.a1	M04-0006	1	M04-0006.e1	AP57	D01	0.005	Direct Quantification	14008	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	219.3821716	390774.4932	
M04-0006.a2	M04-0006	2	M04-0006.e1	AP57	D01	0.005	Direct Quantification	14008	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	195.6578827	348515.6035	
M04-0006.a3	M04-0006	3	M04-0006.e1	AP57	D01	0.005	Direct Quantification	14008	Human	Internal Control	RNase P	RNA	HEX	0	11.76092625	20949.14988	
M04-0007.a1	M04-0007	1	M04-0007.e1	AP53	E01	0.005	Direct Quantification	15994	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	2.942463756	5241.263565	
M04-0007.a2	M04-0007	2	M04-0007.e1	AP53	E01	0.005	Direct Quantification	15994	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	2.942463756	5241.263565	
M04-0007.a3	M04-0007	3	M04-0007.e1	AP53	E01	0.005	Direct Quantification	15994	Human	Internal Control	RNase P	RNA	HEX	0	2.942463756	5241.263565	
M04-0008.a1	M04-0008	1	M04-0008.e1	AP52	F08	0.005	Direct Quantification	14438	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0008.a2	M04-0008	2	M04-0008.e1	AP52	F08	0.005	Direct Quantification	14438	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0008.a3	M04-0008	3	M04-0008.e1	AP52	F08	0.005	Direct Quantification	14438	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0009.a1	M04-0009	1	M04-0009.e1	AP50	G04	0.005	Direct Quantification	16460	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	2.859154344	5092.868675	
M04-0009.a2	M04-0009	2	M04-0009.e1	AP50	G04	0.005	Direct Quantification	16460	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0009.a3	M04-0009	3	M04-0009.e1	AP50	G04	0.005	Direct Quantification	16460	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0010.a1	M04-0010	1	M04-0010.e1	AP48	C05	0.005	Direct Quantification	15038	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	1.564715803	2787.150024	
M04-0010.a2	M04-0010	2	M04-0010.e1	AP48	C05	0.005	Direct Quantification	15038	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.564715803	2787.150024	
M04-0010.a3	M04-0010	3	M04-0010.e1	AP48	C05	0.005	Direct Quantification	15038	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0011.a1	M04-0011	1	M04-0011.e1	AP57	D02	0.005	Direct Quantification	14130	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0011.a2	M04-0011	2	M04-0011.e1	AP57	D02	0.005	Direct Quantification	14130	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0011.a3	M04-0011	3	M04-0011.e1	AP57	D02	0.005	Direct Quantification	14130	Human	Internal Control	RNase P	RNA	HEX	0	16.65799141	29672.0472	
M04-0012.a1	M04-0012	1	M04-0012.e1	AP53	C05	0.005	Direct Quantification	17131	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	5.494637489	9787.323028	
M04-0012.a2	M04-0012	2	M04-0012.e1	AP53	C05	0.005	Direct Quantification	17131	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	8.24243784	14681.8424	
M04-0012.a3	M04-0012	3	M04-0012.e1	AP53	C05	0.005	Direct Quantification	17131	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0013.a1	M04-0013	1	M04-0013.e1	AP52	F07	0.005	Direct Quantification	11657	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0013.a2	M04-0013	2	M04-0013.e1	AP52	F07	0.005	Direct Quantification	11657	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0013.a3	M04-0013	3	M04-0013.e1	AP52	F07	0.005	Direct Quantification	11657	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0014.a1	M04-0014	1	M04-0014.e1	AP50	G06	0.005	Direct Quantification	15820	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0014.a2	M04-0014	2	M04-0014.e1	AP50	G06	0.005	Direct Quantification	15820	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0014.a3	M04-0014	3	M04-0014.e1	AP50	G06	0.005	Direct Quantification	15820	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0015.a1	M04-0015	1	M04-0015.e1	AP48	C06	0.005	Direct Quantification	16369	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0015.a2	M04-0015	2	M04-0015.e1	AP48	C06	0.005	Direct Quantification	16369	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0015.a3	M04-0015	3	M04-0015.e1	AP48	C06	0.005	Direct Quantification	16369	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0016.a1	M04-0016	1	M04-0016.e1	AP57	D03	0.005	Direct Quantification	8405	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0016.a2	M04-0016	2	M04-0016.e1	AP57	D03	0.005	Direct Quantification	8405	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0016.a2.a1	M04-0016.a2	1	M04-0016.e1	AP59	G01	0.005	Direct Quantification	8839	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	2.662149966	4741.954627	
M04-0016.a2.a2	M04-0016.a2	2	M04-0016.e1	AP59	G01	0.005	Direct Quantification	8839	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0016.a2.a3	M04-0016.a2	3	M04-0016.e1	AP59	G01	0.005	Direct Quantification	8839	Human	Internal Control	RNase P	RNA	HEX	0	2.662149966	4741.954627	
M04-0016.a3	M04-0016	3	M04-0016.e1	AP57	D03	0.005	Direct Quantification	8405	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0017.a1	M04-0017	1	M04-0017.e1	AP57	D04	0.005	Direct Quantification	12442	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0017.a2	M04-0017	2	M04-0017.e1	AP57	D04	0.005	Direct Quantification	12442	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.891203672	3368.70654	
M04-0017.a3	M04-0017	3	M04-0017.e1	AP57	D04	0.005	Direct Quantification	12442	Human	Internal Control	RNase P	RNA	HEX	0	3.782559335	6737.683816	
M04-0018.a1	M04-0018	1	M04-0018.e1	AP55	F03	0.005	Direct Quantification	12097	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0018.a2	M04-0018	2	M04-0018.e1	AP55	F03	0.005	Direct Quantification	12097	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0018.a3	M04-0018	3	M04-0018.e1	AP55	F03	0.005	Direct Quantification	12097	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0019.a1	M04-0019	1	M04-0019.e1	AP55	F01	0.005	Direct Quantification	11715	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0019.a2	M04-0019	2	M04-0019.e1	AP55	F01	0.005	Direct Quantification	11715	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0019.a3	M04-0019	3	M04-0019.e1	AP55	F01	0.005	Direct Quantification	11715	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0020.a1	M04-0020	1	M04-0020.e1	AP50	G05	0.005	Direct Quantification	13548	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0020.a2	M04-0020	2	M04-0020.e1	AP50	G05	0.005	Direct Quantification	13548	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0020.a3	M04-0020	3	M04-0020.e1	AP50	G05	0.005	Direct Quantification	13548	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0021.a1	M04-0021	1	M04-0021.e1	AP57	D05	0.005	Direct Quantification	12242	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0021.a2	M04-0021	2	M04-0021.e1	AP57	D05	0.005	Direct Quantification	12242	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	1.922101974	3423.744142	
M04-0021.a3	M04-0021	3	M04-0021.e1	AP57	D05	0.005	Direct Quantification	12242	Human	Internal Control	RNase P	RNA	HEX	0	7.689350247	13696.65513	
M04-0022.a1	M04-0022	1	M04-0022.e1	AP55	F05	0.005	Direct Quantification	11073	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	4.250254929	7570.766592	
M04-0022.a2	M04-0022	2	M04-0022.e1	AP55	F05	0.005	Direct Quantification	11073	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0022.a3	M04-0022	3	M04-0022.e1	AP55	F05	0.005	Direct Quantification	11073	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0023.a1	M04-0023	1	M04-0023.e1	AP55	F04	0.005	Direct Quantification	11532	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0023.a2	M04-0023	2	M04-0023.e1	AP55	F04	0.005	Direct Quantification	11532	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0023.a3	M04-0023	3	M04-0023.e1	AP55	F04	0.005	Direct Quantification	11532	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0024.a1	M04-0024	1	M04-0024.e1	AP55	F02	0.005	Direct Quantification	12579	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
M04-0024.a2	M04-0024	2	M04-0024.e1	AP55	F02	0.005	Direct Quantification	12579	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	0	0	
M04-0024.a3	M04-0024	3	M04-0024.e1	AP55	F02	0.005	Direct Quantification	12579	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0025.a1	M04-0025	1	M04-0025.e1	AP53	C06	0.005	Direct Quantification	16976	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	18.02541971	32107.77886	
M04-0025.a2	M04-0025	2	M04-0025.e1	AP53	C06	0.005	Direct Quantification	16976	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	16.63835883	29637.07667	
M04-0025.a3	M04-0025	3	M04-0025.e1	AP53	C06	0.005	Direct Quantification	16976	Human	Internal Control	RNase P	RNA	HEX	0	0	0	
M04-0026.a1	M04-0026	1	M04-0026.e1	AP76	F02	0.005	Direct Quantification	15681	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	9.004749656	16039.71032	
M04-0026.a2	M04-0026	2	M04-0026.e1	AP76	F02	0.005	Direct Quantification	15681	SARS-CoV-2	Pathogen	N2	RNA	FAM/HEX	0	19.51465011	34760.4705	
M04-0027.a1	M04-0027	1	M04-0027.e1	AP68	F06	0.005	Direct Quantification	13517	SARS-CoV-2	Pathogen	N1	RNA	FAM	0	0	0	
