Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
A1061	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	06/01/2021 11:55 PM	06/04/2021	06/01/2021 12:00 AM	06/01/2021 11:55 PM	JL	7/7/21		6.92			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	7.215	Processing	Complete
A01-0011	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	08/21/2021 11:59 PM	08/24/2021	08/21/2021 12:00 AM	08/21/2021 11:59 PM	JL	8/24/21		7.23			Pass	SARS-CoV-2 N1	51799.74765	SARS-CoV-2 N2	23210.10455	10.554	Processing	Complete
M03-0014	WWTP	ManningtonWWTP-01	M03-0014	Marion	Sample	Composite		02/23/2022 11:30 AM	03/02/2022	02/22/2022 11:30 AM	02/23/2022 11:30 AM	AJ	3/2/22		6.93			Pass	SARS-CoV-2 N1	16263.15096	SARS-CoV-2 N2	9757.133368	0.27	Processing	Complete
H01-0213	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite		05/09/2022 08:00 AM	05/13/2022	05/08/2022 08:00 AM	05/09/2022 08:00 AM	AJ	5/16/22					Pass	SARS-CoV-2 N1	14037.26583	SARS-CoV-2 N2	10527.50744	4.3	Processing	Complete
H01-0021	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	10/19/2021 08:15 AM	10/25/2021	10/18/2021 08:00 AM	10/19/2021 08:00 AM	JL	11/1/21		7.06			Pass	SARS-CoV-2 N1		SARS-CoV-2 N2			Processing	Confirming
A01-0258	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	05/21/2022 12:00 AM	05/24/2022	05/20/2022 12:00 AM	05/21/2022 12:00 AM	AJ						Pass					8.2	Processing	Processing
A01-0223	WWTP	StarCityWWTP-01	A01-0223	Monongalia	Sample	Composite		04/10/2022 11:59 PM	04/12/2022	04/10/2022 12:00 AM	04/10/2022 11:59 PM	JL	4/14/22		7.5			Pass	SARS-CoV-2 N1	26339.72246	SARS-CoV-2 N2	31609.65532	14.1	Processing	Complete
A01-0020	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample																			Processing	Unknown
A02-0105	WVU Morgantown	Evansdale-01	Sample	Monongalia	Sample	Composite	EL	09/15/2021 09:14 AM	09/15/2021	09/13/2021 09:20 AM	09/15/2021 09:15 AM	JL	9/20/21		6.82			Pass	SARS-CoV-2 N1	63366.66137	SARS-CoV-2 N2	61500.64737		Rejected: No Flow	Complete
M03-0038	WWTP	ManningtonWWTP-01	SAMPLE	Marion	Sample	Composite		05/11/2022 11:00 AM	05/18/2022	05/10/2022 11:00 AM	05/11/2022 11:00 AM	JL	2022-05-19					Pass	SARS-CoV-2 N1	289928.939938545	SARS-CoV-2 N2	284998.14838171	0.225	Processing	Complete
