sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,B5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8280,0,8280,74.49,2.361,-,-,-,-,-,Std-Ref,-,-,0.0,0.2774383078730905,2.297189189189189,0.0,29.85314855072461,0.00,0.0,0.0,8.71
,,,B6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8284,0,8284,74.49,2.323,-,-,-,-,-,Std-Ref,-,-,0.0,0.27297297297297296,2.2613081081081083,0.0,32.94992757122163,0.00,0.0,0.0,9.62
,,,B7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8260,0,8260,74.49,2.272,-,-,-,-,-,Std-Ref,-,-,0.0,0.2669800235017626,2.205254994124559,0.0,32.81751694915263,0.00,0.0,0.0,8.91
,,,B8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8277,0,8277,74.49,2.308,-,-,-,-,-,Std-Ref,-,-,0.0,0.2712103407755581,2.244807990599295,0.0,36.536358584027944,0.00,0.0,0.0,8.57
,,,B9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8299,0,8299,74.49,2.333,-,-,-,-,-,Std-Ref,-,-,0.0,0.27414806110458284,2.275154759106933,0.0,33.2097324978913,0.00,0.0,0.0,7.92
,,,B10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8289,0,8289,74.49,2.344,-,-,-,-,-,Std-Ref,-,-,0.0,0.2754406580493537,2.2831276145710926,0.0,33.88929786464001,0.00,0.0,0.0,8.88
,,,B11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8291,0,8291,74.49,2.371,-,-,-,-,-,Std-Ref,-,-,0.0,0.27861339600470036,2.3099836662749706,0.0,31.142192739114698,0.00,0.0,0.0,8.82
,,,B12,-,NTC,NON_TEMPLATE_CONTROL,MeV,MeV,-,-,0.0,-,-,-,-,8274,0,8274,74.49,2.399,-,-,-,-,-,Std-Ref,-,-,0.0,0.281903642773208,2.332470740305523,0.0,52.21282209330426,0.00,0.0,0.0,10.83
,,,C1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8291,0,8291,74.49,2.423,-,-,-,-,-,Std-Ref,-,-,0.0,0.2847238542890717,2.3606454759106934,0.0,35.06832710167669,0.00,0.0,0.0,9.7
,,,C2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8289,0,8289,74.49,2.404,-,-,-,-,-,Std-Ref,-,-,0.0,0.2824911868390129,2.341569447708578,0.0,33.6463819519846,0.00,0.0,0.0,9.64
,,,C3,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,7975,0,7975,74.49,2.372,-,-,-,-,-,Std-Ref,-,-,0.0,0.27873090481786134,2.2228789659224444,0.0,43.88893166144205,0.05,0.0,0.0,12.13
,,,C4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8309,0,8309,74.49,2.321,-,-,-,-,-,Std-Ref,-,-,0.0,0.272737955346651,2.2661796709753235,0.0,27.263168853050956,0.00,0.0,0.0,6.7
,,,C5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8101,0,8101,74.49,2.279,-,-,-,-,-,Std-Ref,-,-,0.0,0.26780258519388955,2.169468742655699,0.0,24.438869275398098,0.01,0.0,0.0,6.69
,,,C6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8271,0,8271,74.49,2.242,-,-,-,-,-,Std-Ref,-,-,0.0,0.263454759106933,2.179034312573443,0.0,32.94656268891309,0.00,0.0,0.0,8.44
,,,C7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8087,0,8087,74.49,2.239,-,-,-,-,-,Std-Ref,-,-,0.0,0.2631022326674501,2.127707755581669,0.0,31.891387411895565,0.01,0.0,0.0,10.16
,,,C8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8295,0,8295,74.49,2.223,-,-,-,-,-,Std-Ref,-,-,0.0,0.2612220916568742,2.1668372502937716,0.0,33.53293791440635,0.01,0.0,0.0,7.61
,,,C9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8251,0,8251,74.49,2.268,-,-,-,-,-,Std-Ref,-,-,0.0,0.26650998824911865,2.1989739130434782,0.0,34.236652526966445,0.00,0.0,0.0,7.27
,,,C10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8311,0,8311,74.49,2.334,-,-,-,-,-,Std-Ref,-,-,0.0,0.27426556991774387,2.279421151586369,0.0,32.24761159908557,0.05,0.0,0.0,7.37
,,,C11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8291,0,8291,74.49,2.365,-,-,-,-,-,Std-Ref,-,-,0.0,0.2779083431257345,2.3041380728554643,0.0,27.966660233988577,0.00,0.0,0.0,5.95
,,,D1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8266,0,8266,74.49,2.481,-,-,-,-,-,Std-Ref,-,-,0.0,0.2915393654524089,2.409864394829612,0.0,33.772966368255645,0.00,0.0,0.0,8.93
,,,D2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,6847,0,6847,74.49,2.407,-,-,-,-,-,Std-Ref,-,-,0.0,0.2828437132784959,1.9366309048178614,0.0,40.72102234555283,0.00,0.0,0.0,9.24
,,,D3,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,7820,0,7820,74.49,2.328,-,-,-,-,-,Std-Ref,-,-,0.0,0.2735605170387779,2.1392432432432433,0.0,52.49852557544792,0.00,0.0,0.0,16.17
,,,D4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8257,0,8257,74.49,2.298,-,-,-,-,-,Std-Ref,-,-,0.0,0.2700352526439483,2.229681081081081,0.0,25.205592830325763,0.00,0.0,0.0,7.4
,,,D5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8255,0,8255,74.49,2.244,-,-,-,-,-,Std-Ref,-,-,0.0,0.26368977673325505,2.1767591069330203,0.0,27.304341611144846,0.00,0.0,0.0,6.84
,,,D6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8295,0,8295,74.49,2.209,-,-,-,-,-,Std-Ref,-,-,0.0,0.25957696827262045,2.153190951821387,0.0,33.03725738396638,0.00,0.0,0.0,7.83
,,,D7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8273,0,8273,74.49,2.24,-,-,-,-,-,Std-Ref,-,-,0.0,0.2632197414806111,2.1776169212690957,0.0,30.257577662274755,0.00,0.0,0.0,7.93
,,,D8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8276,0,8276,74.49,2.249,-,-,-,-,-,Std-Ref,-,-,0.0,0.26427732079905997,2.18715910693302,0.0,31.86904543257626,0.00,0.0,0.0,7.54
,,,D9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8315,0,8315,74.49,2.273,-,-,-,-,-,Std-Ref,-,-,0.0,0.2670975323149236,2.22091598119859,0.0,32.62764040889954,0.00,0.0,0.0,8.19
,,,D10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8311,0,8311,74.49,2.305,-,-,-,-,-,Std-Ref,-,-,0.0,0.27085781433607525,2.2510992949471214,0.0,32.92102274094577,0.00,0.0,0.0,8.21
,,,D11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8268,0,8268,74.49,2.33,-,-,-,-,-,Std-Ref,-,-,0.0,0.2737955346650999,2.263741480611046,0.0,32.73275641025622,0.00,0.0,0.0,8.0
,,,E1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8307,0,8307,74.49,2.456,-,-,-,-,-,Std-Ref,-,-,0.0,0.28860164512338427,2.3974138660399533,0.0,33.5216552305283,0.00,0.0,0.0,7.86
,,,E2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8271,0,8271,74.49,2.387,-,-,-,-,-,Std-Ref,-,-,0.0,0.28049353701527613,2.319962044653349,0.0,34.12648047394506,0.00,0.0,0.0,8.2
,,,E4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8264,0,8264,74.49,2.309,-,-,-,-,-,Std-Ref,-,-,0.0,0.2713278495887192,2.2422533490011753,0.0,27.686391577928323,0.00,0.0,0.0,6.18
,,,E5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8256,0,8256,74.49,2.261,-,-,-,-,-,Std-Ref,-,-,0.0,0.2656874265569918,2.193515393654524,0.0,31.382772529069623,0.00,0.0,0.0,8.15
,,,E6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,3859,0,3859,74.49,2.247,-,-,-,-,-,Std-Ref,-,-,0.0,0.2640423031727379,1.0189392479435957,0.0,52.00943508681012,0.00,0.0,0.0,11.12
,,,E7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,2799,0,2799,74.49,2.218,-,-,-,-,-,Std-Ref,-,-,0.0,0.2606345475910693,0.729516098707403,0.0,48.207727759914235,0.00,0.0,0.0,8.82
,,,E10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8263,0,8263,74.49,2.275,-,-,-,-,-,Std-Ref,-,-,0.0,0.2673325499412456,2.2089688601645125,0.0,32.57452983178025,0.00,0.0,0.0,7.76
,,,E11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8298,0,8298,74.49,2.335,-,-,-,-,-,Std-Ref,-,-,0.0,0.27438307873090484,2.276830787309048,0.0,31.512349963846777,0.00,0.0,0.0,7.82
,,,F1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8293,0,8293,74.49,2.41,-,-,-,-,-,Std-Ref,-,-,0.0,0.28319623971797886,2.3485464159811986,0.0,33.498023634390435,0.00,0.0,0.0,7.23
,,,F2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8126,0,8126,74.49,2.36,-,-,-,-,-,Std-Ref,-,-,0.0,0.2773207990599295,2.253508813160987,0.0,34.37534580359346,0.00,0.0,0.0,7.9
,,,F4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8281,0,8281,74.49,2.332,-,-,-,-,-,Std-Ref,-,-,0.0,0.2740305522914218,2.269247003525264,0.0,27.734110614659915,0.00,0.0,0.0,7.14
,,,F5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8281,0,8281,74.49,2.313,-,-,-,-,-,Std-Ref,-,-,0.0,0.2717978848413631,2.250758284371328,0.0,30.8219937205651,0.00,0.0,0.0,7.54
,,,F6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8305,0,8305,74.49,2.287,-,-,-,-,-,Std-Ref,-,-,0.0,0.26874265569917744,2.231907755581669,0.0,31.207010234798364,0.00,0.0,0.0,9.03
,,,F7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8284,0,8284,74.49,2.234,-,-,-,-,-,Std-Ref,-,-,0.0,0.2625146886016452,2.1746716803760284,0.0,29.526151617575962,0.00,0.0,0.0,7.82
,,,F8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8146,0,8146,74.49,2.283,-,-,-,-,-,Std-Ref,-,-,0.0,0.26827262044653344,2.1853487661574618,0.0,40.33758163515852,0.00,0.0,0.0,8.61
,,,F9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8256,0,8256,74.49,2.262,-,-,-,-,-,Std-Ref,-,-,0.0,0.26580493537015276,2.194485546415981,0.0,32.873439922480664,0.00,0.0,0.0,8.28
,,,F10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8299,0,8299,74.49,2.299,-,-,-,-,-,Std-Ref,-,-,0.0,0.2701527614571093,2.24199776733255,0.0,34.13381491746002,0.00,0.0,0.0,8.01
,,,F11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8310,0,8310,74.49,2.351,-,-,-,-,-,Std-Ref,-,-,0.0,0.2762632197414806,2.2957473560517037,0.0,32.00943561973525,0.00,0.0,0.0,7.4
,,,G1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8274,0,8274,74.49,2.46,-,-,-,-,-,Std-Ref,-,-,0.0,0.2890716803760282,2.3917790834312576,0.0,35.08584844089908,0.00,0.0,0.0,9.91
,,,G2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8269,0,8269,74.49,2.403,-,-,-,-,-,Std-Ref,-,-,0.0,0.28237367802585195,2.3349479435957696,0.0,38.57770105212234,0.00,0.0,0.0,9.59
,,,G4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8261,0,8261,74.49,2.348,-,-,-,-,-,Std-Ref,-,-,0.0,0.27591069330199763,2.2792982373678026,0.0,26.207433724730752,0.00,0.0,0.0,6.1
,,,G5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8251,0,8251,74.49,2.311,-,-,-,-,-,Std-Ref,-,-,0.0,0.27156286721504114,2.2406652173913044,0.0,31.29577869349172,0.00,0.0,0.0,7.55
,,,G7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,3540,0,3540,74.49,2.328,-,-,-,-,-,Std-Ref,-,-,0.0,0.2735605170387779,0.9684042303172737,0.0,40.21647740112992,0.03,0.0,0.0,9.66
,,,G8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,3835,0,3835,74.49,2.266,-,-,-,-,-,Std-Ref,-,-,0.0,0.2662749706227967,1.0211645123384254,0.0,42.64382268578861,0.03,0.0,0.0,9.46
,,,G9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8258,0,8258,74.49,2.3,-,-,-,-,-,Std-Ref,-,-,0.0,0.2702702702702703,2.231891891891892,0.0,33.1996451925405,0.00,0.0,0.0,7.51
,,,G10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8264,0,8264,74.49,2.354,-,-,-,-,-,Std-Ref,-,-,0.0,0.27661574618096363,2.285952526439483,0.0,32.53879235237163,0.01,0.0,0.0,7.34
,,,G11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8292,0,8292,74.49,2.375,-,-,-,-,-,Std-Ref,-,-,0.0,0.2790834312573443,2.314159811985899,0.0,29.755682585624733,0.00,0.0,0.0,8.06
,,,H1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8295,0,8295,74.49,2.512,-,-,-,-,-,Std-Ref,-,-,0.0,0.2951821386603995,2.448535840188014,0.0,34.69695358649789,0.00,0.0,0.0,9.07
,,,H2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8268,0,8268,74.49,2.485,-,-,-,-,-,Std-Ref,-,-,0.0,0.2920094007050529,2.414333725029377,0.0,36.9669303338171,0.00,0.0,0.0,9.41
,,,H4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8282,0,8282,74.49,2.436,-,-,-,-,-,Std-Ref,-,-,0.0,0.2862514688601645,2.3707346650998824,0.0,24.771985027771052,0.00,0.0,0.0,7.64
,,,H5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8272,0,8272,74.49,2.438,-,-,-,-,-,Std-Ref,-,-,0.0,0.28648648648648656,2.3698162162162166,0.0,33.16615933268852,0.00,0.0,0.0,8.96
,,,H6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8256,0,8256,74.49,2.41,-,-,-,-,-,Std-Ref,-,-,0.0,0.28319623971797886,2.3380681551116336,0.0,31.745715843023405,0.00,0.0,0.0,8.11
,,,H7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8248,0,8248,74.49,2.402,-,-,-,-,-,Std-Ref,-,-,0.0,0.282256169212691,2.328048883666275,0.0,26.90870877788549,0.01,0.0,0.0,7.24
,,,H8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,7073,0,7073,74.49,2.452,-,-,-,-,-,Std-Ref,-,-,0.0,0.28813160987074027,2.0379548766157463,0.0,53.25836702954881,0.00,0.0,0.0,13.95
,,,H9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8291,0,8291,74.49,2.415,-,-,-,-,-,Std-Ref,-,-,0.0,0.28378378378378377,2.3528513513513514,0.0,33.737843444699195,0.00,0.0,0.0,9.37
,,,H10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8269,0,8269,74.49,2.409,-,-,-,-,-,Std-Ref,-,-,0.0,0.28307873090481783,2.3407780258519386,0.0,34.43032531140402,0.00,0.0,0.0,7.78
,,,H11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8267,0,8267,74.49,2.396,-,-,-,-,-,Std-Ref,-,-,0.0,0.28155111633372504,2.327583078730905,0.0,32.258246038466275,0.00,0.0,0.0,8.97
