sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,E2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8291,0,8291,48.59,2.387,-,-,-,-,-,Std-Ref,-,-,0.0,0.28049353701527613,2.3255719153936547,0.0,22.439914364974122,0.01,0.0,0.0,6.41
,,,E4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8284,0,8284,48.59,2.309,-,-,-,-,-,Std-Ref,-,-,0.0,0.2713278495887192,2.2476799059929498,0.0,21.461804683727625,0.02,0.0,0.0,6.15
,,,E5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8281,0,8281,48.59,2.261,-,-,-,-,-,Std-Ref,-,-,0.0,0.2656874265569918,2.200157579318449,0.0,21.040798212776224,0.05,0.0,0.0,6.04
,,,E6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8284,0,8284,48.59,2.247,-,-,-,-,-,Std-Ref,-,-,0.0,0.2640423031727379,2.187326439482961,0.0,21.733320859488067,0.05,0.0,0.0,5.93
,,,E7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8270,0,8270,48.59,2.218,-,-,-,-,-,Std-Ref,-,-,0.0,0.2606345475910693,2.1554477085781434,0.0,21.93043772672311,0.05,0.0,0.0,5.97
,,,E8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8288,0,8288,48.59,2.249,-,-,-,-,-,Std-Ref,-,-,0.0,0.26427732079905997,2.190330434782609,0.0,21.90691843629333,0.06,0.0,0.0,6.89
,,,E9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8047,0,8047,48.59,2.239,-,-,-,-,-,Std-Ref,-,-,0.0,0.2631022326674501,2.1171836662749706,0.0,21.48455573505645,0.09,0.0,0.0,6.16
,,,E10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8248,0,8248,48.59,2.275,-,-,-,-,-,Std-Ref,-,-,0.0,0.2673325499412456,2.2049588719153936,0.0,25.107273278370425,0.01,0.0,0.0,6.83
,,,E11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8297,0,8297,48.59,2.335,-,-,-,-,-,Std-Ref,-,-,0.0,0.27438307873090484,2.2765564042303175,0.0,22.306638544052003,0.04,0.0,0.0,5.55
,,,F1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8251,0,8251,48.59,2.41,-,-,-,-,-,Std-Ref,-,-,0.0,0.28319623971797886,2.3366521739130435,0.0,23.90356320446005,0.01,0.0,0.0,7.33
,,,F2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8275,0,8275,48.59,2.36,-,-,-,-,-,Std-Ref,-,-,0.0,0.2773207990599295,2.2948296122209166,0.0,22.948860422960713,0.01,0.0,0.0,7.65
,,,F4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8287,0,8287,48.59,2.332,-,-,-,-,-,Std-Ref,-,-,0.0,0.2740305522914218,2.2708911868390125,0.0,22.434309158923536,0.04,0.0,0.0,6.37
,,,F5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8277,0,8277,48.59,2.313,-,-,-,-,-,Std-Ref,-,-,0.0,0.2717978848413631,2.2496710928319623,0.0,22.036207563126773,0.04,0.0,0.0,6.59
,,,F6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8288,0,8288,48.59,2.287,-,-,-,-,-,Std-Ref,-,-,0.0,0.26874265569917744,2.2273391304347827,0.0,22.93034025096527,0.04,0.0,0.0,7.11
,,,F7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8301,0,8301,48.59,2.234,-,-,-,-,-,Std-Ref,-,-,0.0,0.2625146886016452,2.1791344300822564,0.0,21.560562582821344,0.05,0.0,0.0,6.16
,,,F8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8246,0,8246,48.59,2.283,-,-,-,-,-,Std-Ref,-,-,0.0,0.26827262044653344,2.212176028202115,0.0,30.51147222895941,0.13,0.0,0.0,7.65
,,,F9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8289,0,8289,48.59,2.262,-,-,-,-,-,Std-Ref,-,-,0.0,0.26580493537015276,2.2032571092831965,0.0,22.173932923151195,0.07,0.0,0.0,5.97
,,,F10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8252,0,8252,48.59,2.299,-,-,-,-,-,Std-Ref,-,-,0.0,0.2701527614571093,2.2293005875440657,0.0,22.115827678138697,0.04,0.0,0.0,6.07
,,,F11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8265,0,8265,48.59,2.351,-,-,-,-,-,Std-Ref,-,-,0.0,0.2762632197414806,2.2833155111633374,0.0,22.774879612825213,0.04,0.0,0.0,6.14
,,,G1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8268,0,8268,48.59,2.46,-,-,-,-,-,Std-Ref,-,-,0.0,0.2890716803760282,2.390044653349001,0.0,25.8106688437349,0.04,0.0,0.0,6.72
,,,G2,-,-,-,Pertussis,Pertussis,-,-,0.42809387481756456,-,1.475098401838921,-,-,8273,1,8272,48.59,2.403,-,-,-,-,-,Std-Ref,-,-,1.2088244197257433E-4,0.28237367802585195,2.336077438307873,49.15,25.318160058026958,0.04,0.0,0.0,6.85
,,,G4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8288,0,8288,48.59,2.348,-,-,-,-,-,Std-Ref,-,-,0.0,0.27591069330199763,2.2867478260869567,0.0,23.0314732142857,0.07,0.0,0.0,5.91
,,,G5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8298,0,8298,48.59,2.311,-,-,-,-,-,Std-Ref,-,-,0.0,0.27156286721504114,2.2534286721504113,0.0,22.752208966015925,0.04,0.0,0.0,7.43
,,,G6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8292,0,8292,48.59,2.301,-,-,-,-,-,Std-Ref,-,-,0.0,0.27038777908343126,2.242055464159812,0.0,22.820729618909827,0.02,0.0,0.0,6.4
,,,G7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8306,0,8306,48.59,2.328,-,-,-,-,-,Std-Ref,-,-,0.0,0.2735605170387779,2.2721936545240893,0.0,20.40943414399238,0.05,0.0,0.0,6.01
,,,G8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,3811,0,3811,48.59,2.266,-,-,-,-,-,Std-Ref,-,-,0.0,0.2662749706227967,1.0147739130434783,0.0,32.41949094725792,0.03,0.0,0.0,6.89
