sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
A01-0074	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/27/2021 0:00	10/27/2021 23:55	10/27/2021 23:55	GG	8.634	JL	10/29/2021	6.94	
A01-0075	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/28/2021 0:00	10/28/2021 23:55	10/28/2021 23:55	GG	7.845	JL	10/29/2021	6.71	
A01-0076	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/30/2021 0:00	10/30/2021 23:55	10/30/2021 23:55	GG	11.237	JL	11/03/2021	6.64	
A01-0077	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/31/2021 0:00	10/31/2021 23:55	10/31/2021 23:55	GG	10.075	JL	11/03/2021	6.68	
A01-0078	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/01/2021 0:00	11/01/2021 23:55	11/01/2021 23:55	GG	8.683	JL	11/03/2021	6.75	
A01-0079	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/02/2021 0:00	11/02/2021 23:55	11/02/2021 23:55	GG	7.19	JL	11/05/2021	6.7	
A01-0080	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/03/2021 0:00	11/03/2021 23:55	11/03/2021 23:55	GG	7.552	JL	11/05/2021	6.76	
A01-0081	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/04/2021 0:00	11/04/2021 23:55	11/04/2021 23:55	GG	7.379	JL	11/05/2021	6.86	
A01-0082	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/06/2021 0:00	11/06/2021 23:55	11/06/2021 23:55	GG	6.698	JL	11/10/2021	6.98	
A01-0083	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/07/2021 0:00	11/07/2021 23:55	11/07/2021 23:55	GG	7.118	JL	11/10/2021	7.04	
A01-0084	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/08/2021 0:00	11/08/2021 23:55	11/08/2021 23:55	GG	6.987	JL	11/10/2021	7.09	
A01-0085	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/09/2021 0:00	11/09/2021 23:55	11/09/2021 23:55	GG	6.761	JL	11/12/2021	6.78	
A01-0086	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/10/2021 0:00	11/10/2021 23:55	11/10/2021 23:55	GG	6.77	JL	11/12/2021	6.97	
A01-0087	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/11/2021 0:00	11/11/2021 23:55	11/11/2021 23:55	GG	7.002	JL	11/12/2021	7.01	
A01-0088	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/13/2021 0:00	11/13/2021 23:55	11/13/2021 23:55	-	9.153	JL	11/16/2021	7.08	
A01-0089	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/14/2021 0:00	11/14/2021 23:55	11/14/2021 23:55	GG	9.522	JL	11/16/2021	7.11	
A01-0090	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/15/2021 0:00	11/15/2021 23:55	11/15/2021 23:55	GG	9.758	JL	11/16/2021	7.2	
A01-0091	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/16/2021 0:00	11/16/2021 23:55	11/16/2021 23:55	GG	7.713	AJ	11/29/2021	7.27	
A01-0092	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/17/2021 0:00	11/17/2021 23:55	11/17/2021 23:55	GG	7.38	AJ	11/29/2021	7.32	
A01-0093	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/18/2021 0:00	11/18/2021 23:55	11/18/2021 23:55	GG	8.055	AJ	11/29/2021	7.33	
A01-0094	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/20/2021 0:00	11/20/2021 23:55	11/21/2021 0:00	-	6.561	AJ	11/30/2021	6.82	
A01-0095	Complete	StarCityWWTP-01	Routine Surveillance	Pass	11/21/2021 0:00	11/21/2021 23:55	11/22/2021 0:00	-	6.506	AJ	11/30/2021	6.81	
