extraction_batch_comment	extraction_batch_id	extraction_batch_record_version	extraction_date	extraction_eluant	extraction_input_ul	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_run_by
	ME75	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME76	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME77	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME78	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME79	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME80	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME81	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME82	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME83	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME84	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME85	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME86	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME87	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME88	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME89	1.0.0	2/24/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AT
	ME90	1.0.0	3/15/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AHT
	ME91	1.0.0	3/15/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AHT
	ME92	1.0.0	3/15/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AHT
	ME93	1.0.0	3/15/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AHT
	ME94	1.0.0	3/15/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	AHT
	ME95	1.0.0	3/21/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	TD
	ME96	1.0.0	3/21/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	TD
	ME97	1.0.0	3/21/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	TD
	ME98	1.0.0	3/21/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	TD
	ME99	1.0.0	3/21/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	TD
	ME100	1.0.0	3/29/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
	ME101	1.0.0	3/29/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
	ME102	1.0.0	3/29/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
	ME103	1.0.0	3/29/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
	ME104	1.0.0	3/29/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
