concentration_batch_comment	concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
	CP82	1.0.0	2/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP83	1.0.0	2/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP84	1.0.0	2/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP85	1.0.0	2/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL
	CP86	1.0.0	2/28/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP87	1.0.0	3/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	aj
	CP88	1.0.0	3/2/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP89	1.0.0	3/4/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP9	1.0.0	9/8/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP90	1.0.0	3/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP91	1.0.0	3/9/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP92	1.0.0	3/9/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP93	1.0.0	3/10/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP94	1.0.0	3/11/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP95	1.0.0	3/11/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP96	1.0.0	3/15/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP97	1.0.0	3/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP98	1.0.0	3/16/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP99	1.0.0	3/21/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	PE1	1.0.0	11/9/20	100	Sorvall	PEG Precipitation		4	MS
	PE10	1.0.0	11/13/20	100	Sorvall	PEG Precipitation		4	MS
	PE100	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE101	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE102	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE103	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE104	1.0.0	4/16/21	100	Sorvall	PEG Precipitation		5	JL
	PE105	1.0.0	4/16/21	100	Sorvall	PEG Precipitation		6	JL
	PE106	1.0.0	4/16/21	100	Sorvall	PEG Precipitation		4	JL
	PE107	1.0.0	4/16/21	100	Sorvall	PEG Precipitation		4	JL
