Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A02-0197	6624.563895	22088.70873		WVU Morgantown	NorthHighSt-02 (MUB)	10/27/21 12:14					
B01-0070	11412.32511	11412.32511		WWTP	CharlestonWWTP-01	11/28/21 7:00	7.258				
G01-0043	44270.94474	6987.040741		WWTP	KeyserWWTP-01	1/8/22 9:00	0.98				
A01-0101	0	0		WWTP	StarCityWWTP-01	10/12/21 0:00	7.076				
E02-0025	2558.793942	5117.743956		WWTP	AthensWWTP-01	12/20/21 8:00	0.119				
A0101	8517.6	12776.4		WWTP	StarCityWWTP-01	11/2/20 0:00	7.406				
B01-0030	0	0		WWTP	CharlestonWWTP-01	12/14/21 7:00	6.758				
A02-0065	9508.02777	10866.61257		WVU Morgantown	Evansdale-01	8/30/21 9:08					
K01-0025	116071.1896	111017.928		WWTP	ParkersburgWWTP-01	1/10/22 6:27	9.014				
A03-0041	0	0		K-12	NorthES-01	10/11/21 6:00					
G01-0027	30441.40533	31964.44973		WWTP	KeyserWWTP-01	11/14/21 9:00					
B01-0027	21987.46182	3663.776089		WWTP	CharlestonWWTP-01	12/5/21 7:00	6.349				
H01-0090	10865.71125	27169.56172		WWTP	MoundsvilleWWTP-01	12/12/21 8:00	2.2				
G01-0019	66545.36493	40773.33547		WWTP	KeyserWWTP-01	11/27/21 9:00	0.622				
E02-0026				WWTP	PrincetonWWTP-01	1/12/22 11:50	4.952				
A02-0151 b	32328	16164		WVU Morgantown	NorthHighSt-02 (MUB)	8/9/21 9:00	11.463				
A02-0093	71562.8013	55890.92731		WVU Morgantown	HonorsSummit-01 (MUB)	9/8/21 9:30					
A0036	14670	19560		WWTP	StarCityWWTP-01	12/8/20 12:00	7.104				
H01-0024				WWTP	MoundsvilleWWTP-01	10/16/21 8:00					
A03-0169	0	59938.97349		K-12	NorthES-01	1/10/22 6:00					
A02-0127	11364.1528	2272.417396		WVU Morgantown	CollegePark-02	9/22/21 10:57					
A01-0036	72143.12136	38447.71758		WWTP	StarCityWWTP-01	9/1/21 0:00	12.161				
A02-0264	0	0		WVU Morgantown	HonorsSummit-01 (MUB)	12/13/21 9:00					
A03-0108				K-12	SuncrestES-01	10/15/21 6:00					
A03-0187	0	0		K-12	SuncrestES-01	1/21/22 6:00					
C01-0028	24119.63388	1854.530703		WWTP	WheelingWWTP-01	10/26/21 7:00					
A1000	0	20490		WWTP	StarCityWWTP-01	3/7/21 12:00	9.116				
A1080	0	0		WWTP	StarCityWWTP-01	6/28/21 0:00	7.451				
H01-0008	363356.7286	233847.4166		WWTP	MoundsvilleWWTP-01	10/5/21 8:00					
G01-0068	5186.184011	0		WWTP	KeyserWWTP-01	11/3/21 9:00					
A01-0023				WWTP	StarCityWWTP-01						
A02-0181				WVU Morgantown	Evansdale-01	10/20/21 9:19					
B01-0051	10364.12627	8636.473604		WWTP	CharlestonWWTP-01	11/1/21 7:00					
A01-0041	111111.2869	59078.40401		WWTP	StarCityWWTP-01	9/18/21 0:00	7.348				
C01-0048	200133.5728	145163.0858		WWTP	WheelingWWTP-01	11/29/21 7:00	5.843				
D01-0001				WWTP	CharlesTownWWTP-01	1/23/22 8:00					
A02-0226	11815.11791	9451.82763		WVU Morgantown	Evansdale-01	11/17/21 9:00					
A02-0234	3027.759804	6055.73779		WVU Morgantown	HonorsSummit-01 (MUB)	11/27/21 9:00					
A02-0302	1611603.169	1764941.897		WVU Morgantown	NorthHighSt-02 (MUB)	1/22/22 9:00					
A03-0055	0	0		K-12	MorgantownHS-01	10/29/21 6:00					
D01-0008	0	0		WWTP	CharlesTownWWTP-01	1/11/22 7:00					
