Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A01-0049	503516.9601	398285.3055		WWTP	StarCityWWTP-01	9/26/21 0:00	6.828				
C01-0014	33300.72403	49245.28658		WWTP	WheelingWWTP-01	10/4/21 7:00	8.81				
F01-0016	26781.86223	74670.25936		WWTP	WestonWWTP-01	9/29/21 10:00					
A01-0046	85741.26422	76608.41882		WWTP	StarCityWWTP-01	9/2/21 0:00	11.413				
A01-0102				WWTP	StarCityWWTP-01						
A03-0143	81100.29504	102468.5816		K-12	SuncrestES-01	12/13/21 6:00					
A02-0192				WVU Morgantown	NorthHighSt-02 (MUB)	10/25/21 10:10					
C01-0109	410452.8809	413166.5719		WWTP	WheelingWWTP-01	1/18/22 7:00	7.455				
A02-0134	0	0		WVU Morgantown	Evansdale-01	9/29/21 9:43					
A02-0152 c	25038	40680		WVU Morgantown	Evansdale-01	8/10/21 9:00	9.628				
A01-0112	159836.1415	76367.32087		WWTP	StarCityWWTP-01	11/29/21 0:00	6.977				
A01-0039	197676.8434	197676.8434		WWTP	StarCityWWTP-01	9/16/21 0:00	7.767				
B01-0047	19795.11816	4398.107571		WWTP	CharlestonWWTP-01	1/12/22 7:00	12.002				
A01-0015	438414.6786	180041.0271		WWTP	StarCityWWTP-01	8/25/21 0:00	8.915				
I01-0048	0	0		WWTP	WarmSpringsWWTP-01	11/15/21 7:00	0.638				
H01-0097	19471.20387	22253.54277		WWTP	MoundsvilleWWTP-01	12/19/21 8:00					
E02-0020	44380.08405	41768.19384		WWTP	AthensWWTP-01	12/13/21 8:00	0.092				
A03-0185	0	0		K-12	NorthES-01	1/19/22 6:00					
E01-0014	352548.4961	332466.1499		WWTP	PrincetonWWTP-01	12/1/21 8:00	1.522				
A01-0052	195818.4087	291314.5196		WWTP	StarCityWWTP-01	9/30/21 0:00	7.101				
A1054	0	3776.25		WWTP	StarCityWWTP-01	5/23/21 0:00	6.439				
C01-0034	49286.16226	69983.49965		WWTP	WheelingWWTP-01	11/7/21 7:00					
A02-0229	0	0		WVU Morgantown	CollegePark-02	11/17/21 10:15					
G01-0011	0	0		WWTP	KeyserWWTP-01	12/17/21 9:00	0.645				
G01-0050				WWTP	KeyserWWTP-01	11/29/21 9:00	0.641				
A1092	0	0		WWTP	StarCityWWTP-01	7/14/21 0:00	9.954				
A02-0076				WVU Morgantown	Evansdale-01	9/3/21 10:00					
A02-0130	0	0		WVU Morgantown	Evansdale-01	9/27/21 9:28					
A02-0108	245716.6016	245716.6016		WVU Morgantown	NorthHighSt-02 (MUB)	9/13/21 10:00					
A03-0106	5166.319208	31007.47168		K-12	MorgantownHS-01	10/13/21 6:00					
H01-0061	0	0		WWTP	MoundsvilleWWTP-01	1/2/22 8:00	4.2				
B01-0058	50953.98903	45287.30243		WWTP	CharlestonWWTP-01	11/11/21 7:00					
A03-0015											
A02-0171	58095.3005	26026.02705		WVU Morgantown	HonorsSummit-01 (MUB)	10/13/21 9:58					
A01-0132	51172.48245	48160.60871		WWTP	StarCityWWTP-01	12/22/21 0:00	6.9				
A02-0256	0	0		WVU Morgantown	OaklandE-02	12/15/21 9:26					
C01-0017	34694.91988	23124.59648		WWTP	WheelingWWTP-01	10/10/21 7:00					
A02-0105	63366.66137	61500.64737		WVU Morgantown	Evansdale-01	9/13/21 9:20					
A1073	4726.25	0		WWTP	StarCityWWTP-01	6/17/21 0:00	8.192				
A01-0037	245537.4742	253239.4075		WWTP	StarCityWWTP-01	9/14/21 0:00	7.905				
A03-0165	1312671.525	10615.94876		K-12	NorthES-01	1/5/22 6:00					
I01-0007	3064.852208	4597.419221		WWTP	WarmSpringsWWTP-01	11/9/21 7:00					
A03-0146	4856.23844	4856.23844		K-12	MountainviewES-01	1/24/22 6:00					
G01-0005	290704.2825	296401.18		WWTP	KeyserWWTP-01	10/10/21 9:00					
A0232	39630	26400		WWTP	StarCityWWTP-01	2/1/21 0:00	11.395				
A03-0035	33580.41182	27980.88789		K-12	CheatLakeES-01	9/30/21 12:00					
G01-0010	92810.736	19318.62798		WWTP	KeyserWWTP-01	12/7/21 9:00	0.555				
G01-0055	0	0		WWTP	KeyserWWTP-01	10/17/21 9:00					
A1036	28845	38475		WWTP	StarCityWWTP-01	4/25/21 12:00	8.393				
A02-0021	13107.08508	37150.05934		WVU Morgantown	OaklandE-02	8/18/21 9:30					
H01-0065	5834.043128	11668.89846		WWTP	MoundsvilleWWTP-01	1/6/22 8:00	2				
A02-0262	0	0		WVU Morgantown	CollegePark-02	12/6/21 9:00					
A02-0161	10605.7135	14141.67836		WVU Morgantown	HonorsSummit-01 (MUB)	10/9/21 9:00					
D01-0017	864248.9862	975689.9071		WWTP	CharlesTownWWTP-01	1/10/22 7:00					
A01-0067				WWTP	StarCityWWTP-01	10/19/21 0:00	7.355				
A02-0033				WVU Morgantown							
A0245	24528	14712		WWTP	StarCityWWTP-01	11/15/20 0:00	6.499				
B01-0038	0	3352.002692		WWTP	CharlestonWWTP-01	12/30/21 7:00	10.894				
A02-0024	2855.51131	21424.28803		WVU Morgantown	CollegePark-02	8/18/21 10:10					
A0046	67140	22410		WWTP	StarCityWWTP-01	12/22/20 12:00	11.613				
A03-0174				K-12	MountainviewES-01						
A02-0237	35587.38157	25416.47203		WVU Morgantown	NorthHighSt-02 (MUB)	11/29/21 9:00					
H01-0011	61621.91659	17238.83137		WWTP	MoundsvilleWWTP-01	10/8/21 8:00					
L01-0025				WWTP	WestUnionWWTP-01	1/14/22 9:00	0.287				
H01-0102	1120155.34	1200659.695		WWTP	MoundsvilleWWTP-01	1/18/22 8:00	1.8				
A01-0007	32374.68839	14833.19414		WWTP	StarCityWWTP-01	8/16/21 0:00	10.086				
A02-0258	5581.908775	0		WVU Morgantown	Evansdale-01	12/8/21 9:00					
A02-0032	4016.386699	4016.386699		WVU Morgantown	CollegePark-02	8/23/21 10:11					
A02-0174	2306.166552	4612.545893		WVU Morgantown	HonorsSummit-01 (MUB)	10/16/21 9:00					
A03-0066	2280.917699	9124.920294		K-12	MorgantownHS-01	11/3/21 6:00					
A03-0022											
A02-0083	58696.58023	47325.19388		WVU Morgantown	HonorsSummit-01 (MUB)	9/4/21 9:00					
I01-0004	15512.5	11687.5		WWTP	WarmSpringsWWTP-01	11/1/21 7:00					
B01-0052	4462.5	2125		WWTP	CharlestonWWTP-01	11/7/21 7:00					
F01-0012	30917.42858	37105.88291		WWTP	WestonWWTP-01	10/4/21 10:00					
A01-0097	90028.31429	68403.87158		WWTP	StarCityWWTP-01	11/23/21 0:00	6.035				
C01-0023				WWTP	WheelingWWTP-01	10/19/21 7:00					
A03-0173				K-12	NorthES-01						
K01-0023	5620.83629	8431.537114		WWTP	ParkersburgWWTP-01	12/30/21 6:30	7.712				
A03-0033	0	5924.785845		K-12	CheatLakeES-01	9/27/21 6:00					
B01-0068	2092.312919	2092.312919		WWTP	CharlestonWWTP-01	11/9/21 7:00					
G01-0009	46653.79487	46653.79487		WWTP	KeyserWWTP-01	12/12/21 9:00	0.556				
E02-0002	12112.5	10412.5		WWTP	AthensWWTP-01	11/3/21 8:00					
A1055	6982.5	6982.5		WWTP	StarCityWWTP-01	5/24/21 0:00	7.396				
E02-0086	411899.0457	422938.6657		WWTP	AthensWWTP-01	1/10/22 8:00	0.529				
F01-0028	55449.95844	25729.32884		WWTP	WestonWWTP-01						
A0237	497808	390048		WWTP	StarCityWWTP-01	2/8/21 12:00	9.712				
A02-0300	2935788.431	3504603.667		WVU Morgantown	NorthHighSt-02 (MUB)	1/19/22 9:00					
H01-0067	158711.3258	182811.0212		WWTP	MoundsvilleWWTP-01	1/8/22 8:00	2.1				
B01-0019				WWTP	CharlestonWWTP-01	10/19/21 7:00	6.558				
A1034	23520	15666		WWTP	StarCityWWTP-01	4/21/21 12:00	8.235				
A02-0034	19628.71313	19628.71313		WVU Morgantown	CollegePark-02	8/21/21 9:00					
G01-0096				WWTP	KeyserWWTP-01	1/25/22 9:00	0.878				
A03-0050				K-12	MorgantownHS-01	10/22/21 6:00					
G01-0025				WWTP	KeyserWWTP-01	11/10/21 9:00					
A1053	4346.25	4346.25		WWTP	StarCityWWTP-01	5/20/21 0:00	6.831				
A0045	21336	10668		WWTP	StarCityWWTP-01	12/21/20 12:00	12.058				
G01-0003	518261.5876	554628.818		WWTP	KeyserWWTP-01	10/6/21 9:00					
H01-0051	19318.62798	27600.76795		WWTP	MoundsvilleWWTP-01	12/23/21 8:00	1.5				
A01-0092	51043.44249	73522.26689		WWTP	StarCityWWTP-01	11/17/21 0:00	7.38				
A02-0095	3875.368033	7751.337066		WVU Morgantown	CollegePark-02	9/8/21 9:51					
G01-0041				WWTP	KeyserWWTP-01	1/22/22 9:00	1.127				
A01-0042	132638.4389	1730361.567		WWTP	StarCityWWTP-01	9/20/21 0:00	7.36				
A02-0046				WVU Morgantown							
A02-0104	8454.800919	27065.43341		WVU Morgantown	CollegePark-02	9/13/21 10:14					
I01-0005	5312.5	5312.5		WWTP	WarmSpringsWWTP-01	11/3/21 7:00					
A1078	0	0		WWTP	StarCityWWTP-01	6/24/21 0:00	7.935				
A1035	10878	10878		WWTP	StarCityWWTP-01	4/22/21 12:00	8.62				
E01-0012	668949.8019	688787.3268		WWTP	PrincetonWWTP-01	11/23/21 8:15	1.881				
A02-0141	1602.238966	4807.045422		WVU Morgantown	NorthHighSt-02 (MUB)	10/2/21 9:56					
H01-0093	17261.33885	22194.45661		WWTP	MoundsvilleWWTP-01	12/15/21 8:00	1.6				
A03-0122				K-12	MorgantownHS-01	1/26/22 6:00					
A02-0239	10677.33988	8541.654786		WVU Morgantown	NorthHighSt-02 (MUB)	12/1/21 9:00					
A01-0078	63532.43381	40823.74275		WWTP	StarCityWWTP-01	11/1/21 0:00	8.683				
G02-0023	16366.9881	16366.9881		WVU Keyser	PotomacState-01	12/6/21 9:45					
E01-0018	149371.5084	94277.93965		WWTP	PrincetonWWTP-01	12/8/21 9:30	1.653				
A02-0263	0	0		WVU Morgantown	NorthHighSt-02 (MUB)	12/11/21 9:00					
G01-0024				WWTP	KeyserWWTP-01	11/21/21 9:00	0.606				
A02-0001 10K	720437.7747	756222.6534		WVU Morgantown							
A03-0006	174495.4121	99822.27504		K-12	MorgantownHS-01	9/15/21 6:00					
C01-0008	10435.36294	18786.79104		WWTP	WheelingWWTP-01	9/22/21 7:00	8.449				
E02-0012	47271.8744	57783.97858		WWTP	AthensWWTP-01	11/18/21 8:00	0.111				
L01-0016				WWTP	WestUnionWWTP-01	1/23/22 9:00	0.328				
A02-0080	6874.269396	15469.76537		WVU Morgantown	CollegePark-02	9/1/21 10:59					
A0222	38496	52512		WWTP	StarCityWWTP-01	1/18/21 0:00	8.321				
A03-0149	0	0		K-12	NorthES-01	12/13/21 6:00					
A03-0113	0	0		K-12	SuncrestES-01	12/1/21 6:00					
A1023	32580	26040		WWTP	StarCityWWTP-01	4/6/21 12:00	9.043				
H01-0007	78673.53201	82971.58778		WWTP	MoundsvilleWWTP-01	10/4/21 8:00					
J01-0002	10434.89786	3478.010413		WWTP	AlpineLakeWWTP-01	12/21/21 12:00	0.149				
A02-0271	8716.18255	5810.58735		WVU Morgantown	OaklandE-02	12/15/21 9:00					
A01-0048	291234.6327	145185.1022		WWTP	StarCityWWTP-01	9/25/21 0:00	6.684				
C01-0041	128589.0806	59299.78721		WWTP	WheelingWWTP-01	11/17/21 7:00	6.011				
E01-0025	58243.15019	0		WWTP	PrincetonWWTP-01	1/11/22 7:30	5.229				
A02-0228	0	6812.705677		WVU Morgantown	HonorsSummit-01 (MUB)	11/17/21 10:00					
A0239	86880	106950		WWTP	StarCityWWTP-01	2/10/21 12:00	8.969				
C01-0070	65358.27801	62243.66494		WWTP	WheelingWWTP-01	12/29/21 7:00	15.315				
G01-0021	70495.24471	70495.24471		WWTP	KeyserWWTP-01	11/16/21 9:00					
A02-0246	0	4789.368371		WVU Morgantown	HonorsSummit-01 (MUB)	12/15/21 9:00					
H01-0099	39773.92025	46406.57835		WWTP	MoundsvilleWWTP-01	12/21/21 8:00					
A03-0087	37038.84646	71792.51567		K-12	MountainviewES-01	1/12/22 6:00					
A01-0144	35852.66836	44820.62481		WWTP	StarCityWWTP-01	1/4/22 0:00	11				
A03-0039	0	0		K-12	MorgantownHS-01	10/8/21 6:00					
A03-0198				K-12	MountainviewES-01						
G01-0054	109917.8874	43909.18225		WWTP	KeyserWWTP-01	10/16/21 8:30					
A02-0066	1601.017807	11209.5087		WVU Morgantown	Evansdale-01	9/1/21 9:08					
H01-0053	13205.13116	10563.77219		WWTP	MoundsvilleWWTP-01	12/25/21 8:00	2.6				
A03-0178				K-12	MountainviewES-01						
G01-0030				WWTP	KeyserWWTP-01	11/8/21 9:00					
H01-0036	0	46998.26382		WWTP	MoundsvilleWWTP-01	11/11/21 8:00	1.5				
E02-0016	256317.7532	114163.5217		WWTP	AthensWWTP-01	11/29/21 8:00	0.079				
A01-0120	325704.8553	172932.111		WWTP	StarCityWWTP-01	12/7/21 0:00	7.3				
A01-0149	101390.8719	18658.84457		WWTP	StarCityWWTP-01	1/10/22 0:00	12.5				
A01-0126	9999.228213	20000.84314		WWTP	StarCityWWTP-01	12/14/21 0:00	7.2				
C01-0063	39185.13536	22853.54141		WWTP	WheelingWWTP-01	12/20/21 7:00	6.831				
A02-0176	0	0		WVU Morgantown	CollegePark-02	10/16/21 9:00					
A03-0019	0	0		K-12	NorthES-01	9/24/21 6:00					
A0021	19320	19320		WWTP	StarCityWWTP-01	11/18/20 0:00	6.705				
G01-0029				WWTP	KeyserWWTP-01	11/9/21 9:00					
E02-0014	111690.3032	20285.20245		WWTP	AthensWWTP-01	11/22/21 8:00	0.116				
C01-0006	36455.55288	75400.16472		WWTP	WheelingWWTP-01	9/20/21 7:00	7.859				
H01-0054	5580.422385	8370.913072		WWTP	MoundsvilleWWTP-01	12/26/21 8:00	2.2				
H01-0042	16641.55846	24964.81519		WWTP	MoundsvilleWWTP-01	11/17/21 8:00	1.3				
A02-0169	59566.16104	48863.5084		WVU Morgantown	CollegePark-02	10/11/21 10:28					
A1085	0	0		WWTP	StarCityWWTP-01	7/5/21 0:00	6.52				
A01-0029	109785.9484	123171.2317		WWTP	StarCityWWTP-01	9/7/21 0:00	9.116				
A02-0020	10275.68221	11743.9822		WVU Morgantown	Evansdale-01	8/20/21 9:18					
A02-0116	246445.0884	265601.6946		WVU Morgantown	HonorsSummit-01 (MUB)	9/18/21 9:00					
H01-0044				WWTP	MoundsvilleWWTP-01	11/19/21 8:00	1.3				
C01-0002	16219.02183	19464.09076		WWTP	WheelingWWTP-01	9/13/21 7:00					
A02-0259	99720.37241	72187.59835		WVU Morgantown	CollegePark-02	12/11/21 9:00					
F01-0010	289785.8667	293002.0952		WWTP	WestonWWTP-01	10/7/21 10:00					
A02-0305	0	0		WVU Morgantown	OaklandE-02	1/22/22 9:00					
A0214	131712	101280		WWTP	StarCityWWTP-01	1/6/21 0:00	10.083				
G01-0035	162644.0272	54144.57612		WWTP	KeyserWWTP-01	12/6/21 9:00	0.649				
A0234	75546	51516		WWTP	StarCityWWTP-01	2/3/21 0:00	10.441				
A1106	9559.445977	12291.38918									
H01-0026	7383.343279	14768.86764		WWTP	MoundsvilleWWTP-01	10/25/21 8:00					
A02-0186				WVU Morgantown	Evansdale-01	10/23/21 9:59					
A02-0282	625131.8836	88735.71485		WVU Morgantown	NorthHighSt-02 (MUB)	1/8/22 9:00					
G01-0062	46933.04479	24475.81157		WWTP	KeyserWWTP-01	10/26/21 9:00					
G01-0077	33554.33866	4791.832594		WWTP	KeyserWWTP-01	1/9/22 9:00	1.369				
A02-0004 1K	66205.27625	93339.86342		WVU Morgantown							
A0039	108552	99864		WWTP	StarCityWWTP-01	12/13/20 12:00	6.302				
A1047	0	4779		WWTP	StarCityWWTP-01	5/12/21 12:00	10.836				
A02-0107	50893.70906	34596.4469		WVU Morgantown	HonorsSummit-01 (MUB)	9/13/21 9:50					
C01-0045	64787.46571	91493.79373		WWTP	WheelingWWTP-01	11/24/21 7:00	5.831				
A0213	59112	36936		WWTP	StarCityWWTP-01	1/5/21 0:00	11.421				
G01-0045	77810.66582	67069.56826		WWTP	KeyserWWTP-01	12/4/21 9:00	0.572				
A02-0274	0	5782.92721		WVU Morgantown	Evansdale-01	1/8/22 9:00					
A03-0068	108392.8621	46396.54905		K-12	MorgantownHS-01	11/5/21 6:00					
A0226	107151	69300		WWTP	StarCityWWTP-01	1/24/21 0:00	7.031				
A02-0123	3051.757794	4577.776492		WVU Morgantown	CollegePark-02	9/20/21 10:22					
A0037	85800	85800		WWTP	StarCityWWTP-01	12/9/20 12:00	6.932				
A01-0130	115630.1308	49516.71101		WWTP	StarCityWWTP-01	12/19/21 0:00	7.2				
A03-0203	0	0		K-12	SuncrestES-01	11/29/21 6:00					
C01-0111	205472.6207	260435.8712		WWTP	WheelingWWTP-01	1/20/22 7:00	8.363				
A03-0076	0	4528.575148		K-12	MorgantownHS-01	11/10/21 6:00					
A03-0142	2657.942316	5316.052912		K-12	MountainviewES-01	12/20/21 6:00					
A02-0056	31225.1538	14566.86415		WVU Morgantown	NorthHighSt-02 (MUB)	8/25/21 9:49					
A0033	53241.6	29030.4		WWTP	StarCityWWTP-01	12/3/20 0:00	8.998				
A0041	73416	83208		WWTP	StarCityWWTP-01	12/15/20 12:00	6.989				
A02-0119	8782.715723	10539.62935		WVU Morgantown	Evansdale-01	9/20/21 9:16					
A02-0045				WVU Morgantown							
A1030	7632	0		WWTP	StarCityWWTP-01	4/15/21 12:00	10.003				
B01-0001	50032.82219	63211.67022		WWTP	CharlestonWWTP-01	9/15/21 7:00					
H01-0077	95816.61746	106476.4349		WWTP	MoundsvilleWWTP-01	11/29/21 8:00	1.2				
F01-0019	7571.169101	11357.61335		WWTP	WestonWWTP-01	11/3/21 14:00					
A1051	0	7196.25		WWTP	StarCityWWTP-01	5/18/21 0:00	7.38				
B01-0028	13229.02808	35286.69108		WWTP	CharlestonWWTP-01	12/7/21 7:00	7.295				
A02-0273	199502.8844	27780.66583		WVU Morgantown	CollegePark-02	1/8/22 9:00					
A01-0071				WWTP	StarCityWWTP-01	10/24/21 0:00	7.426				
G01-0065	33226.27336	30455.73309		WWTP	KeyserWWTP-01	10/31/21 9:00					
F01-0025	27666.95127	34952.81711		WWTP	WestonWWTP-01						
A02-0308				WVU Morgantown	NorthHighSt-02 (MUB)	1/24/22 9:00					
A02-0002	7158.53721	5965.30548		WVU Morgantown	OaklandE-02	8/11/21 9:00					
G01-0016	940052.7442	697131.2964		WWTP	KeyserWWTP-01	11/26/21 9:00	0.686				
G01-0001	844215.4741	853864.9702		WWTP	KeyserWWTP-01	10/4/21 12:00					
B01-0073	1446.466325	0		WWTP	CharlestonWWTP-01	10/26/21 7:00					
H01-0059	1093110.162	1301682.765		WWTP	MoundsvilleWWTP-01	12/31/21 8:00					
A01-0008	43739.43877	61256.66499		WWTP	StarCityWWTP-01	8/17/21 0:00	11.614				
B01-0067	14049.76763	15611.3407		WWTP	CharlestonWWTP-01	11/2/21 7:00					
D01-0013	267380.5949	20827.79244		WWTP	CharlesTownWWTP-01	1/16/22 7:15					
C01-0020	16222.64683	12616.70493		WWTP	WheelingWWTP-01	10/13/21 7:00					
A02-0252	0	0		WVU Morgantown	CollegePark-02	12/8/21 9:00					
A02-0156 b	5670	0		WVU Morgantown	TowersBB-01	8/10/21 9:00	11.448				
A02-0099				WVU Morgantown	HonorsSummit-01 (MUB)	9/11/21 9:00					
A02-0209	18900.0199	18900.0199		WVU Morgantown	HonorsSummit-01 (MUB)	11/3/21 10:04					
A01-0150	197182.484	10539.86359		WWTP	StarCityWWTP-01	1/11/22 0:00	11.6				
A01-0001	8987.49459	10271.68584		WWTP	StarCityWWTP-01	8/9/21 0:00	7.6				
A01-0038	88755.2017	73296.86612		WWTP	StarCityWWTP-01	9/15/21 0:00	7.723				
A02-0003 0	81217.73869	99302.01709		WVU Morgantown							
E02-0009	19804.26371	19804.26371		WWTP	AthensWWTP-01	11/15/21 8:00	0.119				
A02-0270	2444.904023	9780.471828		WVU Morgantown	NorthHighSt-02 (MUB)	12/15/21 9:00					
A03-0195				K-12	SuncrestES-01	1/26/22 6:00					
A03-0104	5760.671161	2880.236576		K-12	SuncrestES-01	10/25/21 6:00					
A1070	0	0		WWTP	StarCityWWTP-01	6/14/21 0:00	11.975				
A02-0036	1601344.404	1580821.695		WVU Morgantown	Evansdale-01	8/25/21 9:13					
H01-0047				WWTP	MoundsvilleWWTP-01	11/22/21 8:00	1.5				
G01-0079	28188.61004	34455.32084		WWTP	KeyserWWTP-01	12/24/21 9:00	0.574				
A02-0069	7615.476623	6092.17003		WVU Morgantown	NorthHighSt-02 (MUB)	9/1/21 10:01					
A0100	9816	9816		WWTP	StarCityWWTP-01	11/1/20 0:00	8.21				
A03-0021	16528.92686	35432.51857		K-12	MorgantownHS-01	9/24/21 6:00					
A01-0136	16556.09842	16556.09842		WWTP	StarCityWWTP-01	12/27/21 0:00	11.2				
A03-0095	0	2863.901407		K-12	SuncrestES-01	11/17/21 6:00					
A03-0190				K-12	MountainviewES-01						
B01-0074	21098.16015	25056.04804		WWTP	CharlestonWWTP-01	11/10/21 7:00					
A03-0134	10436.6295	0		K-12	MountainviewES-01	1/21/22 6:00					
A0233	37704	34560		WWTP	StarCityWWTP-01	2/2/21 0:00	11.234				
A02-0310				WVU Morgantown	CollegePark-02	1/24/22 9:00					
A03-0016	142898.3647	60488.787		K-12	MorgantownHS-01	9/29/21 6:00					
G02-0016				WVU Keyser	PotomacState-01	10/27/21 11:00					
H01-0037	5123.374723	12809.61106		WWTP	MoundsvilleWWTP-01	11/12/21 8:00	1.4				
A02-0067	614482.4767	609277.8301		WVU Morgantown	OaklandE-02	9/1/21 9:27					
G02-0019	12655.6645	10124.22625		WVU Keyser	PotomacState-01	11/29/21 14:00					
A01-0017	186894.2785	201845.1893		WWTP	StarCityWWTP-01	8/29/21 0:00	9.281				
A02-0198	1636.500619	13095.00553		WVU Morgantown	CollegePark-02	10/27/21 10:26					
G01-0052	82535.56371	55681.60415		WWTP	KeyserWWTP-01	10/12/21 9:00					
A03-0118	0	0		K-12	MorgantownHS-01	11/19/21 6:00					
E01-0003	70082.5882	73981.83256		WWTP	PrincetonWWTP-01	11/1/21 8:00					
A1011	0	0		WWTP	StarCityWWTP-01	3/22/21 12:00	9.663				
G01-0076	942162.4339	988416.9459		WWTP	KeyserWWTP-01	1/18/22 9:00	0.86				
A01-0044	63778.55927	96913.09035		WWTP	StarCityWWTP-01	9/23/21 0:00	9.101				
A02-0153 c	34176	29904		WVU Morgantown	Evansdale-01	8/9/21 9:00	11.47				
A1068	0	0		WWTP	StarCityWWTP-01	6/10/21 0:00	6.787				
A02-0261	12460.0183	14952.46639		WVU Morgantown	NorthHighSt-02 (MUB)	12/6/21 9:00					
A02-0210	72530.00647	56394.03045		WVU Morgantown	NorthHighSt-02 (MUB)	11/3/21 11:22					
A02-0155 c	30288	0		WVU Morgantown	OaklandE-02	8/10/21 9:00	12.279				
C01-0060	251426.695	282076.8723		WWTP	WheelingWWTP-01	12/15/21 7:00	7.648				
A02-0240	0	13192.24522		WVU Morgantown	HonorsSummit-01 (MUB)	12/1/21 9:00					
H01-0087	16309.98395	0		WWTP	MoundsvilleWWTP-01	12/9/21 8:00	1.8				
H01-0004	35406.5913	17697.02725		WWTP	MoundsvilleWWTP-01	10/1/21 8:00					
F01-0001	16211.95927	13895.32238		WWTP	WestonWWTP-01						
A1003	20340	13560		WWTP	StarCityWWTP-01	3/10/21 12:00	7.987				
A03-0097	0	0		K-12	MountainviewES-01	12/3/21 6:00					
A0225	39438	31554		WWTP	StarCityWWTP-01	1/21/21 0:00	8.324				
G01-0012	129015.5558	153402.7022		WWTP	KeyserWWTP-01	12/20/21 9:00	0.549				
E01-0008	118562.3552	100498.6127		WWTP	PrincetonWWTP-01	11/15/21 7:50	1.763				
A02-0221	63406.67069	57213.57048		WVU Morgantown	Evansdale-01	11/15/21 9:48					
A01-0012	79544.14636	77332.15332		WWTP	StarCityWWTP-01	8/22/21 0:00	9.615				
G01-0067	21607.60641	16203.95437		WWTP	KeyserWWTP-01	11/2/21 9:00					
A03-0001	0	0		K-12	SuncrestES-01	9/13/21 6:00					
H01-0001	163818.441	91183.68685		WWTP	MoundsvilleWWTP-01	9/27/21 8:00					
A1056	0	0		WWTP	StarCityWWTP-01	5/25/21 0:00	7.095				
A1038	0	4338		WWTP	StarCityWWTP-01	4/27/21 12:00	8.459				
A0022	49795.2	49795.2		WWTP	StarCityWWTP-01	11/19/20 0:00	9.875				
A02-0231	0	0		WVU Morgantown	HonorsSummit-01 (MUB)	11/20/21 10:12					
A01-0005	223163.3263	253519.4941		WWTP	StarCityWWTP-01	8/14/21 0:00	9.531				
A1024	46728	33372		WWTP	StarCityWWTP-01	4/7/21 12:00	9.15				
B01-0043	18092.71015	18092.71015		WWTP	CharlestonWWTP-01	1/10/22 7:00	20.713				
H01-0012	64822.8547	12951.13131		WWTP	MoundsvilleWWTP-01	10/9/21 8:00					
C01-0029	40494.39162	35208.79164		WWTP	WheelingWWTP-01	10/27/21 7:00					
F01-0022	31142.43984	26222.63357		WWTP	WestonWWTP-01	11/1/21 10:00					
H01-0073	79315.27555	107905.553		WWTP	MoundsvilleWWTP-01	1/10/22 8:00	2.3				
A01-0089	38807.82932	9696.311466		WWTP	StarCityWWTP-01	11/14/21 0:00	9.522				
A01-0113	144557.4537	114948.2936		WWTP	StarCityWWTP-01	11/30/21 0:00					
H01-0103	1650249.195	1806442.337		WWTP	MoundsvilleWWTP-01	1/19/22 8:00	2.4				
A03-0024	0	0		K-12	NorthES-01	9/22/21 6:00					
J01-0004	0	12377.95785		WWTP	AlpineLakeWWTP-01	12/23/21 9:00	0.12				
G02-0007	7319.572568	19523.6247		WVU Keyser	PotomacState-01	10/7/21 10:40					
A03-0164				K-12	MorgantownHS-01						
A01-0158	565406.4918	459635.396		WWTP	StarCityWWTP-01	1/22/22 0:00	10.2				
A03-0071	0	0		K-12	SuncrestES-01	11/5/21 6:00					
A1008	0	0		WWTP	StarCityWWTP-01	3/17/21 12:01	8.151				
H01-0017				WWTP	MoundsvilleWWTP-01	10/14/21 8:00					
A03-0114	0	2393.79527		K-12	MorgantownHS-01	12/1/21 6:00					
L01-0023				WWTP	WestUnionWWTP-01	1/16/22 9:00	0.346				
A02-0092	146559.22	29243.18776		WVU Morgantown	OaklandE-02	9/8/21 9:20					
A03-0072	15572.44346	7785.008959		K-12	NorthES-01	11/5/21 6:00					
A02-0007				WVU Morgantown	Evansdale-01	8/11/21 9:00					
C01-0024				WWTP	WheelingWWTP-01	10/18/21 7:00					
A01-0082	60562.5	54187.5		WWTP	StarCityWWTP-01	11/6/21 0:00	6.698				
A03-0002	0	0		K-12	NorthES-01	9/20/21 6:00					
A03-0184				K-12	MorgantownHS-01						
H01-0029	14450	18912.5		WWTP	MoundsvilleWWTP-01	11/2/21 8:00					
E02-0024	2718.453817	0		WWTP	AthensWWTP-01	12/17/21 8:00	0.101				
A1061	0	0		WWTP	StarCityWWTP-01	6/1/21 0:00	7.215				
A01-0084	86062.5	77562.5		WWTP	StarCityWWTP-01	11/8/21 0:00	6.987				
A0249	151837.2	132824.4		WWTP	StarCityWWTP-01	11/11/20 0:00	6.79				
C01-0108	319207.6796	204545.2148		WWTP	WheelingWWTP-01	1/17/22 7:00	7.285				
A02-0137	0	10392.45628		WVU Morgantown	NorthHighSt-02 (MUB)	9/29/21 10:39					
A1059	3491.25	6982.5		WWTP	StarCityWWTP-01	5/30/21 0:00	8.082				
